Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,num_academia,num_company
266,Feature Statistics Guided Efficient Filter Pruning,McGill University,McGill University,Tsinghua University,McGill University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
267,The Blind Men and the Elephant: Integrated Offline/Online Optimization Under Uncertainty,University of Bologna,University of Bologna,University of Bologna,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
268,Commonsense Reasoning to Guide Deep Learning for Scene Understanding (Extended Abstract) *,University of Birmingham,University of Auckland,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
269,Greedy Convex Ensemble,Queensland University of Technology,University of Queensland,"University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
270,Concurrent Games in Dynamic Epistemic Logic,University of Naples Federico II,University of Rennes,University of Naples Federico II,University of Rennes,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
271,Neural Representation and Learning of Hierarchical 2-additive Choquet Integrals," Thales Research and Technology, 91767 Palaiseau, Franc",University of Paris-Saclay,University of Paris-Saclay,Paderborn University," Thales Research and Technology, 91767 Palaiseau, Franc",University of Paris-Saclay,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
272,Evaluating Committees for Representative Democracies: the Distortion and Beyond,University of Warsaw,University of Warsaw,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
273,On Overfitting and Asymptotic Bias in Batch Reinforcement Learning with Partial Observability (Extended Abstract)*,McGill University,University of Milan,Université de Montréal,University of Milan,McGill University,University of Milan,University of Liège,University of Liège,,,,,,,,,,,,,,,,,,,,8.0,0.0
274,Formulas Free From Inconsistency: An Atom-Centric Characterization in Priest's Minimally Inconsistent LP (Extended Abstract) *,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
275,Batch Decorrelation for Active Metric Learning, Adobe Researc, Adobe Researc, Adobe Researc, Adobe Researc, Adobe Researc,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
276,Best Arm Identification in Spectral Bandits,École Normale Supérieure de Lyon,École Normale Supérieure de Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
277,DeepWeave: Accelerating Job Completion Time with Deep Reinforcement Learning-based Coflow Scheduling, National Digital Switching System Engineering & Technological R&D Cente,Beijing Institute of Technology, National Digital Switching System Engineering & Technological R&D Cente, National Digital Switching System Engineering & Technological R&D Cente, National Digital Switching System Engineering & Technological R&D Cente, National Digital Switching System Engineering & Technological R&D Cente,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
278,PewLSTM: Periodic LSTM with Weather-Aware Gating Mechanism for Parking Behavior Prediction,Renmin University of China,Tsinghua University,Renmin University of China,Beijing University of Posts and Telecommunications,Technical University of Berlin,Tsinghua University,National University of Singapore,National University of Singapore,Peking University,Renmin University of China,,,,,,,,,,,,,,,,,,10.0,0.0
279,Optimal and Non-Discriminative Rehabilitation Program Design for Opioid Addiction Among Homeless Youth,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,University of Denver,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
280,Sybil-proof Answer Querying Mechanism,ShanghaiTech University,ShanghaiTech University,ShanghaiTech University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
281,Two-goal Local Search and Inference Rules for Minimum Dominating Set,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Peking University,Northeast Normal University,Microsoft Research (India),Microsoft Research (India),,,,,,,,,,,,,,,,,,,,,,4.0,2.0
282,LISNN: Improving Spiking Neural Networks with Lateral Interactions for Robust Object Recognition,Institute of Automation,China Aerospace Science and Industry Corporation (China),University of Chinese Academy of Sciences,Institute of Automation,China Aerospace Science and Industry Corporation (China),University of Chinese Academy of Sciences,Institute of Automation,China Aerospace Science and Industry Corporation (China),Institute of Automation,China Aerospace Science and Industry Corporation (China),University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,,,,,8.0,0.0
283,Mutual Information Estimation using LSH Sampling,Rice University,Rice University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
284,Order-Dependent Event Models for Agent Interactions,"Research AI, IBM T. J. Watson Research Cente","Research AI, IBM T. J. Watson Research Cente","Research AI, IBM T. J. Watson Research Cente",,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
285,Model-Based Synthesis of Incremental and Correct Estimators for Discrete Event Systems,Université de Toulouse,Université de Toulouse,Université de Toulouse,Université de Toulouse,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
286,The Complexity of Election Problems with Group-Separable Preferences,AGH University of Science and Technology,National Research University Higher School of Economics,Russian Academy of Sciences,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
287,Supporting Historical Photo Identification with Face Recognition and Crowdsourced Human Expertise (Extended Abstract) *,Virginia Tech,Virginia Tech,Google (United States),Virginia Tech,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0
288,Goal Recognition Design -Survey,Harvard University,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
