Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,num_academia,num_company
35,Accurate Probability Calibration for Multiple Classifiers,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,3.0,0.0
36,Misleading Opinions Provided by Advisors: Dishonesty or Subjectivity,National University of Singapore,Nanyang Technological University,,,,,,,,,,,,,,,,,,,2.0,0.0
37,Ontology-Based Data Access with Closed Predicates Is Inherently Intractable (Sometimes),University of Bremen,University of Bremen,University of Liverpool,,,,,,,,,,,,,,,,,,3.0,0.0
38,Iterated Boolean Games,Computer Science Department,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,,,,,3.0,0.0
39,Optimally Solving Dec-POMDPs as Continuous-State MDPs,University of Lorraine,Massachusetts Institute of Technology,University of Lorraine,University of Lorraine,,,,,,,,,,,,,,,,,4.0,0.0
40,Audience-Based Uncertainty in Abstract Argument Games,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,,,,,,2.0,0.0
41,Sparse Reconstruction for Weakly Supervised Semantic Segmentation,Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,,4.0,0.0
42,Towards Effective Prioritizing Water Pipe Replacement and Rehabilitation *,IBM Research - China,IBM Research - China,Georgia Institute of Technology,IBM Research - China,IBM Research - China,Georgia Institute of Technology,IBM Research - China,,,,,,,,,,,,,,7.0,0.0
43,An Active Learning Approach to Home Heating in the Smart Grid,University of Zurich,University of Zurich,,,,,,,,,,,,,,,,,,,2.0,0.0
44,Linear Temporal Logic and Linear Dynamic Logic on Finite Traces,Sapienza University of Rome,Rice University,,,,,,,,,,,,,,,,,,,2.0,0.0
45,Automated Reasoning to Infer all Minimal Keys *,University of Malaga,University of Malaga,University of Malaga,,,,,,,,,,,,,,,,,,3.0,0.0
46,Towards Active Event Recognition *,Imperial College London,Imperial College London,Imperial College London,Imperial College London,Imperial College London,Imperial College London,Imperial College London,Imperial College London,Imperial College London,Imperial College London,Imperial College London,,,,,,,,,,11.0,0.0
47,An Exact Algorithm for Computing the Same-Decision Probability,California State University Los Angeles,California State University Los Angeles,California State University Los Angeles,,,,,,,,,,,,,,,,,,3.0,0.0
48,Language-Based Games (Extended Abstract) *,Cornell University,Cornell University,Cornell University,,,,,,,,,,,,,,,,,,3.0,0.0
49,How to Change a Group's Collective Decision?,Bar-Ilan University,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,,,,,3.0,0.0
50,On Robust Estimation of High Dimensional Generalized Linear Models,The University of Texas at Austin,University of Michigan–Ann Arbor,The University of Texas at Austin,,,,,,,,,,,,,,,,,,3.0,0.0
51,Deep Feature Learning Using Target Priors with Applications in ECoG Signal Decoding for BCI,"University at Albany, State University of New York",Wadsworth Center,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,3.0,0.0
52,Joint and Coupled Bilingual Topic Model Based Sentence Representations for Language Model Adaptation,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,,,,,,,5.0,0.0
53,Collaborative Filtering on Ordinal User Feedback *,,,,,,,,,,,,,,,,,,,,,0.0,0.0
54,Prior-Free Exploration Bonus for and beyond Near Bayes-Optimal Behavior,International University of Japan,National Defense Academy of Japan,,,,,,,,,,,,,,,,,,,1.0,0.0
55,Optimizing Cepstral Features for Audio Classification *,Western Sydney University,Monash University,Monash University,Monash University,,,,,,,,,,,,,,,,,4.0,0.0
56,Multi-Winner Social Choice with Incomplete Preferences,University of Toronto,University of Toronto,,,,,,,,,,,,,,,,,,,2.0,0.0
57,SCMF: Sparse Covariance Matrix Factorization for Collaborative Filtering,Chinese University of Hong Kong,Hong Kong University of Science and Technology,Chinese University of Hong Kong,Hong Kong University of Science and Technology,Chinese University of Hong Kong,Hong Kong University of Science and Technology,Chinese University of Hong Kong,Hong Kong University of Science and Technology,,,,,,,,,,,,,8.0,0.0
58,Macau: A Basis for Evaluating Reputation Systems,"Hazardous Software 8929 Taymouth Ct. Raleigh, NC 27613, US",North Carolina State University,,,,,,,,,,,,,,,,,,,1.0,0.0
59,Euler Clustering,Sun Yat-sen University,Key Laboratory of Guangdong Province,Sun Yat-sen University,Key Laboratory of Guangdong Province,Sun Yat-sen University,,,,,,,,,,,,,,,,5.0,0.0
60,Change-Point Detection with Feature Selection in High-Dimensional Time-Series Data,"NTT Communication Science Laboratories, 2-4, Hikaridai, Seika-cho, Kyoto, 619-0237, Japa","NTT Communication Science Laboratories, 2-4, Hikaridai, Seika-cho, Kyoto, 619-0237, Japa","NTT Communication Science Laboratories, 2-4, Hikaridai, Seika-cho, Kyoto, 619-0237, Japa","NTT Communication Science Laboratories, 2-4, Hikaridai, Seika-cho, Kyoto, 619-0237, Japa",,,,,,,,,,,,,,,,,0.0,4.0
61,An Improved Separation of Regular Resolution from Pool Resolution and Clause Learning (Extended Abstract) 1,Universitat Politècnica de Catalunya,"University of California, San Diego",,,,,,,,,,,,,,,,,,,2.0,0.0
62,Probabilistic Reasoning with Undefined Properties in Ontologically-Based Belief Networks,University of British Columbia,University of British Columbia,Indian Institute of Technology Kanpur,University of British Columbia,,,,,,,,,,,,,,,,,4.0,0.0
63,Upper Confidence Weighted Learning for Efficient Exploration in Multiclass Prediction with Binary Feedback *,Dalle Molle Institute for Artificial Intelligence Research, Manno-Lugano 6928 Switzerlan,University of Stuttgart,Dalle Molle Institute for Artificial Intelligence Research, Manno-Lugano 6928 Switzerlan,,,,,,,,,,,,,,,,3.0,0.0
64,Exploiting Local and Global Social Context for Recommendation,Arizona State University,Jilin University,,,,,,,,,,,,,,,,,,,2.0,0.0
65,"Uniform Convergence, Stability and Learnability for Ranking Problems *",Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,2.0,0.0
66,Discovering Different Types of Topics: Factored Topic Models,Cornell University,Cornell University,,,,,,,,,,,,,,,,,,,2.0,0.0
67,An Ambiguity Aversion Framework of Security Games under Ambiguities,Queen's University Belfast,Sun Yat-sen University,Queen's University Belfast,,,,,,,,,,,,,,,,,,3.0,0.0
68,"Sound, Complete, and Minimal Query Rewriting for Existential Rules *",University of Montpellier,University of Montpellier,University of Montpellier,University of Montpellier,,,,,,,,,,,,,,,,,4.0,0.0
69,Integrating Syntactic and Semantic Analysis into the Open Information Extraction Paradigm,Sapienza University of Rome,Sapienza University of Rome,,,,,,,,,,,,,,,,,,,2.0,0.0
70,Protein Function Prediction via Laplacian Network Partitioning Incorporating Function Category Correlations,Colorado School of Mines,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,3.0,0.0
71,Bounded Programs: A New Decidable Class of Logic Programs with Function Symbols,"DIMES, Università della Calabria 87036 Rende (CS), Ital","DIMES, Università della Calabria 87036 Rende (CS), Ital","DIMES, Università della Calabria 87036 Rende (CS), Ital",,,,,,,,,,,,,,,,,,3.0,0.0
72,Computing Stable Models for Nonmonotonic Existential Rules,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,3.0,0.0
73,Automated Grading of DFA Constructions *,Computer Science Department,Computer Science Department,Microsoft (United States),University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,2.0,1.0
74,Shifted Subspaces Tracking on Sparse Outlier for Motion Segmentation,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,2.0,0.0
75,The Complexity of One-Agent Refinement Modal Logic *,Technical University of Madrid,Lorraine Research Laboratory in Computer Science and its Applications,University of Rennes,,,,,,,,,,,,,,,,,,3.0,0.0
76,On Stochastic Optimal Control and Reinforcement Learning by Approximate Inference (Extended Abstract) *,School of Informatics University of Edinburg,Inst. für Parallele und Verteilte Systeme Universität Stuttgar,School of Informatics University of Edinburg,,,,,,,,,,,,,,,,,,3.0,0.0
77,A General Framework for Interacting Bayes-Optimally with Self-Interested Agents Using Arbitrary Parametric Model and Model Prior,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,,,,2.0,0.0
78,Efficient Vote Elicitation under Candidate Uncertainty,University of Toronto,University of Toronto,University of Toronto,,,,,,,,,,,,,,,,,,3.0,0.0
79,A Framework to Choose Trust Models for Different E-Marketplace Environments,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,3.0,0.0
80,Where You Like to Go Next: Successive Point-of-Interest Recommendation,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,,,,,,,,,,,,,8.0,0.0
81,Context-Dependent Conceptualization,Korea Advanced Institute of Science and Technology,Microsoft Research Asia (China),Korea Advanced Institute of Science and Technology,Microsoft Research Asia (China),,,,,,,,,,,,,,,,,2.0,2.0
82,Verification of Inconsistency-Aware Knowledge and Action Bases *,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,,,,,,,,,,,,,,,,5.0,0.0
83,A Formal Account of Nondeterministic and Failed Actions,Simon Fraser University,University of Toronto,,,,,,,,,,,,,,,,,,,2.0,0.0
84,Dynamic Taxi and Ridesharing: A Framework and Heuristics for the Optimization Problem *,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,2.0,0.0
85,Improved Integer Programming Approaches for Chance-Constrained Stochastic Programming,IBM Research - Tokyo,IBM Research - Tokyo,,,,,,,,,,,,,,,,,,,2.0,0.0
86,A Matroid Approach to the Worst Case Allocation of Indivisible Goods *,Paris Dauphine University,Paris Dauphine University,Paris Dauphine University,,,,,,,,,,,,,,,,,,3.0,0.0
87,Elicitation and Approximately Stable Matching with Partial Preferences,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,,,,,,2.0,0.0
88,Bilevel Visual Words Coding for Image Classification,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,4.0,0.0
89,Inference for a New Probabilistic Constraint Logic *,Radboud University Nijmegen,Radboud University Nijmegen,Radboud University Nijmegen,Radboud University Nijmegen,Radboud University Nijmegen,,,,,,,,,,,,,,,,5.0,0.0
90,Computing Datalog Rewritings Beyond Horn Ontologies *,Computer Science Department,Computer Science Department,University of Oxford,National Technical University of Athens,Computer Science Department,,,,,,,,,,,,,,,,2.0,0.0
91,Learning Domain Differences Automatically for Dependency Parsing Adaptation,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,,,,,,,,,,,,,,,,,,3.0,0.0
92,A KNN Based Kalman Filter Gaussian Process Regression,Université Laval,Université Laval,,,,,,,,,,,,,,,,,,,2.0,0.0
93,The Route to Success -A Performance Comparison of Diagnosis Algorithms,Graz University of Technology,"Inffeldgasse 16b/II, 8010 Graz, Austri",,,,,,,,,,,,,,,,,,,1.0,0.0
94,Mining for Analogous Tuples from an Entity-Relation Graph,The University of Tokyo,Kyoto University,National Institute of Informatics,Japan Science and Technology Agency,,,,,,,,,,,,,,,,,4.0,0.0
95,Persistent Homology: An Introduction and a New Text Representation for Natural Language Processing,University of Wisconsin–Madison,,,,,,,,,,,,,,,,,,,,1.0,0.0
96,Online Hashing,Sun Yat-sen University,Key Laboratory of Guangdong Province,,,,,,,,,,,,,,,,,,,2.0,0.0
97,Probabilistic Multi-Label Classification with Sparse Feature Learning,Temple University,Temple University,,,,,,,,,,,,,,,,,,,2.0,0.0
98,GBPR: Group Preference Based Bayesian Personalized Ranking for One-Class Collaborative Filtering,Hong Kong Baptist University,Hong Kong Baptist University,,,,,,,,,,,,,,,,,,,2.0,0.0
99,Multi-View K-Means Clustering on Big Data,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,3.0,0.0
100,Efficient Learning in Linearly Solvable MDP Models,University of Minnesota,University of Minnesota,,,,,,,,,,,,,,,,,,,2.0,0.0
101,Sufficient Plan-Time Statistics for Decentralized POMDPs,Maastricht University,,,,,,,,,,,,,,,,,,,,1.0,0.0
102,A New Trajectory Deformation Algorithm Based on Affine Transformations *,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,2.0,0.0
103,Preference-Based CBR: General Ideas and Basic Principles *,Philipps University of Marburg,Philipps University of Marburg,,,,,,,,,,,,,,,,,,,2.0,0.0
104,Semi-Supervised Learning with Manifold Fitted Graphs,Columbia University,Xiamen University,Columbia University,University of Technology Sydney,IBM Research - Austin,Stevens Institute of Technology,,,,,,,,,,,,,,,6.0,0.0
105,A Brain-Computer Interface to a Plan-Based Narrative,Teesside University,Tel Aviv Sourasky Medical Center,,,,,,,,,,,,,,,,,,,2.0,0.0
106,Action Language BC: Preliminary Report,University of the State of Amazonas,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,2.0,0.0
107,Knowledge Compilation for Model Counting: Affine Decision Trees *,Artois University,Johannes Kepler University of Linz,Artois University,Artois University,,,,,,,,,,,,,,,,,4.0,0.0
108,Combine Constituent and Dependency Parsing via Reranking,City University of Hong Kong," HKSAR, Chin",City University of Hong Kong," HKSAR, Chin",Tower Semiconductor (Israel),Tsinghua University,City University of Hong Kong," HKSAR, Chin",,,,,,,,,,,,,4.0,1.0
109,Kemeny Elections with Bounded Single-Peaked or Single-Crossing Width,Paris Dauphine University,Paris Dauphine University,"LIP6-CNRS, UMR 7606 UPMC Paris, Franc",,,,,,,,,,,,,,,,,,3.0,0.0
110,The Dynamics of Reinforcement Social Learning in Cooperative Multiagent Systems,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,2.0,0.0
111,Bayesian Joint Inversions for the Exploration of Earth Resources,Data61,Data61,Data61,Data61,University of Melbourne,University of Sydney,,,,,,,,,,,,,,,6.0,0.0
112,Learning Visual Symbols for Parsing Human Poses in Images,Nanjing University of Science and Technology,National Institute of Information and Communications Technology,National Institute of Information and Communications Technology,,,,,,,,,,,,,,,,,,3.0,0.0
113,Data Repair of Inconsistent DL-Programs *,"Institute of Information Systems Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri",,,,,,,,,,,,,,,,,,3.0,0.0
114,Tractable Approximations of Consistent Query Answering for Robust Ontology-Based Data Access,Laboratoire de Recherche en Informatique,Sapienza University of Rome,,,,,,,,,,,,,,,,,,,2.0,0.0
115,Listening to the Crowd: Automated Analysis of Events via Aggregated Twitter Sentiment,Arizona State University,IBM Research - Thomas J. Watson Research Center,Arizona State University,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,4.0,0.0
116,"Modeling The Interplay of People's Location, Interactions, and Social Ties Ådam",University of Rochester,University of Rochester,,,,,,,,,,,,,,,,,,,2.0,0.0
117,Efficient Kernel Learning from Side Information Using ADMM,Hong Kong University of Science and Technology,Yunnan Normal University,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,3.0,0.0
118,Multi-Prototype Label Ranking with Novel Pairwise-to-Total-Rank Aggregation,"Yahoo! Labs, US",Temple University,Temple University,,,,,,,,,,,,,,,,,,2.0,0.0
119,Efficiently Solving Joint Activity Based Security Games,University of Southern California,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,4.0,0.0
120,Learning Topical Translation Model for Microblog Hashtag Suggestion,Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,,4.0,0.0
121,A Clause-Level Hybrid Approach to Chinese Empty Element Recovery,Soochow University,National University of Singapore,Soochow University,,,,,,,,,,,,,,,,,,3.0,0.0
122,Parameter Learning for Latent Network Diffusion,University of Massachusetts Amherst,IBM Research - India,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,4.0,0.0
123,"Action Translation in Extensive-Form Games with Large Action Spaces: Axioms, Paradoxes, and the Pseudo-Harmonic Mapping *",Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,2.0,0.0
124,Multi-Instance Multi-Label Learning with Weak Label *,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,3.0,0.0
125,Online Group Feature Selection,Hefei University of Technology,Hefei University of Technology,Hong Kong Baptist University,Hefei University of Technology,Hong Kong Baptist University,Hefei University of Technology,Hefei University of Technology,University of Vermont,,,,,,,,,,,,,8.0,0.0
126,Human Action Recognition Using a Temporal Hierarchy of Covariance Descriptors on 3D Joint Locations,Alexandria University,Alexandria University,Alexandria University,Egyptian Atomic Energy Authority,,,,,,,,,,,,,,,,,3.0,0.0
127,Accurate Integration of Crowdsourced Labels Using Workers' Self-Reported Confidence Scores,Hokkaido University,Kyushu University,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,4.0,0.0
128,"Semiring Labelled Decision Diagrams, Revisited: Canonicity and Spatial Efficiency Issues *",Université de Toulouse,Artois University,Université de Toulouse,Artois University,,,,,,,,,,,,,,,,,4.0,0.0
129,Positive Subsumption in Fuzzy EL with General t-Norms *,TU Dresden,Center for Advancing Electronics Dresde,,,,,,,,,,,,,,,,,,,1.0,0.0
130,Are There Any Nicely Structured Preference Profiles Nearby?,Technical University of Berlin,Modeinstitut Berlin (Germany),Eindhoven University of Technology,,,,,,,,,,,,,,,,,,2.0,0.0
131,Sequential Equilibrium in Computational Games,Cornell University,Cornell University,,,,,,,,,,,,,,,,,,,2.0,0.0
132,Adaptive Management of Migratory Birds Under Sea Level Rise,CSIRO Ecosystem Science,French Institute for Research in Computer Science and Automation,University of Lorraine,Stanford University,CSIRO Ecosystem Science,,,,,,,,,,,,,,,,4.0,0.0
133,Manifold Alignment Based on Sparse Local Structures of More Corresponding Pairs,Sichuan University,Sichuan University,Sichuan University,,,,,,,,,,,,,,,,,,3.0,0.0
134,Reasoning about State Constraints in the Situation Calculus,Sun Yat-sen University,Sun Yat-sen University,Griffith University,Sun Yat-sen University,,,,,,,,,,,,,,,,,4.0,0.0
135,Syntactic Labelled Tableaux for Łukasiewicz Fuzzy ALC *,Imperial College London,University of Erlangen-Nuremberg,,,,,,,,,,,,,,,,,,,2.0,0.0
136,Multi-View Embedding Learning for Incompletely Labeled Data,Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,,4.0,0.0
137,A Cutoff Technique for the Verification of Parameterised Interpreted Systems with Parameterised Environments,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,2.0,0.0
138,A Bayesian Factorised Covariance Model for Image Analysis *,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,2.0,0.0
139,An Intelligent Broker Agent for Energy Trading: An MDP Approach,Aston University,Aston University,Aston University,Aston University,,,,,,,,,,,,,,,,,4.0,0.0
140,Control Complexity of Schulze Voting,University of Rochester,Northwestern University,,,,,,,,,,,,,,,,,,,2.0,0.0
141,Three Semantics for the Core of the Distributed Ontology Language (Extended Abstract) *,University of Bremen,University of Birmingham,University of Bremen,,,,,,,,,,,,,,,,,,3.0,0.0
142,Case Adaptation with Qualitative Algebras *,University of Lorraine,University of Strasbourg,University of Lorraine,Lancaster University,,,,,,,,,,,,,,,,,4.0,0.0
143,Synthesizing Union Tables from the Web,University of Washington,University of Washington,University of Washington,University of Washington,,,,,,,,,,,,,,,,,4.0,0.0
144,Web and Knowledge-Based Information Systems,,,,,,,,,,,,,,,,,,,,,0.0,0.0
145,Decidable Reasoning in a Logic of Limited Belief with Introspection and Unknown Individuals,RWTH Aachen University,University of Toronto,,,,,,,,,,,,,,,,,,,2.0,0.0
146,Opinion Target Extraction Using Partially-Supervised Word Alignment Model *,Academia Sinica,Academia Sinica,Academia Sinica,Academia Sinica,,,,,,,,,,,,,,,,,4.0,0.0
147,Predicting Human Strategic Decisions Using Facial Expressions,Bar-Ilan University,Bar-Ilan University,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,,,,4.0,0.0
148,TutorialPlan: Automated Tutorial Generation from CAD Drawings,"Autodesk Research Toronto, Ontario, Canad",Texas Tech University,"Autodesk Research Toronto, Ontario, Canad",,,,,,,,,,,,,,,,,,1.0,0.0
149,Histogram of Oriented Displacements (HOD): Describing Trajectories of Human Joints for Action Recognition,Alexandria University,Alexandria University,Alexandria University,Egyptian Atomic Energy Authority,,,,,,,,,,,,,,,,,3.0,0.0
150,Causal Inference with Rare Events in Large-Scale Time-Series Data,Stevens Institute of Technology,,,,,,,,,,,,,,,,,,,,1.0,0.0
