Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,num_academia,num_company
0,Implicit Learning of Common Sense for Reasoning,Harvard University,,,,,,,,,,,,,,,,,,,,1.0,0.0
1,Answer Set Programming Modulo Theories and Reasoning about Continuous Changes,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,2.0,0.0
2,Fast Linearization of Tree Kernels over Large-Scale Data,University of Trento,University of Trento,Qatar Computing Research Institute,,,,,,,,,,,,,,,,,,2.0,0.0
3,Personalized Diagnosis for Over-Constrained Problems *,Graz University of Technology,Graz University of Technology,Graz University of Technology,,,,,,,,,,,,,,,,,,3.0,0.0
4,Online Community Detection for Large Complex Networks,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,4.0,0.0
5,Improving the Effectiveness of Time-Based Display Advertising (Extended Abstract) *,New York University,Google (United States),New York University,,,,,,,,,,,,,,,,,,2.0,1.0
6,A Case-Based Solution to the Cold-Start Problem in Group Recommenders *,Complutense University of Madrid,University College Cork,Complutense University of Madrid,Complutense University of Madrid,,,,,,,,,,,,,,,,,4.0,0.0
7,Computational Analysis of Connectivity Games with Applications to the Investigation of Terrorist Networks,University of Oxford,University of Warsaw,University of Southampton,Warsaw University of Technology,University of Warsaw,IBM Research - India,University of Oxford,,,,,,,,,,,,,,7.0,0.0
8,Game-Theoretic Question Selection for Tests,Duke University,Duke University,,,,,,,,,,,,,,,,,,,2.0,0.0
9,Link Label Prediction in Signed Social Networks,"IBM Research Bangalore, Indi",Toyota Technological Institute at Chicago,"IBM Research Bangalore, Indi",,,,,,,,,,,,,,,,,,1.0,2.0
10,Promoting Diversity in Recommendation by Entropy Regularizer,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,2.0,0.0
11,Hierarchical Object Discovery and Dense Modelling From Motion Cues in RGB-D Video,University of Bonn,University of Bonn,,,,,,,,,,,,,,,,,,,2.0,0.0
12,Tractable Queries for Lightweight Description Logics,Laboratoire de Recherche en Informatique,"Institute of Information Systems Vienna University of Technology, Austri","Institute of Information Systems Vienna University of Technology, Austri","Institute of Information Systems Vienna University of Technology, Austri",,,,,,,,,,,,,,,,,4.0,0.0
13,Towards a Knowledge Compilation Map for Heterogeneous Representation Languages ⇤,Université Toulouse III - Paul Sabatier,"CRIL-CNRS, Univ. Artois Lens, Franc","CRIL-CNRS, Univ. Artois Lens, Franc",,,,,,,,,,,,,,,,,,3.0,0.0
14,A Global Constrained Optimization Method for Designing Road Networks with Small Diameters *,Tianjin University,II-VI (China),Tianjin University,II-VI (China),Tianjin University,II-VI (China),Tianjin University,The Open University,II-VI (China), U,,,,,,,,,,,5.0,4.0
15,Twitter-Based User Modeling for News Recommendations *,Delft University of Technology,Delft University of Technology,Delft University of Technology,Delft University of Technology,,,,,,,,,,,,,,,,,4.0,0.0
16,Why Is It So Hard to Say Sorry? Evolution of Apology with Commitments in the Iterated Prisoner's Dilemma *,Vrije Universiteit Brussel,Université Libre de Bruxelles,Universidade Nova de Lisboa,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento," ATP-group, Inst. Investigac ¸ão Interdisciplinar, Lisbon, Portuga",Vrije Universiteit Brussel,Université Libre de Bruxelles,,,,,,,,,,,,,,4.0,0.0
17,Intention-Aware Routing to Minimise Delays at Electric Vehicle Charging Stations *,Delft University of Technology,University of Southampton,University of Southampton,University of Southampton,University of Southampton,,,,,,,,,,,,,,,,5.0,0.0
18,Bayesian Optimization in High Dimensions via Random Embeddings,University of British Columbia,University of Amsterdam,University of Freiburg,University of British Columbia,University of British Columbia,,,,,,,,,,,,,,,,5.0,0.0
19,Protein Function Prediction by Integrating Multiple Kernels *,South China University of Technology,Southwest University,George Mason University,George Mason University,South China University of Technology,Southwest University,,,,,,,,,,,,,,,6.0,0.0
20,Map Matching with Inverse Reinforcement Learning,IBM Research - Tokyo,IBM Research - Tokyo,,,,,,,,,,,,,,,,,,,2.0,0.0
21,Refining Incomplete Planning Domain Models Through Plan Traces,Sun Yat-sen University,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,3.0,0.0
22,Do Hard SAT-Related Reasoning Tasks Become Easier in the Krom Fragment?,Aix-Marseille University,"Vienna University of Technology Favoritenstraße 9-11 A-1040 Vienna, Austri","Vienna University of Technology Favoritenstraße 9-11 A-1040 Vienna, Austri",,,,,,,,,,,,,,,,,,1.0,0.0
23,Co-Regularized Ensemble for Feature Selection,Tianjin University,Tianjin University of Science and Technology,He University,He University,,,,,,,,,,,,,,,,,4.0,0.0
24,Active Learning via Neighborhood Reconstruction,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,4.0,0.0
25,Concept Learning for Cross-Domain Text Classification: A General Probabilistic Framework,Institute of Computing Technology," Hewlett Packard Labs, China",Pennsylvania State University,Institute of Computing Technology,Institute of Computing Technology,,,,,,,,,,,,,,,,4.0,0.0
26,Backdoors to Abduction,University of Vienna,University of Vienna,University of Vienna,,,,,,,,,,,,,,,,,,3.0,0.0
27,End-to-End Coreference Resolution for Clinical Narratives,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,2.0,0.0
28,Identifying Useful Human Correction Feedback from an On-line Machine Translation Service *,Universitat Politècnica de Catalunya,Technical University of Madrid,Universitat Politècnica de Catalunya,Universitat Politècnica de Catalunya,Universitat Politècnica de Catalunya,Universitat Politècnica de Catalunya,Etegent Technologies (United States),,,,,,,,,,,,,,6.0,1.0
29,Social Trust Prediction Using Rank-k Matrix Recovery,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,5.0,0.0
30,Celebrity Recommendation with Collaborative Social Topic Regression,Tsinghua University,Tsinghua University,University of Toronto,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,4.0,0.0
31,Improving Traffic Prediction with Tweet Semantics,Stevens Institute of Technology,Stevens Institute of Technology,Stevens Institute of Technology,Stevens Institute of Technology,Stevens Institute of Technology,,,,,,,,,,,,,,,,5.0,0.0
32,A Game-heoretic Machine Learning Approach for Revenue Maximization in Sponsored Search,Peking University," Microsoft Research Asia, Building 2, No. 5 Danling Street, Beijing, P.R.Chin",Peking University," Microsoft Research Asia, Building 2, No. 5 Danling Street, Beijing, P.R.Chin",,,,,,,,,,,,,,,,,2.0,0.0
33,A Proof-Theoretical View of Collective Rationality,Christchurch Hospital,,,,,,,,,,,,,,,,,,,,1.0,0.0
34,An Introduction to String Re-Writing Kernel *,Department of Health, State Key Laboratory of Intelligent Technology and Systems 1, Tsinghua National Laboratory for Information Sci. and Tech. 1,Tsinghua University,,,,,,,,,,,,,,,,,2.0,1.0
