Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,num_academia,num_company
0,"Artificial Intelligence, Bias, and Ethics",University of Washington,,,,,,,,,,,,,,,,,1.0,0.0
1,Deep Multi-View Subspace Clustering with Anchor Graph,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,Southern University of Science and Technology,University of Electronic Science and Technology of China,Southern University of Science and Technology,University of Electronic Science and Technology of China,Lehigh University,,,,,,,,,,,7.0,0.0
2,Multi-View Robust Graph Representation Learning for Graph Classification,Beihang University,Beihang University,University of Chinese Academy of Sciences,Beihang University,Beihang University,National Computer Network Emergency Response Technical Team/Coordination Center of Chinar,,,,,,,,,,,,6.0,0.0
3,Complex Contagion Influence Maximization: A Reinforcement Learning Approach,Carnegie Mellon University,Nanyang Technological University,Nanyang Technological University,University of Southern California,Harvard University,,,,,,,,,,,,,5.0,0.0
4,Generalization through Diversity: Improving Unsupervised Environment Design,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,3.0,0.0
5,Advancing Post-Hoc Case-Based Explanation with Feature Highlighting,Massachusetts Institute of Technology,University College Dublin,Santa Fe Institute,University College Dublin,Insight,Santa Fe Institute,,,,,,,,,,,,6.0,0.0
6,CADParser: A Learning Approach of Sequence Modeling for B-Rep CAD,Beihang University,University of Waterloo,Beihang University,,,,,,,,,,,,,,,3.0,0.0
7,Unifying Core-Guided and Implicit Hitting Set Based Optimization,University of Helsinki,University of Helsinki,University of Helsinki,,,,,,,,,,,,,,,3.0,0.0
8,User-Centric Democratization towards Social Value Aligned Medical AI Services,Lancaster University,Lancaster University,,,,,,,,,,,,,,,,2.0,0.0
9,Finite Entailment of UCRPQs over ALC Ontologies (Extended Abstract) *,Cardiff University,University of Warsaw,Cardiff University,University of Warsaw,,,,,,,,,,,,,,4.0,0.0
10,Fair Division of a Graph into Compact Bundles,University of Glasgow,,,,,,,,,,,,,,,,,1.0,0.0
11,First-Choice Maximality Meets Ex-ante and Ex-post Fairness,Peking University,Binghamton University,Rensselaer Polytechnic Institute,Peking University,Peking University,Guangzhou University,,,,,,,,,,,,6.0,0.0
12,Predictive Modelling of Human Reasoning Using AGM Belief Revision,University of Cape Town,,,,,,,,,,,,,,,,,1.0,0.0
13,Algorithmic Motion Planning Meets Minimally-Invasive Robotic Surgery,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,1.0,0.0
14,Machine Learning Driven Aid Classification for Sustainable Development,Korea Advanced Institute of Science and Technology,Inter-American Development Bank,Korea Advanced Institute of Science and Technology,Institute for Basic Science,Korea Advanced Institute of Science and Technology,Gwangju Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Institute for Basic Science,Korea Advanced Institute of Science and Technology,,,,,,,,10.0,0.0
15,Decoding the Underlying Meaning of Multimodal Hateful Memes,Singapore University of Technology and Design,Singapore Management University,Singapore University of Technology and Design,,,,,,,,,,,,,,,3.0,0.0
16,Generative Flow Networks for Precise Reward-Oriented Active Learning on Graphs, Huawei Noah's Ark La,Tianjin University,National University of Singapore, Huawei Noah's Ark La,Tianjin University,Tianjin University, Huawei Noah's Ark La,,,,,,,,,,,4.0,0.0
17,OptIForest: Optimal Isolation Forest for Anomaly Detection,Macquarie University,Macquarie University, CSIRO's Data6,Qufu Normal University,Nanjing University,Macquarie University,Macquarie University,Nanjing University of Information Science and Technology,,,,,,,,,,7.0,0.0
18,Towards an Integrated View of Semantic Annotation for POIs with Spatial and Textual Information,Shandong University,Shandong University,Nanyang Technological University,Georgia State University,Shandong University,,,,,,,,,,,,,5.0,0.0
19,Dynamic Belief for Decentralized Multi-Agent Cooperative Learning,Peking University,Peng Cheng Laboratory,Peking University,Peking University Shenzhen Hospital,Peking University,Peng Cheng Laboratory,Peking University Shenzhen Hospital,,,,,,,,,,,7.0,0.0
20,Survey and Evaluation of Causal Discovery Methods for Time Series (Extended Abstract) *,Grenoble Institute of Technology,Grenoble Institute of Technology,Grenoble Institute of Technology,,,,,,,,,,,,,,,3.0,0.0
21,Data-Driven Revision of Conditional Norms in Multi-Agent Systems (Extended Abstract) *,Delft University of Technology,Utrecht University,Utrecht University,Utrecht University,Utrecht University,University of Aberdeen,,,,,,,,,,,,6.0,0.0
22,On Discovering Interesting Combinatorial Integer Sequences,Czech Technical University in Prague,Czech Technical University in Prague,Czech Technical University in Prague,China Rehabilitation Research Center,ETH Zurich,Czech Technical University in Prague,,,,,,,,,,,,6.0,0.0
23,Probabilistic Temporal Logic for Reasoning about Bounded Policies,Utrecht University,Utrecht University,Utrecht University,Utrecht University,Utrecht University,University of Aberdeen,,,,,,,,,,,,6.0,0.0
24,Complete Instances Mining for Weakly Supervised Instance Segmentation,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology, Pazhou Laborator,,,,,,,,,,,,,4.0,0.0
25,Low-Confidence Samples Mining for Semi-supervised Object Detection,Tsinghua University,Research Organization for Information Science and Technology,Tsinghua University,Research Organization for Information Science and Technology,Tsinghua University,Research Organization for Information Science and Technology,Tsinghua University,Research Organization for Information Science and Technology,Tsinghua University,Research Organization for Information Science and Technology,,,,,,,,10.0,0.0
26,Sequential Attention Source Identification Based on Feature Representation,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,,,,,,,,,,,,6.0,0.0
27,Graph Sampling-based Meta-Learning for Molecular Property Prediction,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,12.0,0.0
28,Temporal Network Creation Games,University of L'Aquila,Hasso Plattner Institute,Hasso Plattner Institute,Hasso Plattner Institute,Hasso Plattner Institute,Hasso Plattner Institute,Hasso Plattner Institute,,,,,,,,,,,7.0,0.0
29,Towards a Better Understanding of Learning with Multiagent Teams,University of Waterloo,University of Waterloo,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,4.0,0.0
30,Deep Hierarchical Communication Graph in Multi-Agent Reinforcement Learning," National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Applications, and Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong Universit"," National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Applications, and Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong Universit"," National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Applications, and Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong Universit"," National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Applications, and Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong Universit", Intelligent Science & Technology Academ," National Key Laboratory of Human-Machine Hybrid Augmented Intelligence, National Engineering Research Center for Visual Information and Applications, and Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong Universit",,,,,,,,,,,,6.0,0.0
31,Coupled Point Process-based Sequence Modeling for Privacy-preserving Network Alignment,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Renmin University of China, Beijing Key Laboratory of Big Data Management and Analysis Method,,,,,,,,,,,,,4.0,0.0
32,Progressive Label Propagation for Semi-Supervised Multi-Dimensional Classification,Southeast University,Southeast University,Lanzhou University of Technology,Southeast University,Southeast University,,,,,,,,,,,,,5.0,0.0
33,Musical Voice Separation as Link Prediction: Modeling a Musical Perception Task as a Multi-Trajectory Tracking Problem,Johannes Kepler University of Linz,Johannes Kepler University of Linz,Johannes Kepler University of Linz,De Lin Institute of Technology,,,,,,,,,,,,,,3.0,0.0
34,Human-AI Collaboration in Recruitment and Selection,University of Oxford,,,,,,,,,,,,,,,,,1.0,0.0
35,OSP2B: One-Stage Point-to-Box Network for 3D Siamese Tracking,Hangzhou Dianzi University,Hangzhou Dianzi University,Hangzhou Dianzi University,Hangzhou Dianzi University,Hangzhou Dianzi University,University of Sydney,,,,,,,,,,,,6.0,0.0
36,Acoustic NLOS Imaging with Cross-Modal Knowledge Distillation,Sungkyunkwan University,Sungkyunkwan University,Sungkyunkwan University,,,,,,,,,,,,,,,3.0,0.0
37,Keep Skills in Mind: Understanding and Implementing Skills in Commonsense Question Answering,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc,,,,,,,,5.0,2.0
38,Revisiting the Evaluation of Deep Learning-Based Compiler Testing,University of Waterloo,Hong Kong University of Science and Technology,University of Waterloo,University of Waterloo,University of Waterloo,Hong Kong University of Science and Technology,,,,,,,,,,,,6.0,0.0
39,Differentiable Economics for Randomized Affine Maximizer Auctions,University of Zurich,Carnegie Mellon University,University of Mary,,,,,,,,,,,,,,,3.0,0.0
40,Rainbow Cycle Number and EFX Allocations: (Almost) Closing the Gap,Sharif University of Technology,Khatam University,Sharif University of Technology,Sharif University of Technology,,,,,,,,,,,,,,4.0,0.0
41,AudioQR: Deep Neural Audio Watermarks For QR Code,"Speech and Audio Team, Bytedance AI La","Speech and Audio Team, Bytedance AI La","Speech and Audio Team, Bytedance AI La","Speech and Audio Team, Bytedance AI La","Speech and Audio Team, Bytedance AI La",,,,,,,,,,,,,5.0,0.0
42,Keeping People Active and Healthy at Home Using a Reinforcement Learning-based Fitness Recommendation Framework,University College Dublin,University College Dublin," Samsung Electronics Co., Ltd., Seoul, Republic of Kore",University College Dublin,University College Dublin,University College Dublin,University College Dublin,University College Dublin,University College Dublin,,,,,,,,,8.0,0.0
43,"FEAMOE: Fair, Explainable and Adaptive Mixture of Experts",The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,3.0,0.0
44,Inducing Stackelberg Equilibrium through Spatio-Temporal Sequential Decision-Making in Multi-Agent Reinforcement Learning,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,,,,,,,,10.0,0.0
45,Learning Constraint Networks over Unknown Constraint Languages,University of Montpellier,University of Montpellier,University of Montpellier,,,,,,,,,,,,,,,3.0,0.0
46,Contrastive Learning and Reward Smoothing for Deep Portfolio Management,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,,,,,,,,,,,,,,,3.0,0.0
47,Social Motivation for Modelling Other Agents under Partial Observability in Decentralised Training,Deakin University,Deakin University,Deakin University,Deakin University,Deakin University,,,,,,,,,,,,,5.0,0.0
48,Learning to Act for Perceiving in Partially Unknown Environments,Fondazione Bruno Kessler,Örebro University,University of Brescia,University of Brescia,Örebro University,Fondazione Bruno Kessler,Fondazione Bruno Kessler,,,,,,,,,,,7.0,0.0
49,ReLiNet: Stable and Explainable Multistep Prediction with Recurrent Linear Parameter Varying Networks,University of Stuttgart,University of Stuttgart,University of Stuttgart,University of Southampton,,,,,,,,,,,,,,4.0,0.0
50,Boosting Few-Shot Open-Set Recognition with Multi-Relation Margin Loss,Southeast University,Southeast University,Southeast University,Southeast University,Southeast University,Southeast University,,,,,,,,,,,,6.0,0.0
51,A Survey of Methods for Automated Algorithm Configuration (Extended Abstract) *,Bielefeld University,Paderborn University,Leibniz University Hannover,Ludwig-Maximilians-Universität München,Technical University of Munich,Ludwig-Maximilians-Universität München,Technical University of Munich,Bielefeld University,Ludwig-Maximilians-Universität München,Technical University of Munich,,,,,,,,10.0,0.0
52,Mean-Semivariance Policy Optimization via Risk-Averse Reinforcement Learning (Extended Abstract) *,Tsinghua University,Sun Yat-sen University,Sun Yat-sen University,Tsinghua University,,,,,,,,,,,,,,4.0,0.0
53,A Unifying Formal Approach to Importance Values in Boolean Functions,Paderborn University,TU Dresden,TU Dresden,TU Dresden,University of the Witwatersrand,Eindhoven University of Technology,University of the Witwatersrand,,,,,,,,,,,7.0,0.0
54,Random Assignment of Indivisible Goods under Constraints,The University of Tokyo,Tokyo Institute of Technology,Tokyo Institute of Technology,,,,,,,,,,,,,,,3.0,0.0
55,Domain-Adaptive Self-Supervised Face & Body Detection in Drawings,Kōchi University,Kōchi University,Kōchi University,,,,,,,,,,,,,,,3.0,0.0
56,AI-Driven Sign Language Interpretation for Nigerian Children at Home,"University at Buffalo, State University of New York",Rochester Institute of Technology,Rochester Institute of Technology,"University at Buffalo, State University of New York",Rochester Institute of Technology,University of New Mexico,,,,,,,,,,,,6.0,0.0
57,On AI-Assisted Pneumoconiosis Detection from Chest X-rays,Indian Institute of Technology Jodhpur,Indian Institute of Technology Jodhpur,Indian Institute of Technology Jodhpur,Indian Institute of Technology Jodhpur,Indian Institute of Technology Jodhpur,,,,,,,,,,,,,5.0,0.0
58,An Effective and Efficient Time-aware Entity Alignment Framework via Two-aspect Three-view Label Propagation,East China Normal University,Guizhou University,East China Normal University,Warrant Hub (Italy),Tsinghua University,East China Normal University,East China Normal University," Lingang Laboratory, Shanghai 200031, Chin",,,,,,,,,,6.0,1.0
59,Adversarial Contention Resolution Games,University of Liverpool,Augusta University,Augusta University,University of Liverpool,,,,,,,,,,,,,,4.0,0.0
60,Function Approximation for Reinforcement Learning Controller for Energy from Spread Waves,Hewlett Packard Enterprise (United States),Hewlett Packard Enterprise (United States),Hewlett Packard Enterprise (United States),Hewlett Packard Enterprise (United States),Hewlett Packard Enterprise (United States),Hewlett Packard Enterprise (United States)," Carnegie Clean Energy, Australi"," Carnegie Clean Energy, Australi",,,,,,,,,,0.0,8.0
61,A Fast Algorithm for Consistency Checking Partially Ordered Time,Linköping University,Linköping University,,,,,,,,,,,,,,,,2.0,0.0
62,A Regular Matching Constraint for String Variables,University of Bologna,Monash University," OPTIMA ARC Industrial Transformation and Training Centre, Melbourne, Australi",,,,,,,,,,,,,,,2.0,0.0
63,Optimal Decision Tree Policies for Markov Decision Processes,Delft University of Technology,Delft University of Technology,,,,,,,,,,,,,,,,2.0,0.0
64,The First Proven Performance Guarantees for the Non-Dominated Sorting Genetic Algorithm II (NSGA-II) on a Combinatorial Optimization Problem,Institut Polytechnique de Paris,Institut Polytechnique de Paris,Institut Polytechnique de Paris,Institut Polytechnique de Paris,University of Potsdam,,,,,,,,,,,,,5.0,0.0
65,Analyzing and Combating Attribute Bias for Face Restoration, Research Institute of Trustworthy Autonomous Systems,Southern University of Science and Technology,Southern University of Science and Technology, Research Institute of Trustworthy Autonomous Systems,Southern University of Science and Technology,Southern University of Science and Technology,Southern University of Science and Technology, Research Institute of Trustworthy Autonomous Systems,Southern University of Science and Technology,Southern University of Science and Technology, Research Institute of Trustworthy Autonomous Systems,Southern University of Science and Technology,Southern University of Science and Technology,,,,,5.0,0.0
66,Reverse Engineering of Temporal Queries Mediated by LTL Ontologies,Université Paris Cité,University of Liverpool,"Birkbeck, University of London",University of Southampton,University of Liverpool,"Birkbeck, University of London",,,,,,,,,,,,6.0,0.0
67,On the Paradox of Learning to Reason from Data,"University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,5.0,0.0
68,A Generalized Deep Markov Random Fields Framework for Fake News Detection,Tianjin University,Tianjin University,Tianjin University,Tianjin University,Beijing University of Posts and Telecommunications,Tianjin University,Tianjin University,Tianjin University,,,,,,,,,,8.0,0.0
69,Interpretable Local Concept-based Explanation with Human Feedback to Predict All-cause Mortality (Extended Abstract) *,Institute of Computer Science,Houston Methodist,,,,,,,,,,,,,,,,2.0,0.0
70,Recent Advances in Direct Speech-to-text Translation,Northeastern University,Northeastern University,Liaoning University of Traditional Chinese Medicine,Northeastern University,Liaoning University of Traditional Chinese Medicine,,,,,,,,,,,,,3.0,0.0
71,Simplification and Improvement of MMS Approximation,Max Planck Institute for Informatics,Saarland University,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,Augusta University,,,,,,,,,,,,,5.0,0.0
72,KDLGT: A Linear Graph Transformer Framework via Kernel Decomposition Approach,Peking University,Peking University,Peking University,Peking University,Peking University,Vector Institute,Peng Cheng Laboratory,,,,,,,,,,,7.0,0.0
73,Sign Language-to-Text Dictionary with Lightweight Transformer Models,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,University of Namur,17.0,0.0
74,GreenFlow: A Computation Allocation Framework for Building Environmentally Sound Recommendation System,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,10.0,0.0
75,A Pathway Towards Responsible AI Generated Content,Sony Researc,,,,,,,,,,,,,,,,,1.0,0.0
76,Interpretability and Fairness in Machine Learning: A Formal Methods Approach,National University of Singapore,,,,,,,,,,,,,,,,,1.0,0.0
77,IID-GAN: an IID Sampling Perspective for Regularizing Mode Collapse,Computer Science Department,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,1.0,0.0
78,BRExIt: On Opponent Modelling in Expert Iteration,University of York,Eindhoven University of Technology,Centrum Wiskunde & Informatica,,,,,,,,,,,,,,,3.0,0.0
79,GPLight: Grouped Multi-agent Reinforcement Learning for Large-scale Traffic Signal Control,Beijing University of Posts and Telecommunications,Xidian University,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Xidian University,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,,,,,,,,9.0,0.0
80,Modeling Moral Choices in Social Dilemmas with Multi-Agent Reinforcement Learning,University College London,University College London,University College London,University of Bologna,,,,,,,,,,,,,,4.0,0.0
81,pTSE: A Multi-model Ensemble Method for Probabilistic Time Series Forecasting,University of Virginia,University of Virginia,University of Virginia,University of Virginia,University of Virginia,University of Virginia,,,,,,,,,,,,6.0,0.0
82,Differentially Private Partial Set Cover with Applications to Facility Location,University of Mary," Biocomplexity Institute and Initiative, and Department of Computer Science, University of Virgini"," Biocomplexity Institute and Initiative, and Department of Computer Science, University of Virgini",,,,,,,,,,,,,,,1.0,0.0
83,SAT Encodings for Pseudo-Boolean Constraints Together With At-Most-One Constraints (Extended Abstract) *,University of Girona,Research Institute for Artificial Intelligence,University of York,University of Girona,University of York,University of Girona,,,,,,,,,,,,6.0,0.0
84,Cross-Domain Facial Expression Recognition via Disentangling Identity Representation,Wuhan University,Wuhan University,Macquarie University,Wuhan University," JD Explore Academy, Chin",Wuhan University,Zhongnan University of Economics and Law,,,,,,,,,,,7.0,0.0
85,PowerBEV: A Powerful Yet Lightweight Framework for Instance Prediction in Bird's-Eye View,Mercedes-Benz (Germany),University of Tübingen,Mercedes-Benz (Germany),University of Bonn,University of Bonn,Mercedes-Benz (Germany),University of Tübingen,Mercedes-Benz (Germany),University of Bonn," Lamarr Institute for Machine Learning and Artificial Intelligence, German",,,,,,,,5.0,4.0
86,Shhh! The Logic of Clandestine Operations,University of Southampton,Tulane University,,,,,,,,,,,,,,,,2.0,0.0
87,Rethinking Formal Models of Partially Observable Multiagent Decision Making (Extended Abstract) *,Technical University of Munich,Carnegie Mellon University,University of Alberta Hospital,University of Alberta Hospital,University of Alberta Hospital,Technical University of Munich,,,,,,,,,,,,6.0,0.0
88,Reinforcement Learning from Optimization Proxy for Ride-Hailing Vehicle Relocation (Extended Abstract) *,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,3.0,0.0
89,Some General Identification Results for Linear Latent Hierarchical Causal Structure,Guangdong University of Technology,Beijing Technology and Business University,Guangdong University of Technology,Guangdong University of Technology,Shantou University,Guangdong University of Technology,Peng Cheng Laboratory,,,,,,,,,,,7.0,0.0
90,Computing Abductive Explanations for Boosted Regression Trees,Centre de Recherche en Informatique,Centre de Recherche en Informatique,Centre de Recherche en Informatique,Centre de Recherche en Informatique,Institut Universitaire de France,,,,,,,,,,,,,5.0,0.0
91,Overlooked Implications of the Reconstruction Loss for VAE Disentanglement,University of the Witwatersrand,University of the Witwatersrand,University of the Witwatersrand,,,,,,,,,,,,,,,3.0,0.0
92,Bayesian Optimization with Switching Cost: Regret Analysis and Lookahead Variants,Singapore Management University, Rice-Rick Digitalizatio,Shanghai University,,,,,,,,,,,,,,,2.0,0.0
93,Moral Planning Agents with LTL Values,Université de Toulouse,Université de Toulouse,Université de Toulouse,,,,,,,,,,,,,,,3.0,0.0
94,Towards Robust Gan-Generated Image Detection: A Multi-View Completion Representation,University of Technology Sydney,University of Technology Sydney,University of Sydney,University of Macau,,,,,,,,,,,,,,4.0,0.0
95,Full Scaling Automation for Sustainable Development of Green Data Centers,,,,,,,,,,,,,,,,,,0.0,0.0
96,A Prediction-and-Scheduling Framework for Efficient Order Transfer in Logistics,"Rutgers, The State University of New Jersey",Peking University,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,3.0,0.0
97,Delegated Online Search,Goethe University Frankfurt,French National Centre for Scientific Research,Goethe University Frankfurt,Goethe University Frankfurt,,,,,,,,,,,,,,4.0,0.0
98,Complexity of Efficient Outcomes in Binary-Action Polymatrix Games and Implications for Coordination Problems,University of London,University of London,University of London,University of London,University of Southern California,University of Johannesburg,,,,,,,,,,,,6.0,0.0
99,MV-Datalog+/-: Effective Rule-based Reasoning with Uncertain Observations (Extended Abstract) *,University of Oxford,University of Oxford,TU Wien,University of Oxford,,,,,,,,,,,,,,4.0,0.0
100,HireVAE: An Online and Adaptive Factor Model Based on Hierarchical and Regime-Switch VAE,Chinese University of Hong Kong,Stanford University,Shanghai Zhangjiang Laboratory,Chinese University of Hong Kong,Shanghai Zhangjiang Laboratory,,,,,,,,,,,,,5.0,0.0
101,InitLight: Initial Model Generation for Traffic Signal Control Using Adversarial Inverse Reinforcement Learning,East China Normal University,East China Normal University,East China Normal University,East China Normal University,East China Normal University,Tongji University,Kent State University,,,,,,,,,,,7.0,0.0
102,Learning Efficient Truthful Mechanisms for Trading Networks,IBM Research - China,IBM Research - China,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,3.0,0.0
103,Learning Prototype Classifiers for Long-Tailed Recognition,"University of California, Santa Barbara",Google (Switzerland)," Salesforce Research, US","University of California, Santa Barbara",,,,,,,,,,,,,,2.0,0.0
104,SLViT: Scale-Wise Language-Guided Vision Transformer for Referring Image Segmentation,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Ritsumeikan University,Zhejiang University,,,,,,,,,,8.0,0.0
105,On Efficient Transformer-Based Image Pre-training for Low-Level Vision,Chinese University of Hong Kong, Deeproute.a,Chinese University of Hong Kong, SmartMore Corporatio,,,,,,,,,,,,,,2.0,0.0
106,APR: Online Distant Point Cloud Registration through Aggregated Point Cloud Reconstruction,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Donghua University,Shanghai Jiao Tong University,,,,,,,,,,,,,5.0,0.0
107,The Parameterized Complexity of Finding Concise Local Explanations,University of Leeds,University of Leeds,TU Wien,,,,,,,,,,,,,,,3.0,0.0
108,Voice Guard: Protecting Voice Privacy with Strong and Imperceptible Adversarial Perturbation in the Time Domain,Ministry of Education,Wuhan University of Science and Technology,Ministry of Education,Wuhan University of Science and Technology,Ministry of Education,Wuhan University of Science and Technology,Ministry of Education,Wuhan University of Science and Technology,Huazhong University of Science and Technology,,,,,,,,,9.0,0.0
109,MAT: Mixed-Strategy Game of Adversarial Training in Fine-tuning,Hangzhou Dianzi University,Microsoft Research Asia (China),Hangzhou Dianzi University,,,,,,,,,,,,,,,2.0,1.0
110,Constraint Solving Approaches to the Business-to-Business Meeting Scheduling Problem (Extended Abstract) *,University of Girona,Research Institute for Artificial Intelligence,University of Girona,University of Granada,Polytechnique Montréal,University of Girona,University of Girona,,,,,,,,,,,7.0,0.0
111,Exploration via Joint Policy Diversity for Sparse-Reward Multi-Agent Tasks,University of Chinese Academy of Sciences,Institute of Automation,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,6.0,0.0
112,Probabilistic Planning with Prioritized Preferences over Temporal Logic Objectives, Hazhar Rahmani and Jie Fu are with the Department of Electrical and Computer Engineering,University of Florida, Hazhar Rahmani and Jie Fu are with the Department of Electrical and Computer Engineering,University of Florida,Worcester Polytechnic Institute,,,,,,,,,,,,,3.0,0.0
113,Dynamic Flows on Curved Space Generated by Labeled Data,Stanford University,University of Akron,Bank of Japan,Stanford University,Chinese University of Hong Kong,,,,,,,,,,,,,4.0,0.0
114,Towards Sharp Analysis for Distributed Learning with Random Features,Institute of Information Engineering,Renmin University of China,,,,,,,,,,,,,,,,2.0,0.0
115,Deliberation and Voting in Approval-Based Multi-Winner Elections,University of Waterloo,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,,3.0,0.0
116,Active Visual Exploration Based on Attention-Map Entropy,Jagiellonian University,Jagiellonian University,Warsaw University of Technology,Jagiellonian University,Jagiellonian University,Warsaw University of Technology,,,,,,,,,,,,6.0,0.0
117,Teaching What You Should Teach: A Data-Based Distillation Method,Beijing Institute of Technology,Beijing Institute of Technology,University of Science and Technology of China,Hunan University,Tsinghua University,Beijing Institute of Technology,,,,,,,,,,,,6.0,0.0
118,Finite-Trace Analysis of Stochastic Systems with Silent Transitions (Extended Abstract) *,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,,,,,,,,,,,,,5.0,0.0
119,Don't Ignore Alienation and Marginalization: Correlating Fraud Detection, National Engineering Research Center for Multimedia Software,Wuhan University, National Engineering Research Center for Multimedia Software,Wuhan University, National Engineering Research Center for Multimedia Software,Wuhan University,National University of Singapore,Macquarie University,Jianghan University, National Engineering Research Center for Multimedia Software,Wuhan University, National Engineering Research Center for Multimedia Software,Wuhan University,,,,,8.0,0.0
120,"JEPOO: Highly Accurate Joint Estimation of Pitch, Onset and Offset for Music Information Retrieval",Renmin University of China,Urban Planning & Design Institute of Shenzhen (China),Tsinghua University,Renmin University of China,Urban Planning & Design Institute of Shenzhen (China),,,,,,,,,,,,,3.0,0.0
121,Algorithmics of Egalitarian versus Equitable Sequences of Committees,Technical University of Berlin,Technical University of Berlin,Clausthal University of Technology,Clausthal University of Technology,,,,,,,,,,,,,,4.0,0.0
122,Schelling Games with Continuous Types,University of L'Aquila,University of Salento,University of Potsdam,University of Potsdam,University of Potsdam,University of Potsdam,,,,,,,,,,,,6.0,0.0
123,Fighting against Organized Fraudsters Using Risk Diffusion-based Parallel Graph Neural Network,Tongji University,Tongji University,Tongji University,Tongji University," Shanghai Artificial Intelligence Laboratory, Shanghai, Chin",Tongji University," Tencent Jarvis Laboratory, Shenzhen, Chin"," Tencent Jarvis Laboratory, Shenzhen, Chin"," Tencent Jarvis Laboratory, Shenzhen, Chin"," Tencent Jarvis Laboratory, Shenzhen, Chin",Tongji University," Shanghai Artificial Intelligence Laboratory, Shanghai, Chin",,,,,,9.0,0.0
124,Evaluating GPT-3 Generated Explanations for Hateful Content Moderation,Singapore University of Technology and Design,Singapore University of Technology and Design,University of Milan,Singapore University of Technology and Design,Singapore University of Technology and Design,,,,,,,,,,,,,5.0,0.0
125,Explanation-Guided Reward Alignment,University of Massachusetts Amherst,Oregon State University,University of Massachusetts Amherst,,,,,,,,,,,,,,,3.0,0.0
