Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,num_academia,num_company
683,Abstraction of Nondeterministic Situation Calculus Action Theories,University of Oxford,New York University,,,,,,,,,,,,,,,,2.0,0.0
684,Distilling Universal and Joint Knowledge for Cross-Domain Model Compression on Time Series Data,Institute for Infocomm Research,Nanyang Technological University,Institute for Infocomm Research,Institute for Infocomm Research,"Agency for Science, Technology and Research",Nanyang Technological University,Institute for Infocomm Research,"Agency for Science, Technology and Research",,,,,,,,,,8.0,0.0
685,FEDBFPT: An Efficient Federated Learning Framework for BERT Further Pre-training,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,4.0,0.0
686,Sub-Band Based Attention for Robust Polyp Segmentation,Anhui University of Science and Technology,Anhui University of Science and Technology,Anhui University of Science and Technology,Anhui University of Science and Technology,Anhui University of Science and Technology,,,,,,,,,,,,,5.0,0.0
687,Discovering Sounding Objects by Audio Queries for Audio Visual Segmentation,Institute of Information Engineering,University of Chinese Academy of Sciences,Beihang University,Alibaba Group (China),Alibaba Group (China),Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Beihang University,Inception Institute of Artificial Intelligence,Beihang University,,,,,,10.0,2.0
688,Adaptive Estimation Q-learning with Uncertainty and Familiarity,Jilin University,Jilin University,Jilin University,Jilin University,Jilin University,Jilin University,Jilin University,Jilin University,Jilin University,Jilin University,,,,,,,,10.0,0.0
689,Scalable Coupling of Deep Learning with Logical Reasoning *,Université de Toulouse,Université de Toulouse,Université de Toulouse,Université de Toulouse,,,,,,,,,,,,,,4.0,0.0
690,Proportionally Fair Online Allocation of Public Goods with Predictions,Cornell University,Drexel University,Harvard University,Cornell University,University of Toronto,University of Toronto,,,,,,,,,,,,6.0,0.0
691,Beyond Strict Competition: Approximate Convergence of Multi-agent Q-Learning Dynamics,Imperial College London,Imperial College London,Singapore University of Technology and Design,,,,,,,,,,,,,,,3.0,0.0
692,LGI-GT: Graph Transformers with Local and Global Operators Interleaving,Ocean University of China,Ocean University of China,,,,,,,,,,,,,,,,2.0,0.0
693,Adaptive Reward Shifting Based on Behavior Proximity for Offline Reinforcement Learning,Nanjing University of Aeronautics and Astronautics, MIIT Key Laboratory of Pattern Analysis and Machine Intelligenc,Nanjing University of Aeronautics and Astronautics, MIIT Key Laboratory of Pattern Analysis and Machine Intelligenc,,,,,,,,,,,,,,2.0,0.0
694,A Survey on Out-of-Distribution Evaluation of Neural NLP Models,Deakin University,Deakin University,Deakin University, VinUniversit,,,,,,,,,,,,,,4.0,0.0
