Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,num_academia,num_company
128,A Ladder of Causal Distances,,,,,,,,,,,,,,,,,,,,,0.0,0.0
129,ALaSca: an Automated Approach for Large-Scale Lexical Substitution,Sapienza University of Rome,University of Copenhagen,Sapienza University of Rome,Sapienza University of Rome,Sapienza University of Rome,,,,,,,,,,,,,,,,5.0,0.0
130,Attention-based Pyramid Dilated Lattice Network for Blind Image Denoising,Griffith University,Griffith University,Griffith University,,,,,,,,,,,,,,,,,,3.0,0.0
131,Residential Electric Load Forecasting via Attentive Transfer of Graph Neural Networks,McGill University,McGill University,,,,,,,,,,,,,,,,,,,2.0,0.0
132,Knowledge Consolidation based Class Incremental Online Learning with Limited Data,Indian Institute of Technology Kanpur,Duke University,Indian Institute of Technology Roorkee,Indian Institute of Technology Kanpur,University of Bath,Indian Institute of Technology Kanpur,,,,,,,,,,,,,,,6.0,0.0
133,Planning and Reinforcement Learning for General-Purpose Service Robots,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,1.0,0.0
134,Self-Supervised Adversarial Distribution Regularization for Medication Recommendation,Nanjing University of Aeronautics and Astronautics,University of Queensland,Nanjing University of Aeronautics and Astronautics,University of Queensland,Northeast Normal University,University of Queensland,University of Queensland,,,,,,,,,,,,,,7.0,0.0
135,Probabilistic Sufficient Explanations,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,,,,,,,2.0,0.0
136,Unsupervised Knowledge Graph Alignment by Probabilistic Reasoning and Semantic Embedding," Tencent Jarvis Lab, Shenzhen, Chin"," Tencent Jarvis Lab, Shenzhen, Chin",University of Oxford," Tencent Jarvis Lab, Shenzhen, Chin",Tencent (China)," Tencent Jarvis Lab, Shenzhen, Chin",Tencent (China),Zhejiang University," Tencent Jarvis Lab, Shenzhen, Chin",,,,,,,,,,,,2.0,2.0
137,On a Competitive Secretary Problem with Deferred Selections,Tel Aviv University,Tel Aviv University,Microsoft Research (United Kingdom),Hebrew University of Jerusalem,,,,,,,,,,,,,,,,,3.0,1.0
138,Worst-case Bounds on Power vs. Proportion in Weighted Voting Games with an Application to False-name Manipulation,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,University of Bath,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,4.0,0.0
139,FedSpeech: Federated Text-to-Speech with Continual Learning,Zhejiang University,Zhejiang University,Alibaba Group (China),Zhejiang University,,,,,,,,,,,,,,,,,3.0,1.0
140,Keep the Structure: A Latent Shift-Reduce Parser for Semantic Parsing,Peking University,Microsoft Research (United Kingdom),Beihang University,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Peking University,Microsoft Research (United Kingdom),,,,,,,,,,,,,,3.0,4.0
141,Unsupervised Hashing with Contrastive Information Bottleneck,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,"University at Buffalo, State University of New York"," ) Guangdong Key Laboratory of Big Data Analysis and Processing, Guangzhou, China","(ii) Key Laboratory of Machine Intelligence and Advanced Computing, Ministry of Education, China",,,,,,,,,,,,,,5.0,0.0
142,Point-based Acoustic Scattering for Interactive Sound Propagation via Surface Encoding,"University of Maryland, College Park","University of Maryland, College Park","University of Maryland, College Park",,,,,,,,,,,,,,,,,,3.0,0.0
143,Fine-grained Generalization Analysis of Structured Output Prediction,University of Birmingham,University of Birmingham,University of Birmingham,University of Birmingham,University of Birmingham,,,,,,,,,,,,,,,,5.0,0.0
144,Multi-Cause Effect Estimation with Disentangled Confounder Representation,University of Virginia,Arizona State University,University of Virginia,University of Virginia,,,,,,,,,,,,,,,,,4.0,0.0
145,Blocking-based Neighbor Sampling for Large-scale Graph Neural Networks,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,2.0,0.0
146,Learning Deeper Non-Monotonic Networks by Softly Transferring Solution Space,Southeast University,Southeast University,Southeast University,Southeast University,Southeast University,Southeast University,,,,,,,,,,,,,,,6.0,0.0
147,Reasoning-Based Learning of Interpretable ML Models,Monash University,Toulouse Institute of Computer Science Research," VMware Research, CA, US",Monash University,,,,,,,,,,,,,,,,,3.0,1.0
148,Two-Stage Facility Location Games with Strategic Clients and Facilities,Hasso Plattner Institute,Hasso Plattner Institute,Hasso Plattner Institute," Mathematics of Operations Research, University of Twent",,,,,,,,,,,,,,,,,4.0,0.0
149,Stochastic Market Games,Technische Hochschule Ingolstadt,Technische Hochschule Ingolstadt,Technische Hochschule Ingolstadt,Technische Hochschule Ingolstadt,Technische Hochschule Ingolstadt,Technische Hochschule Ingolstadt,,,,,,,,,,,,,,,6.0,0.0
150,MG-DVD: A Real-time Framework for Malware Variant Detection Based on Dynamic Heterogeneous Graph Learning,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,,,,,,,,,,,10.0,0.0
151,Data Efficient Algorithms and Interpretability Requirements for Personalized Assessment of Taskable AI Systems,Arizona State University,,,,,,,,,,,,,,,,,,,,1.0,0.0
152,Towards an Explainer-agnostic Conversational XAI,University of Milano-Bicocca," Digital Attitude, Milan, Ital",University of Milano-Bicocca,University of Milano-Bicocca,University of Milano-Bicocca,University of Milano-Bicocca,,,,,,,,,,,,,,,2.0,1.0
153,Transforming Robotic Plans with Timed Automata to Solve Temporal Platform Constraints,RWTH Aachen University,RWTH Aachen University,,,,,,,,,,,,,,,,,,,2.0,0.0
154,Likelihood-free Out-of-Distribution Detection with Invertible Generative Models,Linköping University,Linköping University,,,,,,,,,,,,,,,,,,,2.0,0.0
155,A Structure Self-Aware Model for Discourse Parsing on Multi-Party Dialogues, Center for Digital Media Computing and Software Engineering,Xiamen University,Inception Institute of Artificial Intelligence," Tencent AI Lab, Bellevue, W", Center for Digital Media Computing and Software Engineering,Xiamen University,Inception Institute of Artificial Intelligence, Center for Digital Media Computing and Software Engineering,Xiamen University,Inception Institute of Artificial Intelligence, Center for Digital Media Computing and Software Engineering,Xiamen University,Inception Institute of Artificial Intelligence,Soochow University, Center for Digital Media Computing and Software Engineering,Xiamen University,Inception Institute of Artificial Intelligence,Peng Cheng Laboratory,,,6.0,1.0
156,Learn to Intervene: An Adaptive Learning Policy for Restless Bandits in Application to Preventive Healthcare,Harvard University,Google (United States),Google (United States),Google (United States),,,,,,,,,,,,,,,,,1.0,3.0
157,HifiFace: 3D Shape and Semantic Prior Guided High Fidelity Face Swapping," Youtu Lab, Tencen",Zhejiang University," Youtu Lab, Tencen",Xiamen University," Youtu Lab, Tencen"," Youtu Lab, Tencen"," Youtu Lab, Tencen"," Youtu Lab, Tencen"," Youtu Lab, Tencen"," Youtu Lab, Tencen"," Youtu Lab, Tencen",Xiamen University,Inception Institute of Artificial Intelligence,,,,,,,,4.0,0.0
158,Context-aware Cross-level Fusion Network for Camouflaged Object Detection,Inner Mongolia University,Northwestern Polytechnical University,Nanjing University of Science and Technology,Institut National des Sciences Appliquées de Rennes,Inception Institute of Artificial Intelligence,,,,,,,,,,,,,,,,5.0,0.0
159,Fast Pareto Optimization for Subset Selection with Dynamic Cost Constraints,Nanjing University,Nanjing University,University of Adelaide,Nanjing University,,,,,,,,,,,,,,,,,4.0,0.0
160,CuCo: Graph Representation with Curriculum Contrastive Learning,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,,,,4.0,0.0
161,Predictive Analytics for COVID-19 Social Distancing,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Singapore University of Technology and Design,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,10.0,0.0
162,Towards a New Generation of Cognitive Diagnosis,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,1.0,0.0
163,Majority Vote in Social Networks: Make Random Friends or Be Stubborn to Overpower Elites,ETH Zurich,ETH Zurich,,,,,,,,,,,,,,,,,,,2.0,0.0
164,Masked Label Prediction: Unified Message Passing Model for Semi-Supervised Classification,,,,,,,,,,,,,,,,,,,,,0.0,0.0
165,Learning Stochastic Equivalence based on Discrete Ricci Curvature,Tianjin University,Tianjin University,Tianjin University,Tianjin University,Tianjin University,Tianjin University,,,,,,,,,,,,,,,6.0,0.0
166,A Clustering-based Framework for Classifying Data Streams,North Carolina Agricultural and Technical State University,North Carolina Agricultural and Technical State University,North Carolina Agricultural and Technical State University,North Carolina Agricultural and Technical State University,Raytheon Technologies (Italy),,,,,,,,,,,,,,,,4.0,1.0
167,Argumentative XAI: A Survey," Ericsson Research, Swede",Imperial College London,Imperial College London,University of Brescia,Imperial College London,,,,,,,,,,,,,,,,4.0,0.0
168,What's the Context? Implicit and Explicit Assumptions in Model-Based Goal Recognition,University of Melbourne,Monash University,,,,,,,,,,,,,,,,,,,2.0,0.0
169,Meta-Reinforcement Learning by Tracking Task Non-stationarity,French Institute for Research in Computer Science and Automation,Politecnico di Milano,,,,,,,,,,,,,,,,,,,2.0,0.0
170,On Guaranteed Optimal Robust Explanations for NLP Models,University of Oxford,University of Oxford,University of Oxford,University of Warmia and Mazury in Olsztyn,University of London,University of Oxford,,,,,,,,,,,,,,,6.0,0.0
171,An Adaptive News-Driven Method for CVaR-sensitive Online Portfolio Selection in Non-Stationary Financial Markets,Zhejiang University,Zhejiang University,Zhejiang University,Data61,,,,,,,,,,,,,,,,,4.0,0.0
172,Multi-Agent Belief Base Revision,Université de Toulouse,Institut de Recherche en Informatique et Systèmes Aléatoires,,,,,,,,,,,,,,,,,,,2.0,0.0
173,Multi-Agent Abstract Argumentation Frameworks With Incomplete Knowledge of Attacks,University of Malaga,University of Malaga,University of Malaga,,,,,,,,,,,,,,,,,,3.0,0.0
174,"A Polynomial-time, Truthful, Individually Rational and Budget Balanced Ridesharing Mechanism"," Toyota Motor Europe NV/SA, Zaventem, Belgiu",University of Southampton,University of Southampton,,,,,,,,,,,,,,,,,,2.0,0.0
175,Speech Recognition Using RFID Tattoos (Extended Abstract),Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,8.0,0.0
176,Multi-agent Approach to Resource Allocation in Autonomous Vehicle Fleets,Mines Saint-Étienne,,,,,,,,,,,,,,,,,,,,1.0,0.0
177,Deep Reinforcement Learning Boosted Partial Domain Adaptation,Institute for Infocomm Research,Institute for Infocomm Research,Nanyang Technological University,Institute for Infocomm Research,Institute for Infocomm Research,Institute for Infocomm Research,Nanyang Technological University,,,,,,,,,,,,,,7.0,0.0
178,HIVE: Hierarchical Information Visualization for Explainability,"Research Center for Information Technology Innovation, Academia Sinica","Research Center for Information Technology Innovation, Academia Sinica","Research Center for Information Technology Innovation, Academia Sinica",National Chengchi University,"Research Center for Information Technology Innovation, Academia Sinica",,,,,,,,,,,,,,,,5.0,0.0
179,MEDA: Meta-Learning with Data Augmentation for Few-Shot Text Classification,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,4.0,0.0
180,Efficient Black-Box Planning Using Macro-Actions with Focused Effects,Brown University,IBM Research - China,IBM Research - China,IBM Research - China,Brown University,IBM Research - China,IBM Research - China,,,,,,,,,,,,,,7.0,0.0
181,AMA-GCN: Adaptive Multi-layer Aggregation Graph Convolutional Network for Disease Prediction,Zhengzhou University,Chinese Academy of Sciences,Beihang University,Case Western Reserve University,Zhengzhou University,Chinese Academy of Sciences,University of Nottingham Ningbo China,Zhengzhou University,First Affiliated Hospital of Zhengzhou University,First Affiliated Hospital of Zhengzhou University,Zhengzhou University,Zhengzhou University,Chinese Academy of Sciences,,,,,,,,13.0,0.0
182,Towards Compact Single Image Super-Resolution via Contrastive Self-distillation,East China Normal University,East China Normal University,Xiamen University,East China Normal University,East China Normal University,East China Normal University,National University of Singapore,,,,,,,,,,,,,,7.0,0.0
183,Enhance Images as You Like with Unpaired Learning,Xidian University,Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),,,,,,,,,,,,,,,,,1.0,3.0
184,Continual Lifelong Learning for Intelligent Agents,Eindhoven University of Technology,,,,,,,,,,,,,,,,,,,,1.0,0.0
185,Combining Reinforcement Learning and Causal Models for Robotics Applications,"Instituto Nacional de Astrofísica, Óptica y Electrónica (INAOE), Tonantzintla, Puebla, Méxic",,,,,,,,,,,,,,,,,,,,1.0,0.0
186,Skeptical Reasoning with Preferred Semantics in Abstract Argumentation without Computing Preferred Extensions,University of Koblenz and Landau,University of Brescia,University of Huddersfield,,,,,,,,,,,,,,,,,,3.0,0.0
187,"AMEIR: Automatic Behavior Modeling, Interaction Exploration and MLP Investigation in the Recommender System",Peking University,LogicMill Technology (United States),Peking University," Alibaba Group, Beijing, Chin",Peking University,Peking University,,,,,,,,,,,,,,,4.0,1.0
188,Improving Sequential Recommendation Consistency with Self-Supervised Imitation,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Jingdong (China),Jingdong (China),Chinese Academy of Sciences,Chinese Academy of Sciences,Jingdong (China),,,,,,,,,,,,,,4.0,3.0
189,k-Nearest Neighbors by Means of Sequence to Sequence Deep Neural Networks and Memory Networks,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,,,2.0,0.0
190,Strategyproof Randomized Social Choice for Restricted Sets of Utility Functions,Technische Universtiät Münche,,,,,,,,,,,,,,,,,,,,1.0,0.0
191,Vitality Indices are Equivalent to Induced Game-Theoretic Centralities,University of Warsaw,,,,,,,,,,,,,,,,,,,,1.0,0.0
192,What Changed? Interpretable Model Comparison,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,7.0,0.0
193,Temporal and Object Quantification Networks,Massachusetts Institute of Technology,Massachusetts Institute of Technology, MIT-IBM Watson AI La,Massachusetts Institute of Technology,Stanford University,Massachusetts Institute of Technology,Harvard University,,,,,,,,,,,,,,6.0,0.0
194,Automatically Paraphrasing via Sentence Reconstruction and Round-trip Translation,Shanghai Jiao Tong University, Alibaba Damo Academ,Shanghai Jiao Tong University, Alibaba Damo Academ, Alibaba Damo Academ, Alibaba Damo Academ, Alibaba Damo Academ,,,,,,,,,,,,,,2.0,5.0
195,Modelling General Properties of Nouns by Selectively Averaging Contextualised Embeddings,Nanjing University,Artois University,Cardiff University,Cardiff University,Nanjing University,Cardiff University,,,,,,,,,,,,,,,6.0,0.0
196,Self-boosting for Feature Distillation,Xiamen University,Xiamen University,Fudan University,,,,,,,,,,,,,,,,,,3.0,0.0
197,One-Shot Affordance Detection,University of Science and Technology of China,University of Science and Technology of China,Jingdong (China),University of Sydney,University of Science and Technology of China,Jingdong (China),,,,,,,,,,,,,,,4.0,2.0
198,Smart Contract Vulnerability Detection: From Pure Neural Network to Interpretable Graph Feature and Expert Pattern Fusion,Zhejiang University,Zhejiang University,National University of Singapore,Shandong Normal University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,6.0,0.0
199,Layer-Assisted Neural Topic Modeling over Document Networks,Jilin University,Jilin University,Jilin University,Jilin University,Jilin University,Jilin University,,,,,,,,,,,,,,,6.0,0.0
200,Learn the Highest Label and Rest Label Description Degrees,Southeast University,Southeast University,,,,,,,,,,,,,,,,,,,2.0,0.0
201,Reasoning over Argument-Incomplete AAFs in the Presence of Correlations," ICAR-CNR, Ital",University of Calabria,University of Calabria,,,,,,,,,,,,,,,,,,2.0,0.0
202,Fair and Efficient Resource Allocation with Partial Information,Harvard University,University of Toronto,,,,,,,,,,,,,,,,,,,2.0,0.0
203,On the Relation Between Approximation Fixpoint Theory and Justification Theory,Vrije Universiteit Brussel,Vrije Universiteit Brussel,Vrije Universiteit Brussel,Vrije Universiteit Brussel,,,,,,,,,,,,,,,,,4.0,0.0
204,Scalable Non-observational Predicate Learning in ASP,Imperial College London,Imperial College London,Imperial College London,Purdue University West Lafayette,,,,,,,,,,,,,,,,,4.0,0.0
205,TAXOGAN: Hierarchical Network Representation Learning via Taxonomy Guided Generative Adversarial Networks,Emory University,University of Washington,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,3.0,0.0
206,Distributional Metareasoning for Heuristic Search,University of New Hampshire,,,,,,,,,,,,,,,,,,,,1.0,0.0
207,Towards Unsupervised Deformable-Instances Image-to-Image Translation,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,4.0,0.0
208,Towards Scalable Complete Verification of ReLU Neural Networks via Dependency-based Branching,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,2.0,0.0
209,Pairwise Half-graph Discrimination: A Simple Graph-level Self-supervised Strategy for Pre-training Graph Neural Networks,Tsinghua University,University of Science and Technology Beijing,University of Science and Technology Beijing,Central University of Finance and Economics,University of Science and Technology Beijing,Tsinghua University,University of Science and Technology Beijing,Cancer Hospital of Chinese Academy of Medical Sciences,University of Science and Technology Beijing,Tsinghua University,University of Science and Technology Beijing,Urban Planning & Design Institute of Shenzhen (China)," Ping An International Smart City Technology Co., Ltd., Shenzhen, Chin",,,,,,,,3.0,6.0
210,A Streaming End-to-End Framework For Spoken Language Understanding,University of Waterloo, Huawei Noah's Ark La, Huawei Noah's Ark La,Tsinghua University,University of Waterloo, Huawei Noah's Ark La,,,,,,,,,,,,,,,3.0,0.0
211,Federated Model Distillation with Noise-Free Differential Privacy,Lehigh University,Quantum Group (United States),,,,,,,,,,,,,,,,,,,1.0,1.0
212,Temporal Heterogeneous Information Network Embedding, National Engineering Research Center for Big Data Technology and Syste, Service Computing Technology and Systems Laborator,Huazhong University of Science and Technology, National Engineering Research Center for Big Data Technology and Syste, Service Computing Technology and Systems Laborator,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Beijing University of Posts and Telecommunications, National Engineering Research Center for Big Data Technology and Syste, Service Computing Technology and Systems Laborator,Huazhong University of Science and Technology," University of Goettingen, German",,,,,,,,,6.0,0.0
213,Bayesian Nonparametric Space Partitions: A Survey,UNSW Sydney,Fudan University,University of Melbourne,UNSW Sydney,,,,,,,,,,,,,,,,,4.0,0.0
214,Hybrid Probabilistic Inference with Logical and Algebraic Constraints: a Survey,University of Trento,University of Trento,University of Trento,University of Trento,University of Trento,University of Trento,,,,,,,,,,,,,,,6.0,0.0
215,Robustly Learning Composable Options in Deep Reinforcement Learning,Brown University,Brown University,Brown University,Brown University,,,,,,,,,,,,,,,,,4.0,0.0
216,Adaptive Experimental Design for Optimizing Combinatorial Structures,Washington State University,,,,,,,,,,,,,,,,,,,,1.0,0.0
217,Optimal Algorithms for Range Searching over Multi-Armed Bandits,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,3.0,0.0
218,Time-Aware Multi-Scale RNNs for Time Series Modeling,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,,,,,,,,,,,,,,,,,4.0,0.0
219,Text-based Person Search via Multi-Granularity Embedding Learning,Xiamen University,Xiamen University,Zhangzhou Normal University,Xiamen University,,,,,,,,,,,,,,,,,4.0,0.0
220,Connected Multi-Agent Path Finding: Generation and Visualization,University of Rennes,University of Rennes,National Council for Scientific Research,,,,,,,,,,,,,,,,,,2.0,0.0
221,Safe Weakly Supervised Learning,Nanjing University,,,,,,,,,,,,,,,,,,,,1.0,0.0
222,MRD-Net: Multi-Modal Residual Knowledge Distillation for Spoken Question Answering,Yale University,Peking University Shenzhen Hospital,Peking University Shenzhen Hospital,Peng Cheng Laboratory,,,,,,,,,,,,,,,,,4.0,0.0
223,Graph Entropy Guided Node Embedding Dimension Selection for Graph Neural Networks,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Emory University,Lehigh University,University of Illinois at Chicago,Lehigh University,,,,,,,,,,,,9.0,0.0
224,TIDOT: A Teacher Imitation Learning Approach for Domain Adaptation with Optimal Transport,Monash University,Monash University,Monash University," VinAI Research, Vietna",Adobe Systems (United States),University of Akron,Monash University," VinAI Research, Vietna",,,,,,,,,,,,,5.0,1.0
225,Data-Driven Methods for Balancing Fairness and Efficiency in Ride-Pooling,University of Mary,Harvard University,University of Mary,,,,,,,,,,,,,,,,,,3.0,0.0
226,Budget-feasible Mechanisms for Representing Groups of Agents Proportionally,Southeast University,University of Nebraska–Lincoln,University of Hong Kong,Southeast University,,,,,,,,,,,,,,,,,4.0,0.0
227,Cooperative Joint Attentive Network for Patient Outcome Prediction on Irregular Multi-Rate Multivariate Health Data,Hong Kong Baptist University,Wuhan University,Chinese University of Hong Kong,Hong Kong Baptist University,,,,,,,,,,,,,,,,,4.0,0.0
228,Clustering-Induced Adaptive Structure Enhancing Network for Incomplete Multi-View Data,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Chinese Academy of Sciences,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,,6.0,0.0
229,Secure Deep Graph Generation with Link Differential Privacy,Emory University,University of Illinois Urbana-Champaign,City University of Hong Kong,Sun Yat-sen University,Lehigh University,,,,,,,,,,,,,,,,5.0,0.0
230,The Power of the Weisfeiler-Leman Algorithm for Machine Learning with Graphs,Polytechnique Montréal,TU Dortmund University,University of Vienna,,,,,,,,,,,,,,,,,,3.0,0.0
231,Verifying Reinforcement Learning up to Infinity,University of Birmingham,University of Oxford,University of Birmingham,,,,,,,,,,,,,,,,,,3.0,0.0
232,Ranking Extensions in Abstract Argumentation,University of Koblenz and Landau,University of Koblenz and Landau,University of Koblenz and Landau,TU Dortmund University,TU Dortmund University,,,,,,,,,,,,,,,,5.0,0.0
233,Uncertain Time Series Classification,University of Clermont Auvergne,,,,,,,,,,,,,,,,,,,,1.0,0.0
234,An Automated Framework for Supporting Data-Governance Rule Compliance in Decentralized MIMO Contexts,University of Edinburgh,,,,,,,,,,,,,,,,,,,,1.0,0.0
235,Learning Interpretable Concept Groups in CNNs,University of Kaiserslautern,University of Kaiserslautern,Technical University of Berlin,University of Birmingham,Norddeutsche Pflanzenzucht Hans-Georg Lembke (Germany),University of St. Gallen,University of Kaiserslautern,,,,,,,,,,,,,,6.0,1.0
236,Audio2Head: Audio-driven One-shot Talking-head Generation with Natural Head Motion,Virtua,Virtua,Virtua,Virtua,University of Technology,,,,,,,,,,,,,,,,5.0,0.0
237,"Relational Gating for ""What If"" Reasoning",Michigan State University,Michigan State University,,,,,,,,,,,,,,,,,,,2.0,0.0
238,Knowledge-Aware Dialogue Generation via Hierarchical Infobox Accessing and Infobox-Dialogue Interaction Graph Network,Peking University,Peking University,Peking University,Auburn University,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,,,8.0,0.0
239,Inferring Time-delayed Causal Relations in POMDPs from the Principle of Independence of Cause and Mechanism,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,,,2.0,0.0
240,"Surprisingly Popular Voting Recovers Rankings, Surprisingly!",Pennsylvania State University,Columbia University,University of Toronto,University of Toronto,,,,,,,,,,,,,,,,,4.0,0.0
241,The Parameterized Complexity of Connected Fair Division,Royal Holloway University of London,Royal Holloway University of London,TU Wien,TU Wien,University of Leeds,,,,,,,,,,,,,,,,5.0,0.0
242,Greybox Automated Algorithm Configuration,Leiden University,,,,,,,,,,,,,,,,,,,,1.0,0.0
243,Compositional Neural Logic Programming,University of Tasmania,,,,,,,,,,,,,,,,,,,,1.0,0.0
244,Robust Adversarial Imitation Learning via Adaptively-Selected Demonstrations,Inception Institute of Artificial Intelligence,Wuhan University,University of Sydney,Inception Institute of Artificial Intelligence,Wuhan University,,,,,,,,,,,,,,,,5.0,0.0
245,Learn from Concepts: Towards the Purified Memory for Few-shot Learning,East China Normal University,East China Normal University,East China Normal University,Xiamen University,East China Normal University,East China Normal University,East China Normal University,East China Normal University,,,,,,,,,,,,,8.0,0.0
246,Learning Visual Words for Weakly-Supervised Semantic Segmentation,Inception Institute of Artificial Intelligence,Wuhan University,Inception Institute of Artificial Intelligence,Wuhan University,Wuhan University,,,,,,,,,,,,,,,,5.0,0.0
247,Laughing Heads: Can Transformers Detect What Makes a Sentence Funny?,,,,,,,,,,,,,,,,,,,,,0.0,0.0
248,Improving Context-Aware Neural Machine Translation with Source-side Monolingual Documents,Soochow University,Soochow University,Soochow University, Alibaba DAMO Academ,Soochow University, Alibaba DAMO Academ,Soochow University,Soochow University,,,,,,,,,,,,,5.0,2.0
249,On the Intrinsic Differential Privacy of Bagging,Duke University,Duke University,Duke University,,,,,,,,,,,,,,,,,,3.0,0.0
250,Epsilon Best Arm Identification in Spectral Bandits,University of Lyon System,University of Lyon System,,,,,,,,,,,,,,,,,,,2.0,0.0
251,Automated Facilitation Support in Online Forum,Nagoya Institute of Technology,,,,,,,,,,,,,,,,,,,,1.0,0.0
252,Imprecise Oracles Impose Limits to Predictability in Supervised Learning (Extended Abstract) *,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,,,,,,,,,,,,,,,,,,,2.0,0.0
253,Mean Field Equilibrium in Multi-Armed Bandit Game with Continuous Reward,University of Hong Kong,Zhejiang Normal University,,,,,,,,,,,,,,,,,,,2.0,0.0
254,Actively Learning Concepts and Conjunctive Queries under EL r -Ontologies,University of Bremen,University of Hildesheim,University of Bremen,,,,,,,,,,,,,,,,,,3.0,0.0
255,Compressing Exact Cover Problems with Zero-suppressed Binary Decision Diagrams,Neelan Tiruchelvam Trust,Neelan Tiruchelvam Trust,Neelan Tiruchelvam Trust,,,,,,,,,,,,,,,,,,3.0,0.0
256,Kemeny Consensus Complexity,College of the Holy Cross,Rochester Institute of Technology,,,,,,,,,,,,,,,,,,,2.0,0.0
257,A Neural Network Auction For Group Decision Making Over a Continuous Space,,,,,,,,,,,,,,,,,,,,,0.0,0.0
258,VisioRed: A Visualisation Tool for Interpretable Predictive Maintenance,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,,,,,,,,,,,,,,,,,4.0,0.0
259,Dependent Multi-Task Learning with Causal Intervention for Image Captioning,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,10.0,0.0
260,Generative Adversarial Neural Architecture Search,Huawei Technologies (Canada), Equal Contribution,Huawei Technologies (Canada),University of Alberta, Equal Contribution,Huawei Technologies (Canada),University of Alberta," Huawei Kirin Solution, Shanghai, Chin",Huawei Technologies (Canada)," Huawei Kirin Solution, Shanghai, Chin",,,,,,,,,,,2.0,4.0
261,Graph Universal Adversarial Attacks: A Few Bad Actors Ruin Graph Learning Models,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",IBM Research - Haifa,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,4.0,0.0
262,End-to-End Constrained Optimization Learning: A Survey,Syracuse University,Syracuse University,Georgia Institute of Technology,Harvard University,,,,,,,,,,,,,,,,,4.0,0.0
263,Emerging Methods of Auction Design in Social Networks,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,,2.0,0.0
