Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
72,Unsupervised Learning of Patterns in Data Streams Using Compression and Edit Distance,Massey University,Massey University,Massey University,,,,,,,,,,3.0,0.0
73,Accelerating Best Response Calculation in Large Extensive Games,University of Alberta Hospital,Carnegie Mellon University,University of Alberta Hospital,"Yahoo! Research 2821 Mission College Blvd. Santa Clara, CA, US",,,,,,,,,3.0,1.0
74,Human-Agent Auction Interactions: Adaptive-Aggressive Agents Dominate,University of Bristol,University of Bristol,,,,,,,,,,,2.0,0.0
75,User Similarity from Linked Taxonomies: Subjective Assessments of Items," NTT Cyber Space Laboratories, NTT Corporation 1-1 Hikarinooka Yokosuka-Shi Kanagawa 239-0847 Japan 1,2,3",National Defense Academy of Japan,,,,,,,,,,,0.0,4.0
76,Line Orthogonality in Adjacency Eigenspace with Application to Community Partition,University of North Carolina at Charlotte,University of North Carolina at Charlotte,University of North Carolina at Charlotte,Nanjing University,,,,,,,,,4.0,0.0
77,Walking the Complexity Lines for Generalized Guarded Existential Rules Jean-Franc ¸ois Baget INRIA France,Computer Science Laboratory of the École Polytechnique,École Polytechnique,University of Freiburg,,,,,,,,,,3.0,0.0
78,CHIME: An Efficient Error-Tolerant Chinese Pinyin Input Method,Tsinghua University,"University of California, Irvine",Tsinghua University,,,,,,,,,,3.0,0.0
79,Exploring Protein Fragment Assembly Using CLP,University of Parma,University of Udine,New Mexico State University,,,,,,,,,,3.0,0.0
80,Alternating Epistemic Mu-Calculus,Clausthal University of Technology,University of Luxembourg,,,,,,,,,,,2.0,0.0
81,Group-Strategyproof Irresolute Social Choice Functions,Technical University of Munich,,,,,,,,,,,,1.0,0.0
82,A Neural-Symbolic Cognitive Agent for Online Learning and Reasoning," TNO Behaviour and Societal Sciences, Soesterberg, The Netherlands","City, University of London",Federal University of Rio Grande do Sul,Utrecht University,,,,,,,,,3.0,0.0
83,Robust Online Optimization of Reward-Uncertain MDPs,Computer Science Department,Computer Science Department,,,,,,,,,,,2.0,0.0
84,A Theory of Meta-Diagnosis: Reasoning about Diagnostic Systems,Airbus (France),Laboratory for Analysis and Architecture of Systems,Université de Toulouse,Laboratory for Analysis and Architecture of Systems,Université de Toulouse,,,,,,,,4.0,1.0
85,A Hierarchical Architecture for Adaptive Brain-Computer Interfacing,University of Washington,University of Washington,Graz University of Technology,University of Washington,,,,,,,,,4.0,0.0
86,Local and Structural Consistency for Multi-Manifold Clustering *,National University of Defense Technology,Nanjing University,Nanjing University,National University of Defense Technology,Nanjing University,,,,,,,,5.0,0.0
87,Generalising the Interaction Rules in Probabilistic Logic,Radboud University Nijmegen,Radboud University Nijmegen,,,,,,,,,,,2.0,0.0
88,Incorporating Reviewer and Product Information for Review Rating Prediction, State Key Laboratory of Intelligent Technology and System, Tsinghua National Laboratory for Information Science and Technolog,Tsinghua University,Hong Kong University of Science and Technology, State Key Laboratory of Intelligent Technology and System, Tsinghua National Laboratory for Information Science and Technolog,Tsinghua University,NEC (China),Hong Kong University of Science and Technology, State Key Laboratory of Intelligent Technology and System, Tsinghua National Laboratory for Information Science and Technolog,Tsinghua University,5.0,1.0
89,An Approach to Answer Selection in Question-Answering Based on Semantic Relations,Spoken Language Systems Laborator,University of Lisbon,,,,,,,,,,,2.0,0.0
90,On the Role of Domain Knowledge in Analogy-Based Story Generation,"Artificial Intelligence Research Institute (IIIA -CSIC) Campus UAB, 08193 Bellaterra, Spai",University of Central Florida,,,,,,,,,,,2.0,0.0
91,Learning Decision Rules from Data Streams,University of Porto,Masaryk University,,,,,,,,,,,2.0,0.0
92,Using Cases as Heuristics in Reinforcement Learning: A Transfer Learning Application,Electrical Engineering Dept,Instituto Tecnológico de Aeronáutica,Electrical Engineering Dept.,Instituto Tecnológico de Aeronáutica,Autonomous University of Barcelona,Centro Universitário da FEI,,,,,,,4.0,0.0
93,"Recommender Systems from ""Words of Few Mouths""",University of Ottawa,University of Ottawa,University of Ottawa,,,,,,,,,,3.0,0.0
94,Manipulating Boolean Games Through Communication, Department of Mathematics,Towson University,"University of Maryland, College Park",Towson University,"University of Maryland, College Park",Computer Science Department,Bar-Ilan University,University of Liverpool,Towson University,"University of Maryland, College Park",,,4.0,0.0
95,Comparing Variants of Strategic Ability,University of Luxembourg,Clausthal University of Technology,,,,,,,,,,,2.0,0.0
96,Norm Compliance of Rule-Based Cognitive Agents,University of Bologna,,,,,,,,,,,,1.0,0.0
