Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,num_academia,num_company
0,Making Sense of Raw Input (Extended Abstract) *,Massachusetts Institute of Technology,Imperial College London,,,,,,,,,,,,,,,,2.0,0.0
1,Better Embedding and More Shots for Few-shot Learning,East China University of Science and Technology,East China University of Science and Technology,East China University of Science and Technology,East China University of Science and Technology,East China University of Science and Technology,East China University of Science and Technology,East China University of Science and Technology,East China University of Science and Technology,East China University of Science and Technology,East China University of Science and Technology,,,,,,,,10.0,0.0
2,VMAgent: A Practical Virtual Machine Scheduling Platform,East China Normal University,East China Normal University,East China Normal University,East China Normal University,East China Normal University,East China Normal University," Algorithm Innovation Lab, Cloud BU, Huawei Technologies C"," Algorithm Innovation Lab, Cloud BU, Huawei Technologies C"," Alkaid Lab, Cloud BU, Huawei Technologies C"," Alkaid Lab, Cloud BU, Huawei Technologies C","Chinese University of Hong Kong, Shenzhen",East China Normal University,,,,,,8.0,0.0
3,Pruning-as-Search: Efficient Neural Architecture Search via Channel Pruning and Structural Reparameterization,Northeastern University,Northeastern University,Northeastern University,Northeastern University,Northeastern University,Intel (United States),,,,,,,,,,,,5.0,1.0
4,Neural Subgraph Explorer: Reducing Noisy Information via Target-Oriented Syntax Graph Pruning,University of Technology Sydney,University of Technology Sydney,"Agency for Science, Technology and Research",,,,,,,,,,,,,,,3.0,0.0
5,Document-level Relation Extraction via Subgraph Reasoning,Beihang University,Beihang University,Beihang University,,,,,,,,,,,,,,,3.0,0.0
6,Forgiving Debt in Financial Network Games,University of Essex,University of Essex,University of Essex,,,,,,,,,,,,,,,3.0,0.0
7,RePre: Improving Self-Supervised Vision Transformer with Reconstructive Pre-training,Beijing University of Posts and Telecommunications,The University of Texas at Austin, SenseTime Group Limite,Beijing University of Posts and Telecommunications,University of Sydney, SenseTime Group Limite,,,,,,,,,,,,4.0,0.0
8,CrowdFormer: An Overlap Patching Vision Transformer for Top-Down Crowd Counting," Watrix Technology Co. LTD., Beijing, Chin",Central University of Finance and Economics," Watrix Technology Co. LTD., Beijing, Chin",,,,,,,,,,,,,,,1.0,2.0
9,"A Murder and Protests, the Capitol Riot, and the Chauvin Trial: Estimating Disparate News Media Stance",Rochester Institute of Technology,Carnegie Mellon University,Carnegie Mellon University,Rochester Institute of Technology,,,,,,,,,,,,,,4.0,0.0
10,Scalable and Memory-Efficient Algorithms for Controlling Networked Epidemic Processes Using Multiplicative Weights Update Method,University of Virginia,Pacific Northwest National Laboratory,Pacific Northwest National Laboratory,Washington State University,Pacific Northwest National Laboratory,Washington State University,University of Virginia,,,,,,,,,,,7.0,0.0
