Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,num_academia,num_company
11,Augmenting Knowledge Graphs for Better Link Prediction,USC Information Sciences Institut,USC Information Sciences Institut,USC Information Sciences Institut,USC Information Sciences Institut,,,,,,,,,,,,,,4.0,0.0
12,Continual Federated Learning Based on Knowledge Distillation,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,6.0,0.0
13,Ethics and Governance of Artificial Intelligence: A Survey of Machine Learning Researchers (Extended Abstract) *,Syracuse University,Centre for the Governance of AI,Centre for the Governance of AI,Council on Foreign Relations,Centre for the Governance of AI,University of Pennsylvania,Centre for the Governance of AI,DeepMind (United Kingdom),,,,,,,,,,7.0,1.0
14,Sunny-as2: Enhancing SUNNY for Algorithm Selection (Extended Abstract) *,University of Bologna,University of Bologna,University of Southern Denmark,,,,,,,,,,,,,,,3.0,0.0
15,Summary Markov Models for Event Sequences,University of Pennsylvania,University of Massachusetts Amherst,,,,,,,,,,,,,,,,2.0,0.0
16,Runtime Analysis of Single-and Multi-Objective Evolutionary Algorithms for Chance Constrained Optimization Problems with Normally Distributed Random Variables,University of Adelaide,Technical University of Denmark,,,,,,,,,,,,,,,,2.0,0.0
17,DyGRAIN: An Incremental Learning Framework for Dynamic Graphs, LG AI Researc,Korea University,Korea University,,,,,,,,,,,,,,,2.0,0.0
18,BandMaxSAT: A Local Search MaxSAT Solver with Multi-armed Bandit,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,University of Picardie Jules Verne,Research Institute for Artificial Intelligence,,,,,,,,,,,7.0,0.0
19,Robust High-Dimensional Classification From Few Positive Examples,The University of Texas System, Dell Inc,,,,,,,,,,,,,,,,1.0,0.0
20,Efficient Resource Allocation with Secretive Agents,University of Toronto,University of Virginia,University of Toronto,,,,,,,,,,,,,,,3.0,0.0
21,Differential Privacy and Fairness in Decisions and Learning Tasks: A Survey,Syracuse University,Syracuse University,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,4.0,0.0
22,Vision-and-Language Pretrained Models: A Survey,University of Sydney,University of Sydney,University of Sydney," International Digital Economy Academy (IDEA), Chin",,,,,,,,,,,,,,4.0,0.0
23,In Data We Trust: The Logic of Trust-Based Beliefs,Southwest University,University of Southampton,,,,,,,,,,,,,,,,2.0,0.0
24,A Computationally Grounded Logic of 'Seeing-to-it-that',Toulouse Institute of Computer Science Research,Toulouse Institute of Computer Science Research,French National Centre for Scientific Research,,,,,,,,,,,,,,,3.0,0.0
25,SparseTT: Visual Tracking with Sparse Transformers,Beihang University,Beihang University,,,,,,,,,,,,,,,,2.0,0.0
26,"Rethinking Image Aesthetics Assessment: Models, Datasets and Benchmarks",Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,5.0,0.0
27,A Universal PINNs Method for Solving Partial Differential Equations with a Point Source,University of Science and Technology of China,Huawei Technologies (Germany),Huawei Technologies (Germany),Huawei Technologies (Germany),Huawei Technologies (Germany),Huawei Technologies (Germany),Huawei Technologies (Germany),Huawei Technologies (Germany),Huawei Technologies (Germany),University of Science and Technology of China,Huawei Technologies (Germany),Peking University,Hong Kong University of Science and Technology,,,,,4.0,0.0
28,Unsupervised Voice-Face Representation Learning by Cross-Modal Prototype Contrast,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,,,,,,,,,,,7.0,0.0
29,Private Semi-Supervised Federated Learning,South China Normal University,Centre for Artificial Intelligence and Robotics,Centre for Artificial Intelligence and Robotics,"Chinese University of Hong Kong, Shenzhen",,,,,,,,,,,,,,4.0,0.0
30,Multi-Agent Intention Progression with Reward Machines,RMIT University,University of Nottingham,Utrecht University,Utrecht University,University of Aberdeen,RMIT University,,,,,,,,,,,,6.0,0.0
31,Optimal Anonymous Independent Reward Scheme Design,Tsinghua University,Tsinghua University,Renmin University of China, Beijing Key Laboratory of Big Data Management and Analysis Methods 4 Bytedanc,Tsinghua University,,,,,,,,,,,,,5.0,0.0
32,On Attacking Out-Domain Uncertainty Estimation in Deep Neural Networks,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Notre Dame,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,6.0,0.0
33,SHAPE: An Unified Approach to Evaluate the Contribution and Cooperation of Individual Modalities,University of Science and Technology of China,Shanghai Center for Brain Science and Brain-Inspired Technology,Shanghai Center for Brain Science and Brain-Inspired Technology,Shanghai Center for Brain Science and Brain-Inspired Technology,University of Science and Technology of China,,,,,,,,,,,,,5.0,0.0
34,Robust Reinforcement Learning as a Stackelberg Game via Adaptively-Regularized Adversarial Training,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,4.0,0.0
35,Towards Theoretically Grounded Evolutionary Learning,Nanjing University,,,,,,,,,,,,,,,,,1.0,0.0
36,Beyond the Prototype: Divide-and-conquer Proxies for Few-shot Segmentation,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,,,,,,,,,,,,,,,3.0,0.0
37,PRNet: Point-Range Fusion Network for Real-Time LiDAR Semantic Segmentation,University of Chinese Academy of Sciences,Institute of Computing Technology," Damo Academy, Alibaba Grou",Institute of Computing Technology,Capital Institute of Physical Education and Sports," Damo Academy, Alibaba Grou",,,,,,,,,,,,3.0,2.0
38,A Smart Trader for Portfolio Management based on Normalizing Flows,Zhejiang University,Zhejiang University,Zhejiang University,University of Antwerp,Zhejiang University,,,,,,,,,,,,,5.0,0.0
39,Monolith to Microservices: Representing Application Software through Heterogeneous Graph Neural Network,IBM Research - China,IBM Research - China,IBM Research - China,IBM Research - China,,,,,,,,,,,,,,4.0,0.0
40,RAW-GNN: RAndom Walk Aggregation based Graph Neural Network,Tianjin University,Tianjin University,Tianjin University,Tianjin University,China Coal Technology and Engineering Group Corp (China),China Coal Technology and Engineering Group Corp (China),Hong Kong Polytechnic University,,,,,,,,,,,5.0,0.0
41,Constrained Adaptive Projection with Pretrained Features for Anomaly Detection,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,Institute for Advanced Study,University of Electronic Science and Technology of China,Institute for Advanced Study,,,,,,,,,,,,6.0,0.0
42,"Universal Video Style Transfer via Crystallization, Separation, and Blending",Southeast University,Zhejiang University,,,,,,,,,,,,,,,,2.0,0.0
43,Composition-aware Graphic Layout GAN for Visual-textual Presentation Designs,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,7.0,0.0
44,Modelling the Dynamics of Multi-Agent Q-learning: The Stochastic Effects of Local Interaction and Incomplete Information,Chinese University of Hong Kong, Shanghai Artificial Intelligence Laborator,Chinese University of Hong Kong,,,,,,,,,,,,,,,3.0,0.0
45,Contests to Incentivize a Target Group *,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,3.0,0.0
46,Boosting Multi-Label Image Classification with Complementary Parallel Self-Distillation,Chongqing University,Chongqing University,Chongqing University,San Diego State University,Chinese Academy of Sciences, JD Finance America Corporatio,,,,,,,,,,,,5.0,0.0
47,Pseudo-spherical Knowledge Distillation,,,,,,,,,,,,,,,,,,0.0,0.0
48,Projected Gradient Descent Algorithms for Solving Nonlinear Inverse Problems with Generative Priors,National University of Singapore,Proton Collaborative Group,,,,,,,,,,,,,,,,2.0,0.0
49,Learning by Interpreting,Stevens Institute of Technology,Stevens Institute of Technology,Xi'an Jiaotong University,Stevens Institute of Technology,,,,,,,,,,,,,,4.0,0.0
50,FedDUAP: Federated Learning with Dynamic Update and Adaptive Pruning Using Shared Data on the Server,Soochow University," Baidu Inc., China",Soochow University," Collaborative Innovation Center of Novel Software Technology and Industrialization, China",Auburn University,North Carolina State University," Baidu Inc., China",,,,,,,,,,,4.0,2.0
51,Logit Mixing Training for More Reliable and Accurate Prediction,Yonsei University,Sungkyunkwan University, NAVER AI La,Sungkyunkwan University,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,4.0,0.0
52,"A Survey on Gradient Inversion: Attacks, Defenses and Future Directions",Hong Kong Polytechnic University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,,,,,,,,,,,,,5.0,0.0
53,A Survey of Risk-Aware Multi-Armed Bandits,National University of Singapore,Indian Institute of Technology Madras,Indian Institute of Technology Madras,,,,,,,,,,,,,,,3.0,0.0
54,Physics-Informed Long-Sequence Forecasting From Multi-Resolution Spatiotemporal Data,University of Southern California," KDDI Research, Inc"," KDDI Research, Inc"," KDDI Research, Inc"," KDDI Research, Inc"," KDDI Research, Inc",University of Southern California,,,,,,,,,,,2.0,0.0
55,Personalized Federated Learning with Contextualized Generalization,Hong Kong Polytechnic University,Hong Kong Polytechnic University,"City University of Hong Kong, Shenzhen Research Institute",Hong Kong Polytechnic University,"City University of Hong Kong, Shenzhen Research Institute",,,,,,,,,,,,,5.0,0.0
56,Self-supervised Learning and Adaptation for Single Image Dehazing,Shanxi University,Shanxi University,Harbin Institute of Technology,Peking University,Sun Yat-sen University,,,,,,,,,,,,,5.0,0.0
57,A Reliability-aware Distributed Framework to Schedule Residential Charging of Electric Vehicles,University of Virginia,University of Virginia,University of Virginia,University of Virginia,University of Virginia,University of Virginia,,,,,,,,,,,,6.0,0.0
58,AI Facilitated Isolations? The Impact of Recommendation-based Influence Diffusion in Human Society," School of Information and Communication Technology, University of Tasmani"," School of Information and Communication Technology, University of Tasmani"," School of Information and Communication Technology, University of Tasmani"," Tasmanian Institute of Agriculture, University of Tasmani",Auckland University of Technology," School of Information and Communication Technology, University of Tasmani"," School of Information and Communication Technology, University of Tasmani",,,,,,,,,,,1.0,0.0
59,Temporality Spatialization: A Scalable and Faithful Time-Travelling Visualization for Deep Classifier Training,Shanghai Jiao Tong University,National University of Singapore,National University of Singapore,Shanghai Jiao Tong University,National University of Singapore,National University of Singapore,,,,,,,,,,,,6.0,0.0
60,GraphDIVE: Graph Classification by Mixture of Diverse Experts,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,,,,,,12.0,0.0
61,StyleCLIPDraw: Coupling Content and Style in Text-to-Drawing Translation,Carnegie Mellon University,Chinese University of Hong Kong,Carnegie Mellon University,,,,,,,,,,,,,,,3.0,0.0
62,Weakening the Influence of Clothing: Universal Clothing Attribute Disentanglement for Person Re-Identification,Zhejiang University, ZJU-League Research & Development Cente,Zhejiang University,Zhejiang University," Zhejiang Provincial Key Laboratory of Information Processing, Communication and Networkin",Zhejiang University, ZJU-League Research & Development Cente,Zhejiang University, ZJU-League Research & Development Cente, Zhejiang Lijia Electronic Technology Company Ltd,Zhejiang University, ZJU-League Research & Development Cente,Zhejiang University, ZJU-League Research & Development Cente,Zhejiang University, ZJU-League Research & Development Cente,,6.0,1.0
63,SCMT: Self-Correction Mean Teacher for Semi-supervised Object Detection,,,,,,,,,,,,,,,,,,0.0,0.0
64,A Unified Strategy for Multilingual Grammatical Error Correction with Pre-trained Cross-Lingual Language Model,Peking University,Microsoft Research Asia (China),Microsoft Research Asia (China),Chinese University of Hong Kong,Microsoft Research Asia (China),Peking University,,,,,,,,,,,,3.0,3.0
65,Propose-and-Refine: A Two-Stage Set Prediction Network for Nested Named Entity Recognition,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,4.0,0.0
66,Lightweight Bimodal Network for Single-Image Super-Resolution via Symmetric CNN and Recursive Transformer,Nanjing University of Posts and Telecommunications,National Institute of Informatics,Nanjing University of Posts and Telecommunications,Chinese University of Hong Kong,Nanjing University of Posts and Telecommunications,National Institute of Informatics,Chinese University of Hong Kong,,,,,,,,,,,7.0,0.0
67,Epistemic Logic of Likelihood and Belief,Simon Fraser University,"California State University, Long Beach",RWTH Aachen University,UNSW Sydney,,,,,,,,,,,,,,4.0,0.0
68,Explanations for Negative Query Answers under Inconsistency-Tolerant Semantics,TU Wien,University of Oxford,University of Bologna,University of Calabria,,,,,,,,,,,,,,4.0,0.0
69,Subsequence-based Graph Routing Network for Capturing Multiple Risk Propagation Processes,Southwestern University of Finance and Economics,Southwestern University of Finance and Economics,,,,,,,,,,,,,,,,2.0,0.0
70,Predictive Coding: Towards a Future of Deep Learning beyond Backpropagation?,MRC Brain Network Dynamics Unit,University of Oxford,MRC Brain Network Dynamics Unit,University of Oxford,MRC Brain Network Dynamics Unit,University of Oxford,TU Wien,,,,,,,,,,,7.0,0.0
71,"Table Pre-training: A Survey on Model Architectures, Pre-training Objectives, and Downstream Tasks",Shanghai Jiao Tong University,Xi'an Jiaotong University,University of Edinburgh,Shanghai Jiao Tong University,Tokyo Institute of Technology,,,,,,,,,,,,,5.0,0.0
72,Filtration-Enhanced Graph Transformation,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,,,,,,,,,,,7.0,0.0
73,Inverting 43-step MD4 via Cube-and-Conquer,Swansea University,,,,,,,,,,,,,,,,,1.0,0.0
74,Efficient Neural Neighborhood Search for Pickup and Delivery Problems,National University of Singapore,National University of Singapore,Singapore Institute of Manufacturing Technology,Institute of Marine Science,Institute for Infocomm Research,South China University of Technology,National University of Singapore,,,,,,,,,,,6.0,0.0
75,Robustness Guarantees for Credal Bayesian Networks via Constraint Relaxation over Probabilistic Circuits,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,3.0,0.0
76,Local and Global Explanations of Agent Behavior: Integrating Strategy Summaries with Saliency Maps (Extended Abstract) *,University of Augsburg,University of Augsburg,University of Augsburg,Technion – Israel Institute of Technology,,,,,,,,,,,,,,4.0,0.0
77,Interaction and Expressivity in Collective Decision-Making,Université de Toulouse,,,,,,,,,,,,,,,,,1.0,0.0
78,Self-Predictive Dynamics for Generalization of Vision-based Reinforcement Learning,Sungkyunkwan University,Sungkyunkwan University,Sungkyunkwan University,,,,,,,,,,,,,,,3.0,0.0
79,To Trust or Not To Trust Prediction Scores for Membership Inference Attacks,Technical University of Darmstadt,Technical University of Darmstadt,Technical University of Darmstadt,Technical University of Darmstadt," Hessian Center for AI (hessian.AI), German",,,,,,,,,,,,,3.0,0.0
80,VidyutVanika21: An Autonomous Intelligent Broker for Smart-grids,International Institute of Information Technology," TCS Innovation Labs, Hyderabad, Indi"," TCS Innovation Labs, Hyderabad, Indi"," TCS Innovation Labs, Hyderabad, Indi",International Institute of Information Technology,International Institute of Information Technology,,,,,,,,,,,,3.0,0.0
81,Online Approval Committee Elections," Meta AI Research, Paris, Franc",Paris Dauphine University,Paris Dauphine University,Paris Dauphine University,University of Warsaw,,,,,,,,,,,,,4.0,0.0
82,Next Point-of-Interest Recommendation with Inferring Multi-step Future Preferences,Nanyang Technological University,Institute of High Performance Computing,"Agency for Science, Technology and Research",Nanyang Technological University,Nanyang Technological University,Nanyang Technological University," Bytedance AI Lab, Singapor",,,,,,,,,,,6.0,0.0
83,A Polynomial-time Decentralised Algorithm for Coordinated Management of Multiple Intersections," Toyota Motor Europe NV/SA, Zaventem, Belgiu",University of Southampton,University of Southampton,University of Queensland,"Toyota CRDL Inc., Japan",,,,,,,,,,,,,3.0,0.0
84,Survey on Efficient Training of Large Neural Networks,Skolkovo Institute of Science and Technology,Skolkovo Institute of Science and Technology,University of Lille,Skolkovo Institute of Science and Technology,Prairie View A&M University,Skolkovo Institute of Science and Technology,University of Bordeaux,University of Bordeaux,Frederiksberg Hospital,Frederiksberg Hospital,Skolkovo Institute of Science and Technology,Prairie View A&M University,University of Bordeaux,,,,,11.0,0.0
85,ScaleFormer: Revisiting the Transformer-based Backbones from a Scale-wise Perspective for Medical Image Segmentation,Zhejiang University,Zhejiang University,Zhejiang University,Ritsumeikan University,Yamaguchi University,Ritsumeikan University,Zhejiang University,Zhejiang University,,,,,,,,,,8.0,0.0
86,I 2 R-Net: Intra-and Inter-Human Relation Network for Multi-Person Pose Estimation,Xiamen University,Xiamen University,Xiamen University,Xiamen University,Xiamen University,Xiamen University,Microsoft Research Asia (China),Microsoft Research Asia (China),Xiamen University,,,,,,,,,7.0,2.0
87,Possibilistic Logic Underlies Abstract Dialectical Frameworks,TU Dortmund University,University of Cape Town,Vrije Universiteit Brussel,Open University in the Netherlands,TU Dortmund University,Maastricht University,University of Hagen,University of Hagen,,,,,,,,,,8.0,0.0
88,Problem Compilation for Multi-Agent Path Finding: a Survey,Czech Technical University in Prague,,,,,,,,,,,,,,,,,1.0,0.0
89,"Overlapping Communities and Roles in Networks with Node Attributes: Probabilistic Graphical Modeling, Bayesian Formulation and Variational Inference (Extended Abstract) *",,,,,,,,,,,,,,,,,,0.0,0.0
90,DDDM: A Brain-Inspired Framework for Robust Classification,Center for Excellence in Brain Science and Intelligence Technology,University of Chinese Academy of Sciences,Shanghai Center for Brain Science and Brain-Inspired Technology,Shanghai Center for Brain Science and Brain-Inspired Technology,University of Science and Technology of China,Center for Excellence in Brain Science and Intelligence Technology,Shanghai Center for Brain Science and Brain-Inspired Technology,,,,,,,,,,,7.0,0.0
91,Simple and Effective Relation-based Embedding Propagation for Knowledge Representation Learning,,,,,,,,,,,,,,,,,,0.0,0.0
92,Declaration-based Prompt Tuning for Visual Question Answering,Huazhong University of Science and Technology," Joint Laboratory of HUST and Pingan Property & Casualty Research (HPL), Chin",Huazhong University of Science and Technology," Joint Laboratory of HUST and Pingan Property & Casualty Research (HPL), Chin",Huazhong University of Science and Technology," Joint Laboratory of HUST and Pingan Property & Casualty Research (HPL), Chin",Singapore Management University,,,,,,,,,,,4.0,0.0
93,Learning from Students: Online Contrastive Distillation Network for General Continual Learning,Tianjin University,Tianjin University, CETC Key Laboratory of Aerospace Information Application,Tianjin University,Tianjin University, CETC Key Laboratory of Aerospace Information Application,,,,,,,,,,,,5.0,0.0
94,Phragmén Rules for Degressive and Regressive Proportionality,University of Warsaw,University of Warsaw,,,,,,,,,,,,,,,,2.0,0.0
95,Light Agents Searching for Hot Information,Augusta University,Wrocław University of Science and Technology,,,,,,,,,,,,,,,,2.0,0.0
96,High-Resolution and Arbitrary-Sized Chinese Landscape Painting Creation Based on Generative Adversarial Networks,,,,,,,,,,,,,,,,,,0.0,0.0
97,Deep Interactive Surface Creation from 3D Sketch Strokes,Illinois Institute of Technology,Illinois Institute of Technology,,,,,,,,,,,,,,,,2.0,0.0
98,MetaER-TTE: An Adaptive Meta-learning Model for En Route Travel Time Estimation,Soochow University,Soochow University,Swinburne University of Technology,Deakin University,University of Electronic Science and Technology of China,Swinburne University of Technology,Swinburne University of Technology,,,,,,,,,,,7.0,0.0
99,Gromov-Wasserstein Discrepancy with Local Differential Privacy for Distributed Structural Graphs,University of Illinois at Chicago, Samsung Research America,,,,,,,,,,,,,,,,1.0,0.0
100,Revealing the Excitation Causality between Climate and Political Violence via a Neural Forward-Intensity Poisson Process,Cranfield University,Cranfield University,Cranfield University,Cranfield University,The Alan Turing Institute,,,,,,,,,,,,,5.0,0.0
101,FOGS: First-Order Gradient Supervision with Learning-based Graph for Traffic Flow Forecasting,University of Electronic Science and Technology of China,Wuhan University,King Abdullah University of Science and Technology,Inception Institute of Artificial Intelligence,University of Electronic Science and Technology of China,Aalborg University,,,,,,,,,,,,6.0,0.0
102,Heterogeneous Interactive Snapshot Network for Review-Enhanced Stock Profiling and Recommendation,Peking University,Peking University,Peking University,University of International Relations,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,,,,,,,11.0,0.0
103,Ensemble Multi-Relational Graph Neural Networks,Beijing University of Posts and Telecommunications,Istanbul Technical University,Istanbul Technical University,Beijing University of Posts and Telecommunications,Istanbul Technical University,Beijing University of Posts and Telecommunications,Istanbul Technical University,Istanbul Technical University,,,,,,,,,,8.0,0.0
104,ER-SAN: Enhanced-Adaptive Relation Self-Attention Network for Image Captioning,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,Huazhong University of Science and Technology,,,,,,,,,,,,,,4.0,0.0
105,PlaceNet: Neural Spatial Representation Learning with Multimodal Attention,Seoul National University,Seoul National University,Seoul National University,Agricultural Information Institute,,,,,,,,,,,,,,3.0,0.0
106,Region-Aware Metric Learning for Open World Semantic Segmentation via Meta-Channel Aggregation,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,,,,,,12.0,0.0
107,Semantic Compression Embedding for Generative Zero-Shot Learning,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Nanjing University of Science and Technology,Nanyang Technological University,IPM Institute of North America,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,,,,,,,,,,8.0,0.0
108,"Lexicographic Entailment, Syntax Splitting and the Drowning Problem",Open University in the Netherlands,University of Cape Town,Vrije Universiteit Brussel,TU Dortmund University,TU Dortmund University,University of Cape Town,,,,,,,,,,,,6.0,0.0
109,Multi-Agent Reinforcement Learning for Traffic Signal Control through Universal Communication Method,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Singapore Management University,,,,,5.0,0.0
110,Penalized Proximal Policy Optimization for Safe Reinforcement Learning,Tsinghua University, JD Explore Academ,Peking University, JD Explore Academ,Tsinghua University,Tsinghua University, JD Explore Academ,,,,,,,,,,,7.0,0.0
111,WHO Says WHAT to WHOM: A Survey of Multi-Party Conversations,University of Science and Technology of China,Institute of Process Engineering,University of Science and Technology of China,,,,,,,,,,,,,,,2.0,0.0
112,On the Ordinal Invariance of Power Indices on Coalitional Games,Université Libre de Bruxelles,PSL Research University,PSL Research University,,,,,,,,,,,,,,,3.0,0.0
113,Network Creation with Homophilic Agents,Technical University of Munich,Hasso Plattner Institute,Hasso Plattner Institute,,,,,,,,,,,,,,,3.0,0.0
114,Leveraging Class Abstraction for Commonsense Reinforcement Learning via Residual Policy Gradient Methods,University of Amsterdam,Vrije Universiteit Amsterdam,University of Amsterdam,,,,,,,,,,,,,,,3.0,0.0
115,Data Augmentation for Learning to Play in Text-Based Games,Korea Advanced Institute of Science and Technology, Skelter Lab,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,2.0,0.0
116,Language Models as Knowledge Embeddings,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,5.0,0.0
117,What is Right for Me is Not Yet Right for You: A Dataset for Grounding Relative Directions via Multi-Task Learning,University of Ha'il,University of Ha'il,University of Ha'il,University of Ha'il,University of Ha'il,,,,,,,,,,,,,5.0,0.0
118,MMNet: Muscle Motion-guided Network for Micro-expression Recognition,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,4.0,0.0
119,Forecasting the Number of Tenants At-Risk of Formal Eviction: A Machine Learning Approach to Inform Public Policy,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Abdul Latif Jameel Poverty Action Lab,Abdul Latif Jameel Poverty Action Lab,Pennsylvania State University,,,,,,,,,,,,6.0,0.0
120,Adaptive Long-Short Pattern Transformer for Stock Investment Selection,Peking University,Peking University,Peking University,University of International Relations,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,,,,,,,11.0,0.0
121,Communicative Subgraph Representation Learning for Multi-Relational Inductive Drug-Gene Interaction Prediction,Sun Yat-sen University,Sun Yat-sen University," Galixir Technologies Ltd, Beijin",Sun Yat-sen University,Sun Yat-sen University,National Sun Yat-sen University,,,,,,,,,,,,4.0,0.0
122,TGNN: A Joint Semi-Supervised Framework for Graph-Level Classification,Peking University,Peking University,Université de Montréal,Peking University,Alibaba Group (China),Peking University,Alibaba Group (China),Peking University,,,,,,,,,,6.0,2.0
123,Feature and Instance Joint Selection: A Reinforcement Learning Perspective,University of Central Florida,Portland State University,Hong Kong University of Science and Technology, Baidu Talent Intelligence Cente,"Rutgers, The State University of New Jersey",University of Central Florida,,,,,,,,,,,,5.0,0.0
124,Tradformer: A Transformer Model of Traditional Music Transcriptions,University of Bologna,Royal Institute of Technology,,,,,,,,,,,,,,,,2.0,0.0
125,Captioning Bosch: A Twitter Bot,Salzburg University of Applied Sciences,,,,,,,,,,,,,,,,,1.0,0.0
