Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,num_academia,num_company
0,Bayesian Probabilistic Multi-Topic Matrix Factorization for Rating Prediction,Shanghai Key Laboratory of Trustworthy Computing,Renmin University of China,Shanghai Key Laboratory of Trustworthy Computing,Shanghai Key Laboratory of Trustworthy Computing,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
1,Understanding Information Diffusion under Interactions,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,University of Illinois at Chicago,Tsinghua University,University of Queensland,University of Queensland,Soochow University,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,,,,,,,8.0,0.0
2,Extending the Harper Identity to Iterated Belief Change,Cardiff University,La Trobe University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
3,Imperfect-Information Games and Generalized Planning,Sapienza University of Rome,University of Naples Federico II,University of Naples Federico II,University of Naples Federico II,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
4,"i, Poet: Automatic Poetry Composition through Recurrent Neural Networks with Iterative Polishing Schema",Peking University," Natural Language Processing Department, Baidu Research, Baidu Inc",Central China Normal University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
5,Learning Using Unselected Features (LUFe)," SMiLe CLiNiC and TAG Lab, University of Sussex, Brighton, U"," SMiLe CLiNiC and TAG Lab, University of Sussex, Brighton, U",TU Dortmund University," SMiLe CLiNiC and TAG Lab, University of Sussex, Brighton, U"," SMiLe CLiNiC and TAG Lab, University of Sussex, Brighton, U",,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
6,Dependency Clustering of Mixed Data with Gaussian Mixture Copulas,University of Indianapolis,University of Indianapolis,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
7,Batch-Switching Policy Iteration,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
8,Automatic Generation of High-Level State Features for Generalized Planning,Pompeu Fabra University,Pompeu Fabra University,Pompeu Fabra University,Pompeu Fabra University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
9,Reconfigurability in Reactive Multiagent Systems,Jinan University,University of Oxford,Jinan University,Macquarie University,Jinan University,Griffith University,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
10,Opinion Dynamics with Local Interactions,Shanghai Jiao Tong University,IBM Research - China,East China Normal University,East China Normal University,National University of Singapore,Shanghai Jiao Tong University,East China Normal University,,,,,,,,,,,,,,,,,,,,,7.0,0.0
11,Parse Tree Fragmentation of Ungrammatical Sentences,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
12,Item Recommendation for Emerging Online Businesses,University of Illinois at Chicago,University of Illinois at Chicago,University of Illinois at Chicago,Shenzhen University,University of Illinois at Chicago,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
13,HIEDS: A Generic and Efficient Approach to Hierarchical Dataset Summarization,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
14,Player Goal Recognition in Open-World Digital Games with Long Short-Term Memory Networks,North Carolina State University,North Carolina State University,North Carolina State University,North Carolina State University,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
15,Planning with Task-Oriented Knowledge Acquisition for a Service Robot," Katy Drilling Software Center, Schlumberger Software Technology, Schlumberger Ltd. 23500 Colonial Parkway, Katy, TX, 77493, US",University of Science and Technology of China," Jinzhai Rd, Hefei, Anhui, 200027, Chin",,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
16,Online Agent Supervision in the Situation Calculus,York University,Sapienza University of Rome,York University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
17,Neural Generative Question Answering,Peking University,Huawei Technologies (Canada),Huawei Technologies (Canada),Huawei Technologies (Canada),Peking University,Huawei Technologies (Canada),National University of Defense Technology,,,,,,,,,,,,,,,,,,,,,3.0,4.0
18,9-STRIPS: Existential Quantification in Planning and Constraint Satisfaction,Pompeu Fabra University,Institució Catalana de Recerca i Estudis Avançats,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
19,Approximating Value Equivalence in Interactive Dynamic Influence Diagrams Using Behavioral Coverage,Teesside University,Teesside University,Teesside University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
20,The Complexity of Playing Durak ⇤,Hungarian Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
21,Soft Margin Consistency Based Scalable Multi-View Maximum Entropy Discrimination,East China Normal University,East China Normal University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
22,Self-Paced Boost Learning for Classification,Zhejiang University,Zhejiang University,Zhejiang University,Xi'an Jiaotong University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,7.0,0.0
23,Rating-Boosted Latent Topics: Understanding Users and Items with Ratings and Reviews,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
24,Interactive Scheduling of Appliance Usage in the Home,University of Southampton,University of Southampton,University of Southampton,University of Southampton,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
25,Identifying Key Observers to Find Popular Information in Advance,National Institute of Informatics, NTT Communication Science Laboratorie,National Institute of Informatics,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
26,EBEK: Exemplar-Based Kernel Preserving Embedding,University of Waterloo,University of Waterloo,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
27,A Robust Convex Formulation for Ensemble Clustering,Fudan University,Kyoto University,Kyoto University,Aalto University,Kyoto University,Aalto University,Fudan University,,,,,,,,,,,,,,,,,,,,,7.0,0.0
28,Hashing-Based Approximate Probabilistic Inference in Hybrid Domains: An Abridged Report ⇤,"University of California, Los Angeles",University of Trento,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
29,A Hard Look at Soft Concepts,Hebrew University of Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
30,Unsupervised Alignment of Actions in Video with Text Descriptions,University of Rochester,University of Rochester,University of Rochester,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,University of Rochester,University of Rochester,University of Rochester,,,,,,,,,,,,,,,,,,,,8.0,0.0
31,On Consensus Extraction,Artois University,Artois University,Artois University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
32,To Project More or to Quantize More: Minimizing Reconstruction Bias for Learning Compact Binary Codes,Peking University,Nanyang Technological University,Peking University,Nanyang Technological University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
33,Learning First-Order Logic Embeddings via Matrix Factorization,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
34,Rational-Based Visual Planning Monitors,Wright State University,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
35,A Discriminative Approach to Grounded Spoken Language Understanding in Interactive Robotics,University of North Carolina at Charlotte,University of North Carolina at Charlotte,University of North Carolina at Charlotte,University of North Carolina at Charlotte,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
36,Version Space Reduction Based on Ensembles of Dissimilar Balanced Perceptrons,Universidade Federal de Juiz de Fora,Universidade Federal de Minas Gerais,Universidade Federal de Juiz de Fora,Universidade Federal de Juiz de Fora,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
37,Complexity of Manipulation with Partial Information in Voting,Indian Institute of Science Bangalore,Indian Institute of Technology Gandhinagar,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
38,Asymptotically Tight Bounds for Inefficiency in Risk-Averse Selfish Routing,Yevgeniy Vorobeychik Electrical Engineering and Computer Science Vanderbilt Universit,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
39,Planning for a Single Agent in a Multi-Agent Environment Using FOND,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
40,Decoupled Strong Stubborn Sets,Saarland University,University of Basel,Saarland University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
41,Improving CNN Performance with Min-Max Objective,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
42,A Novel Feature Matching Strategy for Large Scale Image Retrieval,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
43,Trend-Based Prediction of Spatial Change,University of Technology,Australian National University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
44,ASP for Anytime Dynamic Programming on Tree Decompositions,TU Wien,University of Potsdam,University of Potsdam,Inria Rennes - Bretagne Atlantique Research Centre,TU Wien,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
45,Practical Linear Models for Large-Scale One-Class Collaborative Filtering,Australian National University,Adobe Systems (United States),Adobe Systems (United States),Adobe Systems (United States),Adobe Systems (United States),Australian National University,Adobe Systems (United States),University of Toronto,,,,,,,,,,,,,,,,,,,,3.0,5.0
46,Learning Compact Visual Representation with Canonical Views for Robust Mobile Landmark Search,Singapore Management University,Singapore Management University,San Diego State University,Wuhan University of Technology,Shandong University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
47,Proving the Incompatibility of Efficiency and Strategyproofness via SMT Solving,Technical University of Munich,Technical University of Munich,Technical University of Munich,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
48,Congestion Games with Polytopal Strategy Spaces,Trinity University,Trinity University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
49,Bridging LSTM Architecture and the Neural Dynamics during Reading,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
50,Markovian State and Action Abstractions for MDPs via Hierarchical MCTS,"University of California, Berkeley",United Technologies Research Center,"University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
51,A Joint Model of Intent Determination and Slot Filling for Spoken Language Understanding,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
52,Evaluation of Arguments from Support Relations: Axioms and Semantics,Toulouse Institute of Computer Science Research,Toulouse Institute of Computer Science Research,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
53,Verbalization: Narration of Autonomous Robot Experience,Practical Robotics Institute Austria,Computer Science Department,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
54,Sherlock: Sparse Hierarchical Embeddings for Visually-Aware One-Class Collaborative Filtering,"University of California, San Diego","University of California, San Diego","University of California, San Diego","University of California, San Diego",,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
55,Pay Me and I'll Follow You: Detection of Crowdturfing Following Activities in Microblog Environment,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
56,Clustering Financial Time Series: How Long Is Enough?,Hellebore Capital Ltd Ecole Polytechniqu,École Normale Supérieure de Lyon,École Polytechnique,"Hellebore Capital Ltd Michelin House, Londo",,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
57,DeepTransport: Prediction and Simulation of Human Mobility and Transportation Mode at a Citywide Level,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
58,Learning to Rank for Synthesizing Planning Heuristics,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
59,Preference Elicitation for Single Crossing Domain,Indian Institute of Science Bangalore,Indian Institute of Technology Gandhinagar,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
60,Tri-Party Deep Network Representation,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
61,Sum-Product-Max Networks for Tractable Decision Making,University of Waterloo,University of Waterloo,University of Georgia,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
62,Coupled Marginalized Auto-Encoders for Cross-Domain Multi-View Learning,Electrical and Computer Engineering Department Heads Association,Electrical and Computer Engineering Department Heads Association,Electrical and Computer Engineering Department Heads Association,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
63,Multi-View Exclusive Unsupervised Dimension Reduction for Video-Based Facial Expression Recognition,Ministry of Education,Southeast University," QCIS and FEIT, University of Technology Sydney, Australi"," QCIS and FEIT, University of Technology Sydney, Australi",Ministry of Education,Southeast University,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
64,Preference Restrictions in Computational Social Choice: Recent Progress,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
65,Optimal and Adaptive Algorithms for Online Boosting,"Yahoo Research New York, NY 1003","Yahoo Research New York, NY 1003",Princeton University,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
66,Privacy Preserving Plans in Partially Observable Environments,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
