Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,num_academia,num_company
67,Knowledge-Based Sequence Mining with ASP,University of Potsdam,Agrocampus Ouest,Inria Rennes - Bretagne Atlantique Research Centre,University of Potsdam,Inria Rennes - Bretagne Atlantique Research Centre,University of Potsdam,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
68,A Generalized Matching Pursuit Approach for Graph-Structured Sparsity,"University at Albany, State University of New York","University at Albany, State University of New York",,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
69,Online Mechanism Design for Vehicle-to-Grid Car Parks,University of Southampton,University of Southampton,University of Edinburgh,Heriot-Watt University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
70,Exploiting N-Best Hypotheses to Improve an SMT Approach to Grammatical Error Correction,Computer Science Department,National University of Singapore,National University of Singapore,Computer Science Department,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
71,Elicitation for Preferences Single Peaked on Trees,Indian Institute of Science Bangalore,Indian Institute of Technology Gandhinagar,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
72,Asynchronous Accelerated Stochastic Gradient Descent,Peking University,Microsoft Research (India),Fudan University,Microsoft Research (India),Chinese Academy of Sciences,Microsoft Research (India),,,,,,,,,,,,,,,,,,,,,,3.0,3.0
73,Gated Probabilistic Matrix Factorization: Learning Users' Attention from Missing Values,IBM Research - Tokyo,IBM Research - Tokyo,IBM Research - Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
74,Robust Repositioning to Counter Unpredictable Demand in Bike Sharing Systems,Singapore Management University,Carnegie Mellon University,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
75,Balancing Appearance and Context in Sketch Interpretation, Yahoo Research,Massachusetts Institute of Technology, Google Inc.,Lahey Hospital and Medical Center,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
76,Urban Water Quality Prediction Based on Multi-task Multi-view Learning,National University of Singapore,Microsoft Research Asia (China),Microsoft Research Asia (China),Xidian University,Shenzhen Institutes of Advanced Technology,Microsoft Research Asia (China),Xidian University,Tsinghua University,National University of Singapore,,,,,,,,,,,,,,,,,,,6.0,3.0
77,Generating Recommendation Evidence Using Translation Model,Harbin Institute of Technology,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,Ministry of Education of the People's Republic of China,,,,,,,,,,,,,,,,,,,,,7.0,0.0
78,Entity Embedding-Based Anomaly Detection for Heterogeneous Categorical Events,Northeastern University, NEC Labs Americ,Northeastern University, NEC Labs Americ, NEC Labs Americ,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
79,Constrained Local Latent Variable Discovery,Rensselaer Polytechnic Institute,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
80,Moving in a Crowd: Safe and Efficient Navigation Among Heterogeneous Agents,University of Minnesota,University of Minnesota,University of Minnesota,University of Minnesota,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
81,Detecting Student Emotions in Computer-Enabled Classrooms,University of Notre Dame,University of Notre Dame,Columbia University,Columbia University,Florida State University,Florida State University,Florida State University,Florida State University,,,,,,,,,,,,,,,,,,,,8.0,0.0
82,Ontology-Mediated Query Answering: Harnessing Knowledge to Get More From Data,University of Montpellier,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
83,State-Dependent Cost Partitionings for Cartesian Abstractions in Classical Planning,University of Basel,University of Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
84,Robust and Sparse Fuzzy K-Means Clustering,Northwestern Polytechnical University,Beijing University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
85,Dealing with Multiple Classes in Online Class Imbalance Learning,University of Birmingham,University of Leicester,University of Birmingham,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
86,Content-Driven Detection of Cyberbullying on the Instagram Social Network,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Dept. of Mathematics United States Naval Academ,Pennsylvania State University,Dept. of Computer Science University of North Texa,,,,,,,,,,,,,,,,,,,,,5.0,0.0
87,"Intervention Strategies for Increasing Engagement in Crowdsourcing: Platform, Predictions, and Experiments",Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Microsoft (United States),Microsoft (United States),University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,6.0,2.0
88,Automated Synthesis of Timed Failure Propagation Graphs,University of Trento,University of Trento,University of Trento,University of Trento,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
89,Towards Fast Algorithms for the Preference Consistency Problem Based on Hierarchical Models,Insight,Insight,Insight,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
90,Learning Compact Neural Word Embeddings by Parameter Space Sharing,National Taitung University,National Taitung University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
91,Distance-Preserving Probabilistic Embeddings with Side Information: Variational Bayesian Multidimensional Scaling Gaussian Process,University of Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
92,Sequential Decision Making for Improving Efficiency in Urban Environments,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
93,Generalizing the Edge-Finder Rule for the Cumulative Constraint,Université Laval,Université Laval,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
94,Heuristic Planning for PDDL+ Domains,King's College London,King's College London,King's College London,King's College London, Department of Statistics and Quantitative Methods,University of Milano-Bicocca,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
95,Robust Domain Generalisation by Enforcing Distribution Invariance,University of Melbourne,Queensland University of Technology,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,,,,,,,7.0,0.0
96,Catcher-Evader Games ⇤,Duke Medical Center,Duke Medical Center,Duke Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
97,Strategic Voting with Incomplete Information,University of Amsterdam,Hebrew University of Jerusalem,University of Southampton,Hebrew University of Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
98,Distraction-Based Neural Networks for Modeling Documents,University of Science and Technology of China,York University,University of Science and Technology of China," iFLYTEK Research, Hefei, Chin",York University,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0
99,Learning to Incentivize: Eliciting Effort via Output Agreement,Harvard University,Harvard University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
100,Ordering Concepts Based on Common Attribute Intensity,The University of Tokyo,The University of Tokyo,Rakuten Inc,The University of Tokyo,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
101,Incomplete Causal Laws in the Situation Calculus Using Free Fluents,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,RMIT University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
102,Collaborative Multi-Level Embedding Learning from Reviews for Rating Prediction,Tsinghua University,University of Illinois Urbana-Champaign,Tsinghua University,University of Illinois Urbana-Champaign,Jiangsu Normal University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
103,Which Contingent Events to Observe for the Dynamic Controllability of a Plan,Université de Toulouse,Université de Toulouse,Université de Toulouse,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
104,Trading on a Rigged Game: Outcome Manipulation In Prediction Markets,Washington University in St. Louis,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
105,To Give or Not to Give: Fair Division for Single Minded Valuations ⇤ †,Hebrew University of Jerusalem,Tsinghua University,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
106,Derivative-Free Optimization of High-Dimensional Non-Convex Functions by Sequential Random Embeddings ⇤,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
107,Real-Time Web Scale Event Summarization Using Sequential Decision Making,Columbia University,Microsoft Research (United Kingdom),Columbia University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
108,Word Clouds with Latent Variable Analysis for Visual Comparison of Documents,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
109,Semantic Question-Answering with Video and Eye-Tracking Data: AI Foundations for Human Visual Perception Driven Cognitive Film Studies,Human-Centred Cognitive Assistance Lab,University of Bremen,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
110,Polynomial Datalog Rewritings for Expressive Description Logics with Closed Predicates,University of Vienna,University of Vienna,University of Vienna,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
111,Parallel Pareto Optimization for Subset Selection,Nanjing University," UBRI, School of Computer Science and Technology",University of Science and Technology of China,Nanjing University,Nanjing University," UBRI, School of Computer Science and Technology",University of Science and Technology of China,Nanjing University,,,,,,,,,,,,,,,,,,,,6.0,0.0
112,Efficient Bayesian Clustering for Reinforcement Learning,University of Washington," Enlearn TM , Seattle, W",Carnegie Mellon University,University of Washington," Enlearn TM , Seattle, W",,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
113,Online Fair Division Redux,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
114,Querying Data Graphs with Arithmetical Regular Expressions,Institute of Computer Science,Institute of Computer Science,Institute of Computer Science,Institute of Computer Science,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
115,Constrained Preference Embedding for Item Recommendation,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
116,Learning A Deep `1 Encoder for Hashing,University of Illinois Urbana-Champaign,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
117,Fast Structural Binary Coding,"University of California, San Diego","University of California, San Diego",China University of Mining and Technology,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
118,First-Order Model Counting in a Nutshell,California State University Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
119,Optimal Prosumer Decision-Making Using Factored MDPs,University of Crete,University of Crete,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
120,Semi-Data-Driven Network Coarsening,Institute of Information Engineering,University of Technology Sydney,Chinese Academy of Sciences,Institute of Information Engineering,Institute of Information Engineering,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
121,Hidden Parameter Markov Decision Processes: A Semiparametric Regression Approach for Discovering Latent Task Parametrizations,Harvard University,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
122,Intersubjectivity and Sentiment: From Language to Knowledge,Harbin Institute of Technology,Harbin Institute of Technology,Aston University,Hong Kong Polytechnic University,The University of Texas at Dallas,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
123,POIsketch: Semantic Place Labeling over User Activity Streams,University of Fribourg,Data61,University of Fribourg,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
124,Parallel Behavior Composition for Manufacturing,University of Nottingham,University of Nottingham,RMIT University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
125,Probabilistic Matrix Inspection and Group Scheduling,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
126,Learning Predictive State Representations via Monte-Carlo Tree Search,Xiamen University,Xiamen University,Xiamen University,Teesside University,Xiamen University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
127,In Search of Tractability for Partial Satisfaction Planning,"IBM Watson Health, Israe",Huawei Technologies (China),,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
128,Non-Negative Matrix Factorization with Sinkhorn Distance,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
129,Constructive Preference Elicitation by Setwise Max-Margin Learning,University of Trento,University of Trento,Sorbonne University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
130,On the Impact of Modal Depth in Epistemic Planning,University of Rennes,International Research Institute of Stavanger,University of Naples Federico II,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
131,Preferential Query Answering in the Semantic Web with Possibilistic Networks,TU Dresden,Instituto de Tecnologia de Alimentos,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
132,Weight Features for Predicting Future Model Performance of Deep Neural Networks,IBM Research - Tokyo,IBM Research - Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
133,A Framework for Recommending Relevant and Diverse Items,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
134,Causality Based Propagation History Ranking in Social Networks,Tsinghua University, Tsinghua National Laboratory for Information Science and Technology (TNList,Tsinghua University, Tsinghua National Laboratory for Information Science and Technology (TNList,Tsinghua University, Tsinghua National Laboratory for Information Science and Technology (TNList,Tsinghua University, Tsinghua National Laboratory for Information Science and Technology (TNList,University of Illinois at Chicago,Tsinghua University,,,,,,,,,,,,,,,,,,6.0,0.0
135,"Complexity of Efficient and Envy-Free Resource Allocation: Few Agents, Resources, or Utility Levels",TU Wien,Modeinstitut Berlin (Germany),Modeinstitut Berlin (Germany),,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
136,Selective Norm Monitoring,King's College London,Lancaster University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
137,Online Symbolic Gradient-Based Optimization for Factored Action MDPs,Tufts University,Tufts University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
138,Unsupervised Word and Dependency Path Embeddings for Aspect Term Extraction,Peking University,Microsoft Research (United Kingdom),University of Edinburgh,Peking University,Peking University,Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,,,4.0,2.0
139,How to Build Your Network? A Structural Analysis,Auckland University of Technology,University of Auckland,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
