Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
0,A Hybrid Algorithm for Coalition Structure Generation,University of Southampton,University of Warsaw,University of Southampton,,,,,,,,,,3.0,0.0
1,Structural Patterns Beyond Forks: Extending the Complexity Boundaries of Classical Planning,Saarland University,Inria Nancy - Grand-Est research centre,,,,,,,,,,,2.0,0.0
2,Efficient Approximate Value Iteration for Continuous Gaussian POMDPs,University of Utah,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,,,,,,,,,,3.0,0.0
3,Generalized Sampling and Variance in Counterfactual Regret Minimization,Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,,,,,,,,5.0,0.0
4,Computing Optimal Strategies to Commit to in Stochastic Games,Duke University,Georgia Institute of Technology,Duke University,Duke University,Georgia Institute of Technology,,,,,,,,5.0,0.0
5,Simple Robust Grammar Induction with Combinatory Categorial Grammars,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,2.0,0.0
6,Filtering Decomposable Global Cost Functions *,Institut National de la Recherche Agronomique,University of Montpellier,Universitas Maritim Raja Ali Haji,Institut National de la Recherche Agronomique,Autonomous University of Barcelona,Universitas Maritim Raja Ali Haji,Universitas Maritim Raja Ali Haji,Institut National de la Recherche Agronomique,,,,,2.0,0.0
7,Conflict-Based Belief Revision Operators in Possibilistic Logic,Southeast University,Jilin University,Griffith University,,,,,,,,,,3.0,0.0
8,A Tractable First-Order Probabilistic Logic,University of Washington,University of Washington,,,,,,,,,,,2.0,0.0
9,Trap Avoidance in Local Search Using Pseudo-Conflict Learning,Data61,Griffith University,,,,,,,,,,,2.0,0.0
10,Three Controversial Hypotheses Concerning Computation in the Primate Cortex,Google (United States),Google (United States),Google (United States),,,,,,,,,,0.0,3.0
11,Conflict-Based Search For Optimal Multi-Agent Path Finding,ISE Department Ben-Gurion University Israe,ISE Department Ben-Gurion University Israe,ISE Department Ben-Gurion University Israe,University of Denver,,,,,,,,,1.0,0.0
12,An Undergraduate Course in the Intersection of Computer Science and Economics,Duke University,,,,,,,,,,,,1.0,0.0
13,Heuristic Search Comes of Age *,University of Denver,Ben-Gurion University of the Negev,Carnegie Mellon University,University of New Hampshire,,,,,,,,,4.0,0.0
14,Low-Rank Matrix Recovery via Efficient Schatten p-Norm Minimization,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,3.0,0.0
15,Teaching Problem-Solving in Algorithms and AI,St. Lawrence University,,,,,,,,,,,,1.0,0.0
