Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
133,Scanpath Complexity: Modeling Reading Effort Using Gaze Information,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,IITB-Monash Research Academy,IBM Research - India,Indian Institute of Technology Bombay,,,,,,,,,,,,,,,,,5.0,0.0
134,A Sampling Based Approach for Proactive Project Scheduling with Time-Dependent Duration Uncertainty,Nanyang Technological University," Rolls-Royce Singapore Pte Ltd, Singapor",Nanyang Technological University,,,,,,,,,,,,,,,,,,,3.0,1.0
135,Latent Discriminant Analysis with Representative Feature Discovery,"University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,,,,1.0,0.0
136,Personalized Donor-Recipient Matching for Organ Transplantation,"University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,,,,,,4.0,0.0
137,KONT: Computing Tradeoffs in Normative Multiagent Systems,North Carolina State University,North Carolina State University,North Carolina State University,,,,,,,,,,,,,,,,,,,3.0,0.0
138,Treatment Effect Estimation with Data-Driven Variable Decomposition, Tsinghua National Laboratory for Information Science and Technolog,Tsinghua University, Tsinghua National Laboratory for Information Science and Technolog,Tsinghua University,University of Washington,University of Illinois Urbana-Champaign, Tsinghua National Laboratory for Information Science and Technolog,Tsinghua University,Cornell University,,,,,,,,,,,,,6.0,0.0
139,Topic Aware Neural Response Generation,Nankai University,Nankai University,Microsoft Research Asia (China),Beihang University,Nankai University,Nankai University,Nankai University,Nankai University,Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,,,7.0,3.0
140,Definition Modeling: Learning to Define Word Embeddings in Natural Language,Northwestern University,Northwestern University,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,,4.0,0.0
141,Incentivising Monitoring in Open Normative Systems,University of Nottingham,Cornell University,"Microsoft Research Cambridge, U",University of Nottingham,,,,,,,,,,,,,,,,,,3.0,0.0
142,Fast Inverse Reinforcement Learning with Interval Consistent Graph for Driving Behavior Prediction,Tokyo Institute of Technology,Tokyo Institute of Technology,Tokyo Institute of Technology,Tokyo Institute of Technology,,,,,,,,,,,,,,,,,,4.0,0.0
143,Confidence-Rated Discriminative Partial Label Learning,Southeast University," Key Laboratory of Computer Network and Information Integration (Southeast University), Ministry of Education, Chin"," Key Laboratory of Computer Network and Information Integration (Southeast University), Ministry of Education, Chin"," Collaborative Innovation Center of Wireless Communications Technology, Chin",,,,,,,,,,,,,,,,,,2.0,0.0
144,Learning Latent Subevents in Activity Videos Using Temporal Attention Filters,Indiana University Bloomington,Indiana University Bloomington,Indiana University Bloomington,,,,,,,,,,,,,,,,,,,3.0,0.0
145,Semantic Representation Using Explicit Concept Space Models,University of North Carolina at Charlotte,University of North Carolina at Charlotte,,,,,,,,,,,,,,,,,,,,2.0,0.0
146,Semantic Connection Based Topic Evolution,Hefei University of Technology,University of Louisiana at Lafayette,,,,,,,,,,,,,,,,,,,,2.0,0.0
147,Getting More Out of the Exposed Structure in Constraint Programming Models of Combinatorial Problems,Polytechnique Montréal,Université de Montréal,,,,,,,,,,,,,,,,,,,,2.0,0.0
148,Integrating the Cognitive with the Physical: Musical Path Planning for an Improvising Robot,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,2.0,0.0
149,Scalable Graph Embedding for Asymmetric Proximity,Peking University,Peking University,Alibaba Group (China),Peking University,Alibaba Group (China),,,,,,,,,,,,,,,,,3.0,2.0
150,A Unified Algorithm for One-Cass Structured Matrix Factorization with Side Information,The University of Texas at Austin,National Taiwan University,The University of Texas at Austin,National Taiwan University,,,,,,,,,,,,,,,,,,4.0,0.0
151,Multiple Source Detection without Knowing the Underlying Propagation Model,Tsinghua University,Tsinghua National Laboratory for Information Science and Technology (TNList,,,,,,,,,,,,,,,,,,,,4.0,0.0
152,Discriminative Semi-Supervised Dictionary Learning with Entropy Regularization for Pattern Classification,Shenzhen University,Shenzhen University,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,3.0,0.0
153,ICU Mortality Prediction: A Classification Algorithm for Imbalanced Datasets,"Xerox Research Centre India, Bangalore, Indi","Xerox Research Centre India, Bangalore, Indi","Xerox Research Centre India, Bangalore, Indi",,,,,,,,,,,,,,,,,,,0.0,3.0
154,Unsupervised Learning for Lexicon-Based Classification,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,1.0,0.0
155,Recurrent Attentional Topic Model,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Sun Yat-sen University,Sun Yat-sen University,Shenzhen University,,,,,,,,,,,,,,,,,5.0,0.0
156,Learning Invariant Deep Representation for NIR-VIS Face Recognition,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,4.0,0.0
157,Spectral Clustering with Brainstorming Process for Multi-View Data,Electronics and Telecommunications Research Institute,Electronics and Telecommunications Research Institute,Electronics and Telecommunications Research Institute,Electronics and Telecommunications Research Institute,,,,,,,,,,,,,,,,,,4.0,0.0
158,The Efficiency of the HyperPlay Technique Over Random Sampling,UNSW Sydney,UNSW Sydney,,,,,,,,,,,,,,,,,,,,2.0,0.0
159,Probably Approximately Efficient Combinatorial Auctions via Machine Learning,University of Zurich,Boston University,University of Zurich,,,,,,,,,,,,,,,,,,,3.0,0.0
160,Automated Negotiating Agents Competition (ANAC),Delft University of Technology,Özyeğin University,Centrum Wiskunde & Informatica,Nagoya Institute of Technology,Tokyo University of Agriculture and Technology,,,,,,,,,,,,,,,,,5.0,0.0
161,Robust Visual Tracking via Local-Global Correlation Filter,Temple University,Huazhong Agricultural University,,,,,,,,,,,,,,,,,,,,2.0,0.0
162,Sherlock: Scalable Fact Learning in Images, Adobe Researc,"Rutgers, The State University of New Jersey", Adobe Researc, Adobe Researc, Adobe Researc,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,2.0,0.0
163,Semantic Inference of Bird Songs Using Dynamic Bayesian Networks,Department of Complex Systems Science,Nagoya University,"University of California, Los Angeles",,,,,,,,,,,,,,,,,,,3.0,0.0
164,User Modeling Using LSTM Networks,Jagiellonian University,"RTB House, ul. Złota 61/101 00-819 Warsaw, Polan",,,,,,,,,,,,,,,,,,,,1.0,1.0
165,Robust Loss Functions under Label Noise for Deep Neural Networks,"Microsoft, Bangalor",Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,,2.0,0.0
166,Estimating the Maximum Expected Value in Continuous Reinforcement Learning Problems,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,,,,4.0,0.0
167,Community Preserving Network Embedding,Tsinghua University,Tsinghua University,Bournemouth University,Simon Fraser University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,6.0,0.0
168,Multi-Task Deep Learning for User Intention Understanding in Speech Interaction Systems,Tsinghua University, Tsinghua National Laboratory for Information Science and Technology (TNList,Joint Research Center,Tsinghua University,Tsinghua University, Tsinghua National Laboratory for Information Science and Technology (TNList,Joint Research Center,Tsinghua University,Tsinghua University, Tsinghua National Laboratory for Information Science and Technology (TNList,Joint Research Center,Tsinghua University,Chinese University of Hong Kong,Tsinghua University, Tsinghua National Laboratory for Information Science and Technology (TNList,Joint Research Center,Tsinghua University,Tsinghua University, Tsinghua National Laboratory for Information Science and Technology (TNList,University of Science and Technology Beijing,Chinese University of Hong Kong,4.0,0.0
169,Efficient Hyperparameter Optimization of Deep Learning Algorithms Using Deterministic RBF Surrogates,National University of Singapore,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,,,4.0,0.0
170,Automatic Logic-Based Benders Decomposition with MiniZinc,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,,,,,3.0,0.0
171,Classification with Minimax Distance Measures,Xerox Research Centre Europe -XRC," chemin de Maupertuis 38240 Meylan, Franc",,,,,,,,,,,,,,,,,,,,0.0,1.0
172,Cornhole: A Widely-Accessible AI Robotics Task,Wentworth Institute of Technology,Tufts University,,,,,,,,,,,,,,,,,,,,2.0,0.0
173,Open-Vocabulary Semantic Parsing with both Distributional Statistics and Formal Knowledge,Allen Institute for Artificial Intelligence,Allen Institute for Artificial Intelligence,,,,,,,,,,,,,,,,,,,,2.0,0.0
174,Soft Video Parsing by Label Distribution Learning,Southeast University,Southeast University,,,,,,,,,,,,,,,,,,,,2.0,0.0
175,Solving Seven Open Problems of Offline and Online Control in Borda Elections,Heinrich Heine University Düsseldorf,Heinrich Heine University Düsseldorf,,,,,,,,,,,,,,,,,,,,2.0,0.0
176,Multitask Dyadic Prediction and Its Application in Prediction of Adverse Drug-Drug Interaction,Dalian University of Technology,Dalian University of Technology,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,Dalian University of Technology,Cornell University,,,,,,,,,,,,,,,,6.0,0.0
177,Deep Manifold Learning of Symmetric Positive Definite Matrices with Application to Face Recognition,Beijing Institute of Technology,Stony Brook University,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,,,,,,,,,,,,,,,,,5.0,0.0
178,Differentiating Between Posed and Spontaneous Expressions with Latent Regression Bayesian Network,University of Science and Technology of China,Rensselaer Polytechnic Institute,University of Science and Technology of China,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,4.0,0.0
179,Preferences Single-Peaked on a Circle,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,2.0,0.0
180,Tractable Algorithms for Approximate Nash Equilibria in Generalized Graphical Games with Tree Structure,University of Michigan–Dearborn,Bowdoin College,,,,,,,,,,,,,,,,,,,,2.0,0.0
181,Cost-Sensitive Feature Selection via F-Measure Optimization Reduction," Key Laboratory of Machine Perception (MOE), Cooperative Medianet Innovation Center",Peking University,University of Technology Sydney,University of Technology Sydney,Nanyang Technological University," Key Laboratory of Machine Perception (MOE), Cooperative Medianet Innovation Center",Peking University,Nanyang Technological University,University of Technology Sydney,,,,,,,,,,,,,6.0,0.0
182,S2JSD-LSH: A Locality-Sensitive Hashing Schema for Probability Distributions,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,National University of Singapore,Beijing Institute of Technology,South China University of Technology,University of International Business and Economics,,,,,,,,,,,,,,,7.0,0.0
183,Reactive Dialectic Search Portfolios for MaxSAT *,University of Lleida,University of Lleida,IBM Research - Austin,Paderborn University,,,,,,,,,,,,,,,,,,4.0,0.0
184,Heavy-Tailed Analogues of the Covariance Matrix for ICA,The Ohio State University,Microsoft Research (United Kingdom),The Ohio State University,"University of California, Davis",,,,,,,,,,,,,,,,,,3.0,1.0
185,Variable Kernel Density Estimation in High-Dimensional Feature Spaces,Council for Scientific and Industrial Research,North-West University,North-West University,,,,,,,,,,,,,,,,,,,3.0,0.0
186,Semantic Proximity Search on Heterogeneous Graph by Proximity Embedding,Zhejiang University,Advanced Digital Sciences Center,Zhejiang University,Zhejiang University,University of Illinois Urbana-Champaign,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,7.0,0.0
187,Exploiting both Vertical and Horizontal Dimensions of Feature Hierarchy for Effective Recommendation,Nanyang Technological University,Delft University of Technology,Nanyang Technological University,Delft University of Technology,,,,,,,,,,,,,,,,,,4.0,0.0
188,A Study of Compact Reserve Pricing Languages,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
189,Long-Term Trends in the Public Perception of Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
190,Audio Feature Learning with Triplet-Based Embedding Network,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,3.0,0.0
191,A Systematic Practice of Judging the Success of a Robotic Grasp Using Convolutional Neural Network,Central China Normal University,Central China Normal University,Central China Normal University,,,,,,,,,,,,,,,,,,,3.0,0.0
192,Visual Object Tracking for Unmanned Aerial Vehicles: A Benchmark and New Motion Models,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,2.0,0.0
193,An End-to-End Spatio-Temporal Attention Model for Human Action Recognition from Skeleton Data,Peking University,Microsoft Research Asia (China),Chinese Academy of Sciences,Microsoft Research Asia (China),Peking University,,,,,,,,,,,,,,,,,3.0,2.0
194,Convex Co-Embedding for Matrix Completion with Predictive Side Information,Carleton University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
195,Enumerate Lasso Solutions for Feature Selection,National Institute of Informatics,Japan Science and Technology Agency,Shizuoka University,Japan Science and Technology Agency,,,,,,,,,,,,,,,,,,4.0,0.0
196,Contextual RNN-GANs for Abstract Reasoning Diagram Generation,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,University of North Carolina at Chapel Hill,,,,,,,,,,,,,,,,,5.0,0.0
197,Unsupervised Deep Learning for Optical Flow Estimation,Shanghai Jiao Tong University,East China Normal University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,4.0,0.0
198,Deterministic Attention for Sequence-to-Sequence Constituent Parsing,Harbin Institute of Technology,National Institute of Information and Communications Technology,National Institute of Information and Communications Technology,Harbin Institute of Technology,National Institute of Information and Communications Technology,,,,,,,,,,,,,,,,,5.0,0.0
199,Coupled Multi-Layer Attentions for Co-Extraction of Aspect and Opinion Terms,Nanyang Technological University, SAP Innovation Center Singapor,Nanyang Technological University, SAP Innovation Center Singapor,Nanyang Technological University,,,,,,,,,,,,,,,,,3.0,0.0
200,Fast Compressive Phase Retrieval under Bounded Noise,Carnegie Mellon University,Peking University,Shanghai Jiao Tong University,Peking University,Shanghai Jiao Tong University,Peking University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,7.0,0.0
201,Parameter Free Large Margin Nearest Neighbor for Distance Metric Learning,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,4.0,0.0
202,Decentralized Planning in Stochastic Environments with Submodular Rewards,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,,3.0,0.0
203,The AI Rebellion: Changing the Narrative,United States Naval Research Laboratory,United States Naval Research Laboratory,,,,,,,,,,,,,,,,,,,,2.0,0.0
204,When Does Bounded-Optimal Metareasoning Favor Few Cognitive Systems?,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,,,,,,,3.0,0.0
205,Redesigning Stochastic Environments for Maximized Utility,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,5.0,0.0
206,A Position-Biased PageRank Algorithm for Keyphrase Extraction,Computer Science and Engineering University of North Texa,Computer Science and Engineering University of North Texa,,,,,,,,,,,,,,,,,,,,2.0,0.0
207,Discrete Personalized Ranking for Fast Collaborative Filtering from Implicit Feedback,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,3.0,0.0
208,Denoising Criterion for Variational Auto-Encoding Framework,Université de Montréal,Université de Montréal,Université de Montréal,Université de Montréal,,,,,,,,,,,,,,,,,,4.0,0.0
209,A Hierarchical Latent Variable Encoder-Decoder Model for Generating Dialogues,Université de Montréal,"Maluuba Inc 2000 Rue Peel, Montréal, QC, Canad",McGill University,HEC Montréal,McGill University,Université de Montréal,,,,,,,,,,,,,,,,5.0,0.0
210,Representations of Context in Recognizing the Figurative and Literal Usages of Idioms,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,,,,,,,2.0,0.0
211,Active Video Summarization: Customized Summaries via On-line Interaction with the User,Institute for Infocomm Research,Nanyang Technological University,Massachusetts Institute of Technology,McGovern Institute for Brain Research,Institute for Infocomm Research,Nanyang Technological University,,,,,,,,,,,,,,,,6.0,0.0
212,Learning Discriminative Activated Simplices for Action Recognition,Peking University,Peking University,Microsoft Research (United Kingdom),Peking University,,,,,,,,,,,,,,,,,,3.0,1.0
213,Group Activity Selection on Social Networks,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,3.0,0.0
214,Revenue Maximization for Finitely Repeated Ad Auctions,University of Chinese Academy of Sciences," Microsoft Research, Beijing 100080, Chin",Nanyang Technological University," Microsoft Research, Beijing 100080, Chin",,,,,,,,,,,,,,,,,,2.0,0.0
215,Machine Learning for Entity Coreference Resolution: A Retrospective Look at Two Decades of Research,The University of Texas at Dallas,,,,,,,,,,,,,,,,,,,,,1.0,0.0
216,A Deep Learning Approach for Arabic Caption Generation Using Roots-Words,University of North Texas at Dallas,,,,,,,,,,,,,,,,,,,,,1.0,0.0
217,Low-Rank Factorization of Determinantal Point Processes,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
218,Trust-Sensitive Evolution of DL-Lite Knowledge Bases *,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,3.0,0.0
219,Learning Attributes from the Crowdsourced Relative Labels," Dept. of Comp. Sci. & Tech., CBICR Center, State Key Lab for Intell. Tech. & Systems ‡ MOE Key lab of Bioinformatics, Bioinformatics Division and Center for Synthetic & Systems Biology TNList, Tsinghua University, Beijing, Chin"," Dept. of Comp. Sci. & Tech., CBICR Center, State Key Lab for Intell. Tech. & Systems ‡ MOE Key lab of Bioinformatics, Bioinformatics Division and Center for Synthetic & Systems Biology TNList, Tsinghua University, Beijing, Chin"," Dept. of Comp. Sci. & Tech., CBICR Center, State Key Lab for Intell. Tech. & Systems ‡ MOE Key lab of Bioinformatics, Bioinformatics Division and Center for Synthetic & Systems Biology TNList, Tsinghua University, Beijing, Chin",,,,,,,,,,,,,,,,,,,3.0,0.0
220,A Monte Carlo Localization Assignment Using a Neato Vacuum with ROS,Gettysburg College,Gettysburg College,,,,,,,,,,,,,,,,,,,,2.0,0.0
221,A Summer Research Experience in Robotics,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,,,,,,,,,,3.0,0.0
222,Chaotic Time Series Prediction Using a Photonic Reservoir Computer with Output Feedback,Université Libre de Bruxelles,Université Libre de Bruxelles,Université Libre de Bruxelles,Université Libre de Bruxelles,,,,,,,,,,,,,,,,,,4.0,0.0
223,Robust MIL-Based Feature Template Learning for Object Tracking,Hong Kong Baptist University,Hong Kong Baptist University,"University of Maryland, College Park",,,,,,,,,,,,,,,,,,,3.0,0.0
224,The Benefit in Free Information Disclosure When Selling Information to People,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,,,,,,,2.0,0.0
225,A Dependency-Based Neural Reordering Model for Statistical Machine Translation,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,,,,3.0,0.0
226,A Generic Bet-and-Run Strategy for Speeding Up Stochastic Local Search *,Hasso Plattner Institute,Hasso Plattner Institute,University of Adelaide,,,,,,,,,,,,,,,,,,,3.0,0.0
227,Regret Ratio Minimization in Multi-Objective Submodular Function Maximization,The University of Tokyo,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,2.0,0.0
228,A Two-Stage Approach for Learning a Sparse Model with Sharp Excess Risk Analysis,University of Iowa,University of Iowa,Nanjing University,Alibaba Group (United States),,,,,,,,,,,,,,,,,,3.0,1.0
229,Neural Machine Translation Advised by Statistical Machine Translation,Soochow University,Huawei Technologies (Canada),Huawei Technologies (Canada),Huawei Technologies (Canada),Soochow University,Soochow University,,,,,,,,,,,,,,,,3.0,3.0
230,Active Discriminative Text Representation Learning,The University of Texas at Austin,The University of Texas at Austin,Northwestern University,,,,,,,,,,,,,,,,,,,3.0,0.0
231,Collaborative Dynamic Sparse Topic Regression with User Profile Evolution for Item Recommendation,Institute of Information Engineering,University of Technology Sydney,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,6.0,0.0
232,FeaBoost: Joint Feature and Label Refinement for Semantic Segmentation,Renmin University of China,Renmin University of China,IBM Research - China,King Abdullah University of Science and Technology,Renmin University of China,,,,,,,,,,,,,,,,,5.0,0.0
233,Transfer Reinforcement Learning with Shared Dynamics,"Orange Labs at Châtillon, Franc",Université de Montréal,"Orange Labs at Châtillon, France Univ. Lille 1, UMR 9189 CRIStAL, Franc",,,,,,,,,,,,,,,,,,,0.0,2.0
234,Parametric Dual Maximization for Non-Convex Learning Problems,Department of EECS UC Berkele,Department of EECS UC Berkele,Department of EECS UC Berkele,,,,,,,,,,,,,,,,,,,3.0,0.0
235,"Dude, Where's My Robot? A Localization Challenge for Undergraduate Robotics",Franklin W. Olin College of Engineering,,,,,,,,,,,,,,,,,,,,,1.0,0.0
236,Fully Convolutional Neural Networks with Full-Scale-Features for Semantic Segmentation *,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,4.0,0.0
237,Boosting Complementary Hash Tables for Fast Nearest Neighbor Search,Beihang University,Xidian University,Peking University,Beihang University,,,,,,,,,,,,,,,,,,4.0,0.0
238,Detecting Review Spammer Groups,City University of Hong Kong,City University of Hong Kong,Shenzhen University,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,4.0,0.0
239,Semantic Interpretation of Social Network Communities,"University of Maryland, College Park","Indian Institute of Information Technology, Sri City, AP, India, 51758",,,,,,,,,,,,,,,,,,,,5.0,0.0
240,Pairwise HITS: Quality Estimation from Pairwise Comparisons in Creator-Evaluator Crowdsourcing Process,Kyoto University,Kyoto University,Kyoto University,,,,,,,,,,,,,,,,,,,3.0,0.0
241,Collaborative Planning with Encoding of Users' High-level Strategies,Massachusetts Institute of Technology,Norfolk State University,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,3.0,0.0
242,Random-Radius Ball Method for Estimating Closeness Centrality,The University of Tokyo,Kawarabayashi Large Graph Projec,Preferred Networks (Japan),National Institute of Informatics,,,,,,,,,,,,,,,,,,2.0,1.0
243,Correlated Cascades: Compete or Cooperate,Sharif University of Technology,Sharif University of Technology,Georgia Institute of Technology,Sharif University of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,5.0,0.0
244,The Bernstein Mechanism: Function Release under Differential Privacy,"Horst Görtz Institute for IT Security and Faculty of Mathematics Ruhr-Universität Bochum, German",University of Melbourne,,,,,,,,,,,,,,,,,,,,2.0,0.0
245,Thompson Sampling for Stochastic Bandits with Graph Feedback,Chalmers University of Technology,University of Lille,Chalmers University of Technology,Harvard University,Chalmers University of Technology,,,,,,,,,,,,,,,,,5.0,0.0
246,Dual-Clustering Maximum Entropy with Application to Classification and Word Embedding,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,3.0,0.0
247,Incorporating Expert Knowledge into Keyphrase Extraction,Institute for Infocomm Research,Institute for Infocomm Research,Institute for Infocomm Research,"Tencent AI Lab, Shenzhen, Chin",,,,,,,,,,,,,,,,,,2.0,1.0
248,An Artificial Agent for Robust Image Registration,"Technology Center, Medical Imaging Technologies Siemens Medical Solutions USA Princeton, NJ 0854","Technology Center, Medical Imaging Technologies Siemens Medical Solutions USA Princeton, NJ 0854","Technology Center, Medical Imaging Technologies Siemens Medical Solutions USA Princeton, NJ 0854","Technology Center, Medical Imaging Technologies Siemens Medical Solutions USA Princeton, NJ 0854","Technology Center, Medical Imaging Technologies Siemens Medical Solutions USA Princeton, NJ 0854","Technology Center, Medical Imaging Technologies Siemens Medical Solutions USA Princeton, NJ 0854","Technology Center, Medical Imaging Technologies Siemens Medical Solutions USA Princeton, NJ 0854",,,,,,,,,,,,,,,7.0,0.0
249,Faster and Simpler Algorithm for Optimal Strategies of Blotto Game,University of Mary,University of Mary,University of Mary,University of Mary,University of Mary,,,,,,,,,,,,,,,,,5.0,0.0
250,A Generalized Stochastic Variational Bayesian Hyperparameter Learning Framework for Sparse Spectrum Gaussian Process Regression,National University of Singapore,Interactive Media Institute,,,,,,,,,,,,,,,,,,,,2.0,0.0
251,A Framework for Minimal Clustering Modification via Constraint Programming,"University of California, Davis","University at Albany, State University of New York",University of Orléans,University of Orléans,"University of California, Davis",,,,,,,,,,,,,,,,,5.0,0.0
252,Enhancing the Privacy of Predictors,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,5.0,0.0
253,Preference Elicitation in DCOPs for Scheduling Devices in Smart Buildings,New Mexico State University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
254,A Selected Summary of AI for Computational Sustainability,Vanderbilt University,,,,,,,,,,,,,,,,,,,,,1.0,0.0
255,Deep Collective Inference,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,2.0,0.0
256,Adaptive Proximal Average Approximation for Composite Convex Minimization,South China University of Technology,"‡Tencent AI Lab, Shenzhen, Chin",The University of Texas at Arlington,Fudan University,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,4.0,1.0
257,Progressive Prediction of Student Performance in College Programs,University of Miami,University of Miami,"University of California, Los Angeles",University of Miami,"University of California, Los Angeles",University of Southern California,,,,,,,,,,,,,,,,6.0,0.0
258,Collective Multiagent Sequential Decision Making Under Uncertainty,Singapore Management University,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,4.0,0.0
259,Mechanism Design in Social Networks,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,ShanghaiTech University,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,4.0,0.0
260,What Do Multiwinner Voting Rules Do? An Experiment Over the Two-Dimensional Euclidean Domain,University of Oxford,AGH University of Science and Technology,Paris School of Economics,University of Oxford,University of Auckland,Weizmann Institute of Science,,,,,,,,,,,,,,,,6.0,0.0
261,One-Step Spectral Clustering via Dynamically Learning Affinity Matrix and Subspace,Guangxi Normal University,Guangxi Normal University,Guangxi Normal University,University of Electronic Science and Technology of China,Guangxi Normal University,Guangxi Normal University,Guangxi University,,,,,,,,,,,,,,,7.0,0.0
262,DECK: Discovering Event Composition Knowledge from Web Images for Zero-Shot Event Detection and Recounting in Videos," IIIS, Tsinghua Universit",University of Southern California,,,,,,,,,,,,,,,,,,,,1.0,0.0
263,Leveraging Saccades to Learn Smooth Pursuit: A Self-Organizing Motion Tracking Model Using Restricted Boltzmann Machines,University of Ottawa,University of Ottawa,,,,,,,,,,,,,,,,,,,,2.0,0.0
264,Community-Based Question Answering via Asymmetric Multi-Faceted Ranking Network Learning,Zhejiang University,Zhejiang University,Advanced Digital Sciences Center,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,6.0,0.0
265,Efficient Parameter Importance Analysis via Ablation with Surrogates,University of Freiburg,University of Freiburg,University of Freiburg,University of Freiburg,University of British Columbia,University of British Columbia,,,,,,,,,,,,,,,,6.0,0.0
266,Going Beyond Primal Treewidth for (M)ILP,TU Wien,TU Wien,TU Wien,,,,,,,,,,,,,,,,,,,3.0,0.0
267,Structure Regularized Unsupervised Discriminant Feature Analysis,Wenzhou University,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,3.0,0.0
268,Webly-Supervised Learning of Multimodal Video Detectors,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,3.0,0.0
269,AI Projects for Computer Science Capstone Classes (Extended Abstract),Washington State University,Washington State University,,,,,,,,,,,,,,,,,,,,2.0,0.0
270,Robsut Wrod Reocginiton via Semi-Character Recurrent Neural Network *,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,,,,,,,,,,,,,,,,,,4.0,0.0
