Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,num_academia,num_company
21,Separators and Adjustment Sets in Markov Equivalent DAGs,University of Lübeck,University of Lübeck,,,,,,,,,,,,,,2.0,0.0
22,Text Classification with Heterogeneous Information Network Kernels,Peking University,West Virginia University,Peking University,Peking University,University of Illinois Urbana-Champaign,,,,,,,,,,,5.0,0.0
23,"Strategyproof Peer Selection: Mechanisms, Analyses, and Experiments",Data61,University of Toronto,Data61,Hebrew University of Jerusalem,Data61,,,,,,,,,,,5.0,0.0
24,Data Driven Game Theoretic Cyber Threat Mitigation,Arizona State University,Arizona State University,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,,5.0,0.0
25,Mobility Sequence Extraction and Labeling Using Sparse Cell Phone Data,Massachusetts Institute of Technology,Austrian Institute of Technology,Ford Motor Company (United States),Massachusetts Institute of Technology,,,,,,,,,,,,3.0,1.0
26,MicroScholar: Mining Scholarly Information from Chinese Microblogs,Peking University,Peking University,,,,,,,,,,,,,,2.0,0.0
27,Learning Future Classifiers without Additional Data,NTT Secure Platform Laboratories,"NTT Corporation 3-9-11, Midori-cho, Musashino-shi, Tokyo, Japa",NTT Communication Science Laboratories,"NTT Corporation 2-4, Hikaridai, Seika-cho, Soraku-gun, Kyoto, Japa",,,,,,,,,,,,0.0,2.0
28,Multi-Agent Path Finding with Payload Transfers and the Package-Exchange Robot-Routing Problem *,University of Southern California,Georgia Institute of Technology,Ben-Gurion University of the Negev,University of Southern California,University of Southern California,,,,,,,,,,,5.0,0.0
29,STELLAR: Spatial-Temporal Latent Ranking for Successive Point-of-Interest Recommendation,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,,,,,,10.0,0.0
30,"General Video Game AI: Competition, Challenges, and Opportunities",University of Essex,University of Essex,New York University,NewYork–Presbyterian Brooklyn Methodist Hospital,University of Essex,New York University,,,,,,,,,,5.0,0.0
31,Business-Aware Visual Concept Discovery from Social Media for Multimodal Business Venue Recognition,"University of Maryland, College Park",FX Palo Alto Laboratory,FX Palo Alto Laboratory,FX Palo Alto Laboratory,,,,,,,,,,,,4.0,0.0
32,Social Role-Aware Emotion Contagion in Image Social Networks,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,4.0,0.0
33,Robust Decision Making for Stochastic Network Design,Singapore Management University,Singapore Management University,Singapore Management University,University of Massachusetts Amherst,,,,,,,,,,,,4.0,0.0
34,Variations on the Hotelling-Downs Model,Tel Aviv University,Tel Aviv University,Hebrew University of Jerusalem,,,,,,,,,,,,,3.0,0.0
35,Complementing Semantic Roles with Temporally-Anchored Spatial Knowledge: Crowdsourced Annotations and Experiments,University of North Texas,University of North Texas,,,,,,,,,,,,,,2.0,0.0
36,Semi-Supervised Dictionary Learning via Structural Sparse Preserving,Wenzhou University,Wenzhou University,Wenzhou University,Wenzhou University,,,,,,,,,,,,4.0,0.0
37,Uncorrelated Group LASSO, Samsung Research America,University of Rochester, Philips Research North America, Google Inc,,,,,,,,,,,,1.0,0.0
38,Generalized Emphatic Temporal Difference Learning: Bias-Variance Analysis,Technion – Israel Institute of Technology,"University of California, Berkeley",Technion – Israel Institute of Technology,,,,,,,,,,,,,3.0,0.0
39,Re-Active Learning: Active Learning with Relabeling,University of Washington,Indian Institute of Technology Delhi,University of Washington,,,,,,,,,,,,,3.0,0.0
40,Age of Exposure: A Model of Word Learning,Polytechnic University of Bucharest,Arizona State University,Georgia State University,Polytechnic University of Bucharest,,,,,,,,,,,,4.0,0.0
41,Strategy-Based Warm Starting for Regret Minimization in Games,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,2.0,0.0
42,CAPReS: Context Aware Persona Based Recommendation for Shoppers,Arizona State University,University of Indianapolis,University of Indianapolis,University of Indianapolis,,,,,,,,,,,,4.0,0.0
43,Nonlinear Feature Extraction with Max-Margin Data Shifting,Tsinghua University,"‡ MOE Key lab of Bioinformatics, Bioinformatics Division and Center for Synthetic & Systems Biology, TNList",,,,,,,,,,,,,,2.0,0.0
44,Quantitative Extensions of the Condorcet Jury Theorem with Strategic Agents,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,1.0,0.0
45,Learning Ensembles of Cutset Networks,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,,,,,2.0,0.0
46,Closeness Centrality for Networks with Overlapping Community Structure,University of Oxford,Warsaw University of Technology,National Institute of Science and Technology,University of Warsaw,,,,,,,,,,,,4.0,0.0
47,Noise-Adaptive Margin-Based Active Learning and Lower Bounds under Tsybakov Noise Condition,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,2.0,0.0
48,Co-Regularized PLSA for Multi-Modal Learning,Computer Science Department,Computer Science Department,"University at Albany, State University of New York",Computer Science Department,,,,,,,,,,,,1.0,0.0
49,Local Search for Hard SAT Formulas: The Strength of the Polynomial Law,Institute for Interdisciplinary Information Sciences Tsinghua Universit,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,1.0,0.0
50,From Duels to Battlefields: Computing Equilibria of Blotto and Other Games *,Stanford University,Stanford University,Stanford University,Stanford University,Stanford University,Stanford University,,,,,,,,,,6.0,0.0
51,A Probabilistic Approach to Knowledge Translation,University of Oregon,University of Oregon,University of Oregon,,,,,,,,,,,,,3.0,0.0
52,Structure Aware L1-Graph for Data Clustering,Stony Brook University,Stony Brook University,,,,,,,,,,,,,,2.0,0.0
53,Training Watson -A Cognitive Systems Course,Rose–Hulman Institute of Technology,,,,,,,,,,,,,,,1.0,0.0
54,Ontology Re-Engineering: A Case Study from the Automotive Industry,Ford Motor Company (United States),Ford Motor Company (United States),Indian Institute of Technology Madras,Indian Institute of Technology Madras,Indian Institute of Technology Madras,,,,,,,,,,,3.0,2.0
55,Solving Transition-Independent Multi-Agent MDPs with Sparse Interactions,Delft University of Technology,University of Amsterdam,University of Amsterdam,University of Liverpool,Delft University of Technology,,,,,,,,,,,5.0,0.0
56,Egocentric Video Search via Physical Interactions,Kyoto University,Kyoto University,Kyoto University,Osaka University,Kyoto University,Osaka University,Kyoto University,Kyoto University,,,,,,,,8.0,0.0
57,Solving Goal Recognition Design Using ASP,New Mexico State University,University of Potsdam,Inria Rennes - Bretagne Atlantique Research Centre,University of Potsdam,Inria Rennes - Bretagne Atlantique Research Centre,University of Potsdam,Inria Rennes - Bretagne Atlantique Research Centre,New Mexico State University,,,,,,,,8.0,0.0
58,Modeling and Experimentation Framework for Fuzzy Cognitive Maps,University of Miami,Hasselt University,,,,,,,,,,,,,,2.0,0.0
59,Teaching Automated Strategic Reasoning Using Capstone Tournaments,The University of Texas at El Paso,The University of Texas at El Paso,The University of Texas at El Paso,,,,,,,,,,,,,3.0,0.0
60,Predicting Online Protest Participation of Social Media Users,Arizona State University,Arizona State University,Texas A&M University,Yahoo Labs Suhang Wan,Arizona State University,Arizona State University,,,,,,,,,,5.0,1.0
61,Multitask Generalized Eigenvalue Program,McGill University,McGill University,Lancaster University,,,,,,,,,,,,,3.0,0.0
62,Preventing Illegal Logging: Simultaneous Optimization of Resource Teams and Tactics for Security,University of Southern California,University of Southern California,The University of Texas at El Paso,Michigan State University,Michigan State University,,,,,,,,,,,5.0,0.0
63,SentiCap: Generating Image Descriptions with Sentiments,Australian National University,Australian National University,Australian National University,,,,,,,,,,,,,3.0,0.0
64,Intelligent Advice Provisioning for Repeated Interaction,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,2.0,0.0
65,Transfer Learning from Deep Features for Remote Sensing and Poverty Mapping,Stanford University,Stanford University,,,,,,,,,,,,,,2.0,0.0
66,Learning Deep Convolutional Neural Networks for X-Ray Protein Crystallization Image Analysis,Computer Science Department,Computer Science Department,Computer Science Department,,,,,,,,,,,,,3.0,0.0
67,An Efficient Time Series Subsequence Pattern Mining and Prediction Framework with an Application to Respiratory Motion Prediction,University of Washington,University of Washington,The University of Texas at Arlington,,,,,,,,,,,,,3.0,0.0
68,Topic Models to Infer Socio-Economic Maps,"University of Maryland, College Park",Telefonica Research and Development,"University of Maryland, College Park",,,,,,,,,,,,,2.0,1.0
69,Exploiting an Oracle That Reports AUC Scores in Machine Learning Contests,Harvard University,,,,,,,,,,,,,,,1.0,0.0
70,Preconditioned Stochastic Gradient Langevin Dynamics for Deep Neural Networks *,Duke University,Duke University,Columbia University,Duke University,,,,,,,,,,,,4.0,0.0
71,Algorithms for Differentially Private Multi-Armed Bandits,Chalmers University of Technology,Chalmers University of Technology,,,,,,,,,,,,,,2.0,0.0
72,DRIMUX: Dynamic Rumor Influence Minimization with User Experience in Social Networks,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,McGill University,,,,,,,,,,6.0,0.0
73,An Axiomatic Framework for Ex-Ante Dynamic Pricing Mechanisms in Smart Grid,University of Southampton,University of Southampton,University of Southampton,University of Southampton,University of Southampton,University of Southampton,,,,,,,,,,6.0,0.0
74,Linear Submodular Bandits with a Knapsack Constraint,University of Technology,University of Melbourne,University of Technology,,,,,,,,,,,,,3.0,0.0
75,Deep Learning for Algorithm Portfolios,University of Padov,"IBM Research, NY, US","IBM Research, NY, US","IBM Research, NY, US","IBM Research, NY, US",,,,,,,,,,,4.0,0.0
76,Simultaneous Feature and Sample Reduction for Image-Set Classification,"Center for Research on Intelligent Perception and Computing, National Laboratory of Pattern Recognition",Chinese Academy of Sciences,,,,,,,,,,,,,,5.0,0.0
77,Deep Tracking: Seeing Beyond Seeing Using Recurrent Neural Networks,University of Oxford,University of Oxford,,,,,,,,,,,,,,2.0,0.0
78,Reading the Videos: Temporal Labeling for Crowdsourced Time-Sync Videos Based on Semantic Embedding,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,5.0,0.0
79,co-rank: An Online Tool for Collectively Deciding Efficient Rankings Among Peers,University of Patras,University of Patras,University of Patras,University of Patras,,,,,,,,,,,,4.0,0.0
80,Dynamic Controllability of Disjunctive Temporal Networks: Validation and Synthesis of Executable Strategies,Fondazione Bruno Kessler,Fondazione Bruno Kessler,Fondazione Bruno Kessler,,,,,,,,,,,,,3.0,0.0
81,A Tool to Graphically Edit CP-Nets,University of Kentucky,University of Kentucky,University of Kentucky,,,,,,,,,,,,,3.0,0.0
82,Semantic Community Identification in Large Attribute Networks,Tianjin University,Washington University in St. Louis,Tianjin University,Chinese Academy of Sciences,Chinese Academy of Sciences,Tianjin University of Commerce,Jianghan University,Washington University in St. Louis,,,,,,,,8.0,0.0
83,High-Order Stochastic Gradient Thermostats for Bayesian Learning of Deep Models *,Duke University,Duke University,Duke University,Duke University,,,,,,,,,,,,4.0,0.0
84,Model AI Assignments 2016,Michigan Technological University,Sarah Lawrence College,St. Lawrence University,Wentworth Institute of Technology,University of Kent,,,,,,,,,,,5.0,0.0
85,From Tweets to Wellness: Wellness Event Detection from Twitter Streams,National University of Singapore,National University of Singapore,Texas A&M University,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,6.0,0.0
86,EDDIE: An Embodied AI System for Research and Intervention for Individuals with ASD, Dept of Physics,Autism Research Institute,Canisius College, Dept of Physics, Dept of Physics,,,,,,,,,,,5.0,0.0
87,Achieving Stable and Fair Profit Allocation with Minimum Subsidy in Collaborative Logistics,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,3.0,0.0
88,On the Containment of SPARQL Queries under Entailment Regimes,University of Mannheim,University of Mannheim,,,,,,,,,,,,,,2.0,0.0
89,Text Matching as Image Recognition,CAS Key Laboratory of Network Data Science and Technology,Chinese Academy of Sciences,,,,,,,,,,,,,,4.0,0.0
90,Reinstating Combinatorial Protections for Manipulation and Bribery in Single-Peaked and Nearly Single-Peaked Electorates,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,2.0,0.0
91,Uncertainty Propagation in Long-Term Structured Regression on Evolving Networks,Temple University,Temple University,Temple University,,,,,,,,,,,,,3.0,0.0
92,Extracting Topical Phrases from Clinical Documents,Aston University,,,,,,,,,,,,,,,1.0,0.0
93,Online ARIMA Algorithms for Time Series Prediction,Zhejiang University,Singapore Management University,Singapore Management University,Institute for Infocomm Research,Zhejiang University,,,,,,,,,,,5.0,0.0
94,Improving Recommendation of Tail Tags for Questions in Community Question Answering,Beihang University,Beihang University,Beihang University,Microsoft Research Asia (China),,,,,,,,,,,,3.0,1.0
95,Multi-Objective Self-Paced Learning,Xidian University,Xidian University,Xi'an Jiaotong University,Xidian University,,,,,,,,,,,,4.0,0.0
96,Multi-Attribute Proportional Representation,Paris Dauphine University,University of Oxford,,,,,,,,,,,,,,2.0,0.0
97,Breaking More Composition Symmetries Using Search Heuristics,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,2.0,0.0
98,Pragmatic Querying in Heterogeneous Knowledge Graphs,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,1.0,0.0
99,Derivative-Free Optimization via Classification *,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,3.0,0.0
100,Complexity Results and Algorithms for Extension Enforcement in Abstract Argumentation *,Helsinki Institute for Information Technology,University of Helsinki,,,,,,,,,,,,,,2.0,0.0
101,Bayesian Markov Games with Explicit Finite-Level Types,University of Georgia,University of Georgia,University of Georgia,,,,,,,,,,,,,3.0,0.0
102,Predicting the Next Location: A Recurrent Model with Spatial and Temporal Contexts,Academia Sinica,Academia Sinica,Academia Sinica,Academia Sinica,,,,,,,,,,,,4.0,0.0
103,Decision Sum-Product-Max Networks,University of Waterloo,University of Waterloo,University of Georgia,,,,,,,,,,,,,3.0,0.0
104,Coupled Dictionary Learning for Unsupervised Feature Selection,Tianjin University,Tianjin University,Tianjin University,Harbin Institute of Technology,,,,,,,,,,,,4.0,0.0
105,Writing Stories with Help from Recurrent Neural Networks,University of Southern California,,,,,,,,,,,,,,,1.0,0.0
106,Column Sampling Based Discrete Supervised Hashing,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,3.0,0.0
107,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,Northwestern University,Harvard Medical School,,,,,,,,,,,,,,1.0,0.0
108,Video Semantic Clustering with Sparse and Incomplete Tags,Queen Mary University of London,Queen Mary University of London,Queen Mary University of London,,,,,,,,,,,,,3.0,0.0
109,Recognizing Actions in 3D Using Action-Snippets and Activated Simplices,Peking University,"University of California, Los Angeles",Peking University,"University of California, Los Angeles",,,,,,,,,,,,4.0,0.0
110,Articulated Pose Estimation Using Hierarchical Exemplar-Based Models,Columbia University,Columbia University,Columbia University,Columbia University,,,,,,,,,,,,4.0,0.0
111,A Framework for Outlier Description Using Constraint Programming,"University of California, Davis","University of California, Davis",,,,,,,,,,,,,,2.0,0.0
112,Using Decomposition-Parameters for QBF: Mind the Prefix!,TU Wien,TU Wien,TU Wien,,,,,,,,,,,,,3.0,0.0
113,Robust Semi-Supervised Learning through Label Aggregation,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,5.0,0.0
114,Fine-Grained Semantic Conceptualization of FrameNet,Pohang University of Science and Technology,Yonsei University,Meta (United States),,,,,,,,,,,,,2.0,1.0
115,"The 2,1 -Norm Stacked Robust Autoencoders for Domain Adaptation",The University of Texas at Arlington,The University of Texas at Arlington,Hong Kong Polytechnic University,The University of Texas at Arlington,,,,,,,,,,,,4.0,0.0
116,Numerical Relation Extraction with Minimal Supervision,Visa Inc,IBM Research - China,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,,,,,,,,,,,,3.0,0.0
117,Semi-Supervised Multinomial Naive Bayes for Text Classification by Leveraging Word-Level Statistical Constraint,Beijing Municipal Engineering Design and Research Institute (China),Beijing Municipal Engineering Design and Research Institute (China),Tsinghua University,,,,,,,,,,,,,1.0,0.0
118,Veto-Consensus Multiple Kernel Learning,Department of EECS UC Berkele,University of Amsterdam,Department of EECS UC Berkele,,,,,,,,,,,,,3.0,0.0
119,Learning Statistical Scripts with LSTM Recurrent Neural Networks,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,2.0,0.0
120,Multi-Defender Strategic Filtering Against Spear-Phishing Attacks,"University of California, Berkeley",Vanderbilt University,Vanderbilt University,,,,,,,,,,,,,3.0,0.0
121,Visual Learning of Arithmetic Operations,Hebrew University of Jerusalem,Hebrew University of Jerusalem,,,,,,,,,,,,,,2.0,0.0
122,Frugal Bribery in Voting,Indian Institute of Science Bangalore,Indian Institute of Technology Gandhinagar,Indian Institute of Science Bangalore,,,,,,,,,,,,,3.0,0.0
123,MC-HOG Correlation Tracking with Saliency Proposal,Chinese Academy of Sciences,Nanjing University of Information Science and Technology,Chinese Academy of Sciences,Nanjing University of Information Science and Technology,Institute of Information Engineering,Chinese Academy of Sciences,Nanjing University of Information Science and Technology,,,,,,,,,7.0,0.0
124,Adaptive Normalized Risk-Averting Training for Deep Neural Networks,"University of Maryland, Baltimore","University of Maryland, Baltimore","University of Maryland, Baltimore",,,,,,,,,,,,,3.0,0.0
125,Discovering User Attribute Stylistic Differences via Paraphrasing,Computer & Information Science University of Pennsylvani,Computer & Information Science University of Pennsylvani,Computer & Information Science University of Pennsylvani,,,,,,,,,,,,,3.0,0.0
126,Logical Foundations of Privacy-Preserving Publishing of Linked Data,University of Oxford,University of Oxford,,,,,,,,,,,,,,2.0,0.0
127,Productive Aging through Intelligent Personalized Crowdsourcing,University of British Columbia,Nanyang Technological University,,,,,,,,,,,,,,2.0,0.0
128,SDDs Are Exponentially More Succinct than OBDDs,TU Wien,,,,,,,,,,,,,,,1.0,0.0
129,Hierarchy Prediction in Online Communities,,,,,,,,,,,,,,,,0.0,0.0
130,Robust Execution Strategies for Probabilistic Temporal Planning,Harvey Mudd College,Harvey Mudd College,Harvey Mudd College,,,,,,,,,,,,,3.0,0.0
131,Learning Sparse Confidence-Weighted Classifier on Very High Dimensional Data,University of Adelaide,University of Technology Sydney,University of Illinois at Chicago,,,,,,,,,,,,,3.0,0.0
132,New 1 -Norm Relaxations and Optimizations for Graph Clustering,The University of Texas at Arlington,Colorado School of Mines,Xidian University,Xidian University,Xian Institute of Optics and Precision Mechanics,The University of Texas at Arlington,,,,,,,,,,6.0,0.0
133,Inferring Interpersonal Relations in Narrative Summaries,Carnegie Mellon University,"University of Maryland, College Park",Carnegie Mellon University,,,,,,,,,,,,,3.0,0.0
134,Multi-View 3D Human Tracking in Crowded Scenes,San Diego State University,,,,,,,,,,,,,,,1.0,0.0
135,Target Surveillance in Adversarial Environments Using POMDPs,Stanford University,Stanford University,Stanford University,,,,,,,,,,,,,3.0,0.0
136,Ethical Dilemmas for Adaptive Persuasion Systems,Fondazione Bruno Kessler,Fondazione Bruno Kessler,Fondazione Bruno Kessler,,,,,,,,,,,,,3.0,0.0
137,Global Model Checking on Pushdown Multi-Agent Systems *,Middlesex University,East China Normal University,Chinese Academy of Sciences,,,,,,,,,,,,,3.0,0.0
138,A Representation Learning Framework for Multi-Source Transfer Parsing,Harbin Institute of Technology,Harbin Institute of Technology,Johns Hopkins University,Ministry of Education of the People's Republic of China,Harbin Institute of Technology,,,,,,,,,,,5.0,0.0
139,Learning Step Size Controllers for Robust Neural Network Training,Technical University of Darmstadt,"Microsoft Research 21 Station Road Cambridge, U","Microsoft Research 21 Station Road Cambridge, U",,,,,,,,,,,,,1.0,0.0
140,Wishart Mechanism for Differentially Private Principal Components Analysis,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,3.0,0.0
141,Reduction Techniques for Graph-Based Convex Clustering,"Rutgers, The State University of New Jersey",Hong Kong University of Science and Technology,,,,,,,,,,,,,,2.0,0.0
142,Decidable Verification of Golog Programs over Non-Local Effect Actions,TU Dresden,RWTH Aachen University,,,,,,,,,,,,,,2.0,0.0
143,Domain-Constraint Transfer Coding for Imbalanced Unsupervised Domain Adaptation,Academia Sinica,Carnegie Mellon University,National Taiwan University,National Kaohsiung Normal University,Academia Sinica,,,,,,,,,,,5.0,0.0
144,Towards Structural Tractability in Hedonic Games *,University of Oxford,,,,,,,,,,,,,,,1.0,0.0
145,"Joint Word Segmentation, POS-Tagging and Syntactic Chunking *",Wuhan University,Singapore University of Technology and Design,Wuhan University,,,,,,,,,,,,,3.0,0.0
146,Computing Optimal Monitoring Strategy for Detecting Terrorist Plots,Nanyang Technological University,University of Chinese Academy of Sciences,Nanyang Technological University,,,,,,,,,,,,,3.0,0.0
147,Approximate K-Means++ in Sublinear Time,ETH Zurich,ETH Zurich,ETH Zurich,ETH Zurich,,,,,,,,,,,,4.0,0.0
148,What's Hot in Heuristic Search? *,Ben-Gurion University of the Negev,Universidade Federal de Viçosa,,,,,,,,,,,,,,2.0,0.0
149,Emergence of Social Punishment and Cooperation through Prior Commitments,Teesside University,Teesside University,,,,,,,,,,,,,,2.0,0.0
150,Counter-Transitivity in Argument Ranking Semantics *,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,3.0,0.0
151,Alternative Filtering for the Weighted Circuit Constraint: Comparing Lower Bounds for the TSP and Solving TSPTW,"Laboratoire des Sciences pour la Conception, l'Optimisation et la Production","Laboratoire des Sciences pour la Conception, l'Optimisation et la Production",,,,,,,,,,,,,,2.0,0.0
152,Image Privacy Prediction Using Deep Features,University of North Texas,University of North Texas,,,,,,,,,,,,,,2.0,0.0
153,Integrating Planning and Recognition to Close the Interaction Loop,University of Massachusetts Amherst,,,,,,,,,,,,,,,1.0,0.0
154,Deep Learning with S-Shaped Rectified Linear Activation Units,Nazarbayev University,Nanjing University of Science and Technology,Nazarbayev University,Nazarbayev University, Beijing Samsung Telecom R&D Cente,Nazarbayev University,,,,,,,,,,5.0,0.0
155,Efficient Average Reward Reinforcement Learning Using Constant Shifting Values,Nanjing University,Nanjing University,Nanyang Technological University,Nanjing University,Nanjing University of Posts and Telecommunications,,,,,,,,,,,5.0,0.0
156,Interactive Learning and Analogical Chaining for Moral and Commonsense Reasoning,Northwestern University,,,,,,,,,,,,,,,1.0,0.0
157,Shoot to Know What: An Application of Deep Networks on Mobile Devices,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,,,4.0,0.0
158,Bidirectional Search That Is Guaranteed to Meet in the Middle,University of Alberta,"ISE Department Ben-Gurion University Be'er-Sheva, Israe","ISE Department Ben-Gurion University Be'er-Sheva, Israe",Computer Science Department,,,,,,,,,,,,1.0,0.0
159,Data Poisoning Attacks against Autoregressive Models,University of Wisconsin–Madison,University of Wisconsin–Madison,University of Wisconsin–Madison,University of Oregon,,,,,,,,,,,,4.0,0.0
160,Intrinsic and Extrinsic Evaluations of Word Embeddings,Emory University,Emory University,Emory University,,,,,,,,,,,,,3.0,0.0
161,Deep Hashing Network for Efficient Similarity Retrieval *,Tsinghua University,Tsinghua University,Tsinghua National Laboratory for Information Science and Technolog,Tsinghua University,Tsinghua National Laboratory for Information Science and Technolog,Tsinghua University,,,,,,,,,,4.0,0.0
