Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,num_academia,num_company
0,Detection of Plan Deviation in Multi-Agent Systems,University of Southern Mississippi,"AFRL Information Directorate 26 Electronic Parkway Rome, NY 1344",University of Southern Mississippi,,,,,,,,,,,,,3.0,0.0
1,Using Domain Knowledge to Improve Monte-Carlo Tree Search Performance in Parameterized Poker Squares,DePauw University,DePauw University,DePauw University,,,,,,,,,,,,,3.0,0.0
2,Bayesian Learning of Other Agents' Finite Controllers for Interactive POMDPs,University of Illinois at Chicago,University of Illinois at Chicago,,,,,,,,,,,,,,2.0,0.0
3,Look-Ahead with Mini-Bucket Heuristics for MPE,"University of California, Irvine","University of California, Irvine","University of California, Irvine",Universitat Politècnica de Catalunya,,,,,,,,,,,,4.0,0.0
4,Handling Class Imbalance in Link Prediction Using Learning to Rank Techniques,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,3.0,0.0
5,Cold-Start Heterogeneous-Device Wireless Localization,Advanced Digital Sciences Center,Nanyang Technological University,ShanghaiTech University,Institute for Infocomm Research,University of Illinois Urbana-Champaign,Advanced Digital Sciences Center,,,,,,,,,,6.0,0.0
6,From Exact to Anytime Solutions for Marginal MAP,"University of California, Irvine",IBM Research - Ireland,"University of California, Irvine","University of California, Irvine",,,,,,,,,,,,4.0,0.0
7,Consensus Guided Unsupervised Feature Selection,Northeastern University,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,4.0,0.0
8,Learning to Appreciate the Aesthetic Effects of Clothing,Tsinghua University,Ministry of Education,Tsinghua University,Ministry of Education,Tsinghua University,Ministry of Education,Sichuan University,Tsinghua University,Ministry of Education,Tsinghua University,Ministry of Education, Beijing Samsung Telecom R& D cente,,,,11.0,0.0
9,A Geometric Method to Construct Minimal Peer Prediction Mechanisms,ETH Zurich,ETH Zurich,,,,,,,,,,,,,,2.0,0.0
10,Increasing the Action Gap: New Operators for Reinforcement Learning,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,6.0,0.0
11,Relational Knowledge Transfer for Zero-Shot Learning,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,4.0,0.0
12,Resistance to Corruption of Strategic Argumentation,"School of Engineering and Information Technology UNSW, Canberr",,,,,,,,,,,,,,,1.0,0.0
13,Cross-Lingual Taxonomy Alignment with Bilingual Biterm Topic Model,Southeast University,Southeast University,China University of Science and Technology,Southeast University,Southeast University,,,,,,,,,,,4.0,0.0
14,WWDS APIs: A for Efficient Manipula, Indian {hanumantredka {nehapgaon, Indian {hanumantredka {nehapgaon,,,,,,,,,,,,,,7.0,0.0
15,Modeling Users' Preferences and Social Links in Social Networking Services: A Joint-Evolving Perspective,University of North Carolina at Charlotte,Suzhou Nonferrous Metals Research Institute,University of North Carolina at Charlotte,Suzhou Nonferrous Metals Research Institute,University of North Carolina at Charlotte,Suzhou Nonferrous Metals Research Institute,University of North Carolina at Charlotte,Suzhou Nonferrous Metals Research Institute,University of North Carolina at Charlotte,Suzhou Nonferrous Metals Research Institute,,,,,,10.0,0.0
16,Maximum Margin Dirichlet Process Mixtures for Clustering,"University at Buffalo, State University of New York",Chinese Academy of Sciences," MetaMind Inc., 172 University Avenue, Palo Alto, CA 94301",,,,,,,,,,,,,2.0,1.0
17,Tracking Idea Flows between Social Groups,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,West Virginia University,,,,,,,,,,,5.0,0.0
18,Exploring Multiple Feature Spaces for Novel Entity Discovery,Pennsylvania State University,Microsoft (United States),Pennsylvania State University,Microsoft (United States),Microsoft Research (India),,,,,,,,,,,2.0,3.0
19,Deep Reinforcement Learning with Double Q-Learning,,,,,,,,,,,,,,,,0.0,0.0
20,Scaling Relational Inference Using Proofs and Refutations,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology," Microsoft Research, U",Georgia Institute of Technology,,,,,,,,,,,4.0,0.0
