Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,num_academia,num_company
27,Provably Good Solutions to the Knapsack Problem via Neural Networks of Bounded Size *,Technical University of Berlin,Technical University of Berlin,,,,,,,,,,,,,,,,,,,,,2.0,0.0
28,Clustering Ensemble Meets Low-rank Tensor Approximation,Southeast University,City University of Hong Kong,City University of Hong Kong,City University of Hong Kong,City University of Hong Kong,,,,,,,,,,,,,,,,,,5.0,0.0
29,Augmenting Policy Learning with Routines Discovered from a Single Demonstration,Shanghai Jiao Tong University, MIT-IBM Watson AI La,Stanford University, MIT-IBM Watson AI La,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,3.0,2.0
30,Modeling the Momentum Spillover Effect for Stock Prediction via Attribute-Driven Graph Attention Networks,Southwestern University of Finance and Economics,Southwestern University of Finance and Economics,,,,,,,,,,,,,,,,,,,,,2.0,0.0
31,Image Captioning with Context-Aware Auxiliary Guidance,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,University of Science and Technology of China,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,7.0,0.0
32,Bringing UMAP Closer to the Speed of Light with GPU Acceleration,"University of Maryland, Baltimore County","University of Maryland, Baltimore County",Booz Allen Hamilton (United States),"University of Maryland, Baltimore County",,,,,,,,,,,,,,,,,,,3.0,1.0
33,Decentralized Multi-Agent Linear Bandits with Safety Constraints,"University of California, Los Angeles",University of British Columbia,,,,,,,,,,,,,,,,,,,,,2.0,0.0
34,Deep Transfer Tensor Decomposition with Orthogonal Constraint for Recommender Systems,Zhejiang University,Westlake University,University of Chicago,Westlake University,,,,,,,,,,,,,,,,,,,4.0,0.0
35,"Writing Polishment with Simile: Task, Dataset and A Neural Approach","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin",,,,,,,,,,,,,,,,0.0,7.0
36,Conversational Neuro-Symbolic Commonsense Reasoning,Carnegie Mellon University,Carnegie Mellon University,Ariel University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,5.0,0.0
37,An Information-Theoretic Framework for Unifying Active Learning Problems,National University of Singapore,National University of Singapore,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,3.0,0.0
38,DeepPseudo: Pseudo Value Based Deep Learning Models for Competing Risk Analysis,"University of Maryland, Baltimore",University of Southern California,Osaka University,"University of Maryland, Baltimore",,,,,,,,,,,,,,,,,,,4.0,0.0
39,Adaptive Beam Search Decoding for Discrete Keyphrase Generation,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,,,,,,,,,,,,,,,,,,5.0,0.0
40,Knowledge-driven Data Construction for Zero-shot Evaluation in Commonsense Question Answering,Carnegie Mellon University,University of Southern California,Carnegie Mellon University,Stellenbosch University,Carnegie Mellon University,Carnegie Mellon University,Stellenbosch University,,,,,,,,,,,,,,,,7.0,0.0
41,Active Feature Selection for the Mutual Information Criterion,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,2.0,0.0
42,DAST: Unsupervised Domain Adaptation in Semantic Segmentation Based on Discriminator Attention and Self-Training,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,,,10.0,0.0
43,Learning by Fixing: Solving Math Word Problems with Weak Supervision,"University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,,,,,,5.0,0.0
44,EECBS: A Bounded-Suboptimal Search for Multi-Agent Path Finding,University of Southern California,University of New Hampshire,University of Southern California,,,,,,,,,,,,,,,,,,,,3.0,0.0
45,Clinical Temporal Relation Extraction with Probabilistic Soft Logic Regularization and Global Inference,Los Angeles Medical Center,Los Angeles Medical Center,University of Southern California,Los Angeles Medical Center,Los Angeles Medical Center,Los Angeles Medical Center,Los Angeles Medical Center,Los Angeles Medical Center,,,,,,,,,,,,,,,8.0,0.0
46,A Novel Visual Interpretability for Deep Neural Networks by Optimizing Activation Maps with Perturbation,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,,,,3.0,0.0
47,Indecision Modeling,"University of Maryland, College Park",Duke University,University of Oregon,Duke University,Duke University,Duke University,"University of Maryland, College Park",,,,,,,,,,,,,,,,7.0,0.0
48,Commonsense Knowledge Augmentation for Low-Resource Languages via Adversarial Learning,Sungkyunkwan University,Sogang University,Hyundai Motor Group (South Korea),Sungkyunkwan University,Sogang University,,,,,,,,,,,,,,,,,,4.0,1.0
49,Deep Portfolio Optimization via Distributional Prediction of Residual Factors,Preferred Networks (Japan),Preferred Networks (Japan),Preferred Networks (Japan)," Nomura Asset Management Co., Ltd",,,,,,,,,,,,,,,,,,,0.0,3.0
50,Shape-Pose Ambiguity in Learning 3D Reconstruction from Images,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Jiangsu University of Science and Technology,,,,,,,,,,,,,,,,,6.0,0.0
51,MVFNet: Multi-View Fusion Network for Efficient Video Recognition," Department of Computer Vision Technology (VIS), Baidu Inc"," Department of Computer Vision Technology (VIS), Baidu Inc"," Department of Computer Vision Technology (VIS), Baidu Inc"," Department of Computer Vision Technology (VIS), Baidu Inc", MIT-IBM Watson AI La," Department of Computer Vision Technology (VIS), Baidu Inc",,,,,,,,,,,,,,,,,0.0,6.0
52,Unsupervised Learning of Graph Hierarchical Abstractions with Differentiable Coarsening and Optimal Transport,IBM Research - China,IBM Research - China, MIT-IBM Watson AI La,,,,,,,,,,,,,,,,,,,,0.0,2.0
53,Compound Word Transformer: Learning to Compose Full-Song Music over Dynamic Directed Hypergraphs,Team Industrial Services (United States),Laboratori Guglielmo Marconi (Italy),Team Industrial Services (United States),Laboratori Guglielmo Marconi (Italy),Team Industrial Services (United States),Laboratori Guglielmo Marconi (Italy),Academia Sinica,,,,,,,,,,,,,,,,1.0,6.0
