Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,num_academia,num_company
190,TacTex'13: A Champion Adaptive Power Trading Agent,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,2.0,0.0
191,Spatial Scan for Disease Mapping on a Mobile Population,Temple University,University of Novi Sad,Temple University,,,,,,,,,,,3.0,0.0
192,Lifetime Lexical Variation in Social Media,Beijing Institute of Technology,Singapore Management University,Singapore Management University,Beijing Institute of Technology,Singapore Management University,,,,,,,,,5.0,0.0
193,Envy-Free Division of Sellable Goods,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,3.0,0.0
194,Forecasting Potential Diabetes Complications,Tsinghua University,KU Leuven,Northwestern University,KU Leuven,Tsinghua University,Tsinghua University,,,,,,,,6.0,0.0
195,StrokeBank: Automating Personalized Chinese Handwriting Generation,Stanford University,Stanford University,,,,,,,,,,,,2.0,0.0
196,Optimal Decomposition in Linear Constraint Systems,Delft University of Technology,Delft University of Technology,Delft University of Technology,,,,,,,,,,,3.0,0.0
197,Online Classification Using a Voted RDA Method,"University of California, Irvine",Microsoft (United States),Microsoft (United States),"University of California, Irvine",,,,,,,,,,2.0,2.0
198,Multi-Instance Learning with Distribution Change ⇤,Nanjing University,Nanjing University,,,,,,,,,,,,2.0,0.0
199,ReLISH: Reliable Label Inference via Smoothness Hypothesis,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,4.0,0.0
200,A Schedule Optimization Tool for Destructive and Non-Destructive Vehicle Tests,Stottler Henke Associates (United States),Stottler Henke Associates (United States),Stottler Henke Associates (United States),Stottler Henke Associates (United States),Stottler Henke Associates (United States),Stottler Henke Associates (United States),Stottler Henke Associates (United States),Stottler Henke Associates (United States),Stottler Henke Associates (United States),Stottler Henke Associates (United States),,,,0.0,10.0
201,Combining Multiple Correlated Reward and Shaping Signals by Measuring Confidence,Vrije Universiteit Brussel,Vrije Universiteit Brussel,University of York,Washington State University,,,,,,,,,,4.0,0.0
202,Solving Imperfect Information Games Using Decomposition,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,,,3.0,0.0
203,Qualitative Planning with Quantitative Constraints for Online Learning of Robotic Behaviours,UNSW Sydney,UNSW Sydney,University of Ljubljana,,,,,,,,,,,3.0,0.0
204,Unsupervised Alignment of Natural Language Instructions with Video Segments,University of Rochester,University of Rochester,University of Rochester,University of Rochester,University of Rochester,University of Rochester,,,,,,,,6.0,0.0
205,An Adversarial Interpretation of Information-Theoretic Bounded Rationality,University of Pennsylvania,University of Pennsylvania,,,,,,,,,,,,2.0,0.0
206,Robust Visual Robot Localization Across Seasons Using Network Flows,University of Freiburg,University of Freiburg,University of Freiburg,University of Bonn,,,,,,,,,,4.0,0.0
207,Optimizing a Start-Stop Controller Using Policy Search," Vehicle Controls, Research & Advanced Engineerin",Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology," Vehicle Controls, Research & Advanced Engineerin"," Vehicle Controls, Research & Advanced Engineerin",Computer Science and Artificial Intelligence Laborator,,,,,,,3.0,3.0
208,Equilibria in Epidemic Containment Games,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,,,,,,,,,,4.0,0.0
209,Contextually Supervised Source Separation with Application to Energy Disaggregation,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,2.0,0.0
210,Deep Salience: Visual Salience Modeling via Deep Belief Propagation,Automatic Control and System Engineerin,University of Sheffield,Queen's University Belfast,,,,,,,,,,,1.0,1.0
211,Locality-Constrained Low-Rank Coding for Image Classification,Beijing Institute of Technology,National University of Defense Technology,Beijing Institute of Technology,National University of Defense Technology,,,,,,,,,,4.0,0.0
212,Dynamic Bayesian Probabilistic Matrix Factorization,Cyprus University of Technology,,,,,,,,,,,,,1.0,0.0
213,Incomplete Preferences in Single-Peaked Electorates,University of Vienna,,,,,,,,,,,,,1.0,0.0
214,Exploiting Competition Relationship for Robust Visual Recognition,Temple University,Temple University,,,,,,,,,,,,2.0,0.0
215,Large-Scale Analogical Reasoning,SRI International,SRI International,SRI International,SRI International,SRI International,,,,,,,,,5.0,0.0
216,Tractability through Exchangeability: A New Perspective on Efficient Probabilistic Inference,University of Washington,California State University Los Angeles,KU Leuven,,,,,,,,,,,3.0,0.0
217,A Model for Aggregating Contributions of Synergistic Crowdsourcing Workflows,Beihang University,Beihang University,Beihang University,Beihang University,University of Ottawa,,,,,,,,,5.0,0.0
218,An Agent-Based Model Studying the Acquisition of a Language System of Logical Constructions,Universitat Politècnica de Catalunya,,,,,,,,,,,,,1.0,0.0
219,Scalable Complex Contract Negotiation With Structured Search and Agenda Management,University of Massachusetts Dartmouth,University of Massachusetts Dartmouth,"Center for Collective Intelligence MIT Sloan School of Management Cambridge, MA, U.S.A",University of Alcalá,,,,,,,,,,3.0,0.0
220,Learning from Unscripted Deictic Gesture and Language for Human-Robot Interactions,University of Washington,University of Washington,University of Washington,,,,,,,,,,,3.0,0.0
221,Echo-State Conditional Restricted Boltzmann Machines,Cyprus University of Technology,,,,,,,,,,,,,1.0,0.0
222,Solving Zero-Sum Security Games in Discretized Spatio-Temporal Domains,University of Southern California,University of Southern California,University of Southern California,Duke University,University of Southern California,University of Southern California,,,,,,,,6.0,0.0
223,Prices Matter for the Parameterized Complexity of Shift Bribery,Technical University of Berlin,K+S (Germany),Technical University of Berlin,K+S (Germany),AGH University of Science and Technology,Technical University of Berlin,K+S (Germany),Technical University of Berlin,K+S (Germany),,,,,5.0,0.0
224,Efficient Optimization for Autonomous Robotic Manipulation of Natural Objects,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,3.0,0.0
225,Semantic Segmentation Using Multiple Graphs with Block-Diagonal Constraints,Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,4.0,0.0
226,Computing Contingent Plans via Fully Observable Non-Deterministic Planning,University of Toronto,University of Toronto,University of Toronto,,,,,,,,,,,3.0,0.0
227,Model AI Assignments 2014,Michigan Technological University,University of Illinois Urbana-Champaign,Rochester Institute of Technology,University of Southern Mississippi,,,,,,,,,,4.0,0.0
228,A Characterization of the Single-Peaked Single-Crossing Domain,University of Oxford,Allegheny General Hospital,University of Warsaw,,,,,,,,,,,3.0,0.0
229,RepRev: Mitigating the Negative Effects of Misreported Ratings,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,6.0,0.0
230,Supervised Hashing for Image Retrieval via Image Representation Learning,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,National University of Singapore,Sun Yat-sen University,National University of Singapore,,,,,,,,6.0,0.0
231,Learning Unknown Event Models,Knexus Research (United States),United States Naval Research Laboratory,,,,,,,,,,,,1.0,1.0
232,Modeling and Predicting Popularity Dynamics via Reinforced Poisson Processes,Chinese Academy of Sciences,IBM Research - Thomas J. Watson Research Center,University of Miami,Northeastern University,,,,,,,,,,4.0,0.0
233,THink: Inferring Cognitive Status from Subtle Behaviors,Cambridge–MIT Institute,Neurology Department Drexel College of Med,Boston University,Cambridge–MIT Institute,Department of Neurology Lahey Healt,,,,,,,,,4.0,0.0
234,A Game-Theoretic Analysis of Catalog Optimization,University of Toronto,University of Toronto,University of Toronto,,,,,,,,,,,3.0,0.0
235,Multi-Organ Exchange: The Whole Is Greater than the Sum of its Parts,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,2.0,0.0
236,"Betting Strategies, Market Selection, and the Wisdom of Crowds",Northwestern University,New York City Council,Santa Fe Institute,Carnegie Mellon University,,,,,,,,,,4.0,0.0
237,LASS: A Simple Assignment Model with Laplacian Smoothing,"University of California, Merced","University of California, Merced",,,,,,,,,,,,2.0,0.0
238,Confident Reasoning on Raven's Progressive Matrices Tests,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,2.0,0.0
239,Recovering from Selection Bias in Causal and Statistical Inference,"University of California, Los Angeles",Iowa State University,"University of California, Los Angeles",,,,,,,,,,,3.0,0.0
240,On the Incompatibility of Efficiency and Strategyproofness in Randomized Social Choice,Data61,Technical University of Munich,Technical University of Munich,,,,,,,,,,,3.0,0.0
241,On the Axiomatic Characterization of Runoff Voting Rules,Duke University,Duke University,Duke University,,,,,,,,,,,3.0,0.0
242,Spatio-Temporal Consistency as a Means to Identify Unlabeled Objects in a Continuous Data Field,University of Minnesota,University of Minnesota,Rochester Institute of Technology,University of Minnesota,,,,,,,,,,4.0,0.0
243,Converting Instance Checking to Subsumption: A Rethink for Object Queries over Practical Ontologies,University of Miami,University of Miami,University of Miami,,,,,,,,,,,3.0,0.0
244,Social Planning: Achieving Goals by Altering Others' Mental States,University of Auckland,University of Auckland,University of Auckland,University of Auckland,,,,,,,,,,4.0,0.0
245,Towards Topological-Transformation Robust Shape Comparison: A Sparse Representation Based Manifold Embedding Approach,Fudan University,Fudan University,,,,,,,,,,,,2.0,0.0
246,Efficient Object Detection via Adaptive Online Selection of Sensor-Array Elements,,,,,,,,,,,,,,0.0,0.0
247,Binary Aggregation by Selection of the Most Representative Voter,University of Amsterdam,Department of Mathematics University of Padova Ital,,,,,,,,,,,,2.0,0.0
248,Decentralized Stochastic Planning with Anonymity in Interactions,Massachusetts Institute of Technology,Singapore Management University,,,,,,,,,,,,2.0,0.0
249,On Hair Recognition in the Wild by Machine,Michigan State University,Michigan State University,,,,,,,,,,,,2.0,0.0
250,Acquiring Comparative Commonsense Knowledge from the Web,Max Planck Institute for Informatics,Tsinghua University,Max Planck Institute for Informatics,,,,,,,,,,,3.0,0.0
251,A Multiarmed Bandit Incentive Mechanism for Crowdsourcing Demand Response in Smart Grids,Indian Institute of Science Bangalore,Catholic University of the Sacred Heart,Indian Institute of Science Bangalore,,,,,,,,,,,3.0,0.0
252,GenEth: A General Ethical Dilemma Analyzer,University of Hartford,Connecticut College,,,,,,,,,,,,1.0,0.0
253,Regret-Based Optimization and Preference Elicitation for Stackelberg Security Games with Uncertainty,University of Southern California,University of Southern California,Nanyang Technological University,University of Southern California,University of Toronto,,,,,,,,,5.0,0.0
254,Dynamic Multi-Agent Task Allocation with Spatial and Temporal Constraints,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,3.0,0.0
255,Dropout Training for Support Vector Machines,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,4.0,0.0
256,Mind the Gap: Machine Translation by Minimizing the Semantic Gap in Embedding Space,Institute of Automation,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Institute of Automation,,,,,,,,,2.0,3.0
257,Joule Counting Correction for Electric Vehicles Using Artificial Neural Networks,Carnegie Mellon University,,,,,,,,,,,,,1.0,0.0
258,Feature-Cost Sensitive Learning with Submodular Trees of Classifiers,Washington University in St. Louis,Tsinghua University,,,,,,,,,,,,2.0,0.0
259,Representing Words as Lymphocytes,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,,,,,,,,,,,3.0,0.0
260,Preference Elicitation and Interview Minimization in Stable Matchings,Computer Science Department,Computer Science Department,,,,,,,,,,,,2.0,0.0
261,Supervised Scoring with Monotone Multidimensional Splines,U.S. Green Building Council,,,,,,,,,,,,,1.0,0.0
262,Computing Preferences Based on Agents' Beliefs *,Tsinghua University,University of Science and Technology Beijing,,,,,,,,,,,,2.0,0.0
263,Explanation-Based Approximate Weighted Model Counting for Probabilistic Logics,KU Leuven,KU Leuven,KU Leuven,KU Leuven,,,,,,,,,,4.0,0.0
264,A Smart Range Helping Cognitively-Impaired Persons Cooking,Université du Québec à Chicoutimi,Université du Québec à Chicoutimi,Université du Québec à Chicoutimi,,,,,,,,,,,3.0,0.0
265,Game-heoretic Resource Allocation for Protecting Large Public Events,University of Chinese Academy of Sciences,Nanyang Technological University,"Department of Computer Science Virginia Tech Blacksburg, VA 2406",,,,,,,,,,,3.0,0.0
266,A Generalization of Probabilistic Serial to Randomized Social Choice,Data61,Technical University of Munich,,,,,,,,,,,,2.0,0.0
267,Testable Implications of Linear Structural Equation Models,"University of California, Los Angeles",Iowa State University,"University of California, Los Angeles",,,,,,,,,,,3.0,0.0
268,Saturated Path-Constrained MDP: Planning Under Uncertainty and Deterministic Model-Checking Constraints,"ONERA -The French Aerospace Lab 2 Avenue Édouard-Belin, F-31055 Toulouse, Franc","ONERA -The French Aerospace Lab 2 Avenue Édouard-Belin, F-31055 Toulouse, Franc",Microsoft (United States),,,,,,,,,,,0.0,1.0
269,On the Structure of Synergies in Cooperative Games,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,3.0,0.0
270,Modeling and Mining Spatiotemporal Patterns of Infection Risk from Heterogeneous Data for Active Surveillance Planning,Jilin University,Academia Sinica,Jilin University,Jilin University,Hong Kong Baptist University,National Institute for Parasitic Diseases,Hong Kong Baptist University,,,,,,,7.0,0.0
271,Hybrid Heterogeneous Transfer Learning through Deep Learning,Nanyang Technological University,Institute for Infocomm Research,University of Technology Sydney,University of Queensland,,,,,,,,,,4.0,0.0
272,SUIT: A Supervised User-Item Based Topic Model for Sentiment Analysis,Search for Extraterrestrial Intelligence,University of Illinois Urbana-Champaign,Chinese Academy of Sciences,Peking University,,,,,,,,,,4.0,0.0
273,Qualitative Reasoning with Modelica Models,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,,,,,,,,,,4.0,0.0
274,Semi-Supervised Matrix Completion for Cross-Lingual Text Classification,Temple University,Temple University,,,,,,,,,,,,2.0,0.0
275,Exploiting Support Sets for Answer Set Programs with External Evaluations *,"Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri",,,,,,,,,,4.0,0.0
276,A Control Dichotomy for Pure Scoring Rules *,Rochester Institute of Technology,University of Rochester,Kiel University,,,,,,,,,,,3.0,0.0
277,Active Learning for Crowdsourcing Using Knowledge Transfer,University of Technology Sydney,Commonwealth Scientific and Industrial Research Organisation,University of Technology Sydney,,,,,,,,,,,3.0,0.0
278,Flexible and Scalable Partially Observable Planning with Linear Translations,Simón Bolívar University,Institució Catalana de Recerca i Estudis Avançats,,,,,,,,,,,,2.0,0.0
279,Cost-Based Query Optimization via AI Planning,Australian National University,University of Toronto,University of Waterloo,University of Toronto,,,,,,,,,,4.0,0.0
280,Tightening Bounds for Bayesian Network Structure Learning,"Queens College, CUNY","Queens College, CUNY",University of Helsinki,,,,,,,,,,,3.0,0.0
281,Content-Structural Relation Inference in Knowledge Base,Institute of Computing Technology,Zhengzhou University,Institute of Computing Technology,Institute of Computing Technology,Institute of Computing Technology,,,,,,,,,5.0,0.0
282,Data Clustering by Laplacian Regularized 1 -Graph,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,Adobe Systems (United States),University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,5.0,1.0
283,Grandpa Hates Robots -Interaction Constraints for Planning in Inhabited Environments,Örebro University,Örebro University,Örebro University,,,,,,,,,,,3.0,0.0
284,Coactive Learning for Locally Optimal Problem Solving,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,,3.0,0.0
285,User Intent Identification from Online Discussions Using a Joint Aspect-Action Topic Model,National University of Singapore,National University of Singapore,,,,,,,,,,,,2.0,0.0
286,Cross-View Feature Learning for Scalable Social Image Analysis,Peking University,Peking University,Peking University,,,,,,,,,,,3.0,0.0
287,Data Quality in Ontology-Based Data Access: The Case of Consistency,Sapienza University of Rome,Sapienza University of Rome,,,,,,,,,,,,2.0,0.0
288,Direct Semantic Analysis for Social Image Classification,Renmin University of China,Ministry of Education of the People's Republic of China,Peking University,Renmin University of China,,,,,,,,,,4.0,0.0
289,Managing Change in Graph-Structured Data Using Description Logics,"Institute of Information Systems Vienna Univ. of Technology, Austri",Free University of Bozen-Bolzano,"Institute of Information Systems Vienna Univ. of Technology, Austri","Institute of Information Systems Vienna Univ. of Technology, Austri",,,,,,,,,,3.0,0.0
290,Social Capital in Network Organizations,Southern Illinois University Carbondale,Southern Illinois University Carbondale,,,,,,,,,,,,2.0,0.0
291,Querying Inconsistent Description Logic Knowledge Bases under Preferred Repair Semantics,French National Centre for Scientific Research,University of Rennes," Lannion, Franc",,,,,,,,,,,3.0,0.0
292,Evaluation and Deployment of a People-to-People Recommender in Online Dating,UNSW Sydney,University of Tasmania,Institute of Computer Science,,,,,,,,,,,3.0,0.0
293,Combining Heterogenous Social and Geographical Information for Event Recommendation,Institute of Computing Technology,University of Chinese Academy of Sciences,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,Institute of Computing Technology,,,,,,,7.0,0.0
294,Robot Team Exploration with Communication Restrictions,University of Minnesota,,,,,,,,,,,,,1.0,0.0
295,"Non-Convex Feature Learning via p,∞ Operator",The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,2.0,0.0
296,Feature Selection at the Discrete Limit,The University of Texas at Arlington,The University of Texas at Arlington,Shanghai Jiao Tong University,The University of Texas at Arlington,,,,,,,,,,4.0,0.0
297,Proceedings of the Nineteenth AAAI/SIGAI Doctoral Consortium,,,,,,,,,,,,,,0.0,0.0
298,Towards Scalable Exploration of Diagnoses in an Ontology Stream,Trinity College Dublin,,,,,,,,,,,,,1.0,0.0
299,A Speech-Driven Second Screen Application for TV Program Discovery,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,10.0,0.0
300,A Strategy-Aware Technique for Learning Behaviors from Discrete Human Feedback,North Carolina State University,University of Jamestown,Washington State University,Washington State University,Brown University,Brown University,North Carolina State University,,,,,,,6.0,0.0
301,A Constructive Argumentation Framework,University of Montpellier,"CRIL -UMR 8188, University of Artois F-62307 Lens Cedex, Franc",,,,,,,,,,,,2.0,0.0
302,The Quest Draft: an Automated Course Allocation Algorithm,Quest University Canada,Quest University Canada,,,,,,,,,,,,2.0,0.0
303,Source Free Transfer Learning for Text Classification,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Institute for Infocomm Research," Baidu Inc., Chin",Chinese University of Hong Kong,Hong Kong University of Science and Technology,,,,,,,,5.0,0.0
304,A Convex Formulation for Semi-Supervised Multi-Label Feature Selection,University of Queensland,The University of Texas at Arlington,The University of Texas at Arlington,University of Queensland,The University of Texas at Arlington,,,,,,,,,5.0,0.0
305,Fast Consistency Checking of Very Large Real-World RCC-8 Constraint Networks Using Graph Partitioning,National and Kapodistrian University of Athens,National and Kapodistrian University of Athens,,,,,,,,,,,,2.0,0.0
306,Q-Intersection Algorithms for Constraint-Based Robust Parameter Estimation,"LAAS-CNRS Université Toulouse, Franc","LIRMM Université Montpellier, Franc","LIRMM SupAgro Montpellier, Franc","LINA EMN Nantes, Franc",,,,,,,,,,4.0,0.0
307,Similarity-Preserving Binary Signature for Linear Subspaces, State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology (TNList),Tsinghua University, State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology (TNList),Tsinghua University,National University of Singapore,The University of Texas at San Antonio, State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology (TNList),Tsinghua University,,,5.0,0.0
308,Crowdsourced Explanations for Humorous Internet Memes,National Taiwan University,National Taiwan University,,,,,,,,,,,,2.0,0.0
309,Online Multi-Task Learning via Sparse Dictionary Optimization,Franklin W. Olin College of Engineering,University of Pennsylvania,,,,,,,,,,,,2.0,0.0
310,Swissnoise: Online Polls with Game-Theoretic Incentives,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,2.0,0.0
311,Event Recommendation in Event-Based Social Networks,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,Victoria University,Institute of Computing Technology,,,,,,,,6.0,0.0
312,STREETS: Game-Theoretic Traffic Patrolling with Exploration and Exploitation,University of Southern California,Singapore Management University,Singapore Management University,University of Southern California,,,,,,,,,,4.0,0.0
313,Solving Semantic Problems Using Contexts Extracted from Knowledge Graphs,,,,,,,,,,,,,,0.0,0.0
314,Sample-Adaptive Multiple Kernel Learning,National University of Defense Technology,University of Wollongong,University of Technology Sydney,National University of Defense Technology,,,,,,,,,,4.0,0.0
315,The Effect of Similarity Between Human and Machine Action Choices on Adaptive Automation Performance,Wright-Patterson Air Force Base,,,,,,,,,,,,,1.0,0.0
316,Large-Scale Optimistic Adaptive Submodularity,Team Industrial Services (United States),Palo Alto Center for Pulmonary Disease Prevention,University of Liverpool,Palo Alto Center for Pulmonary Disease Prevention,Computer Science Department,,,,,,,,,1.0,1.0
317,A Support-Based Algorithm for the Bi-Objective Pareto Constraint,Université Catholique de Louvain,Université Catholique de Louvain,,,,,,,,,,,,2.0,0.0
318,Robust Distance Metric Learning in the Presence of Label Noise,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,,,,,,,,,,,,2.0,0.0
319,Genotypic versus Behavioural Diversity for Teams of Programs Under the 4-v-3 Keepaway Soccer Task,Dalhousie University,Dalhousie University,,,,,,,,,,,,2.0,0.0
320,Double Configuration Checking in Stochastic Local Search for Satisfiability,Peking University,Chinese Academy of Sciences,National Institute of Information and Communications Technology,Peking University,Peking University,Griffith University,,,,,,,,6.0,0.0
321,The Semantic Interpretation of Trust in Multiagent Interactions,North Carolina State University,,,,,,,,,,,,,1.0,0.0
322,Probabilistic Planning with Reduced Models,University of Massachusetts Amherst,,,,,,,,,,,,,1.0,0.0
323,Cross-Lingual Knowledge Validation Based Taxonomy Derivation from Heterogeneous Online Wikis,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University," Sogou Incorporation, Beijing, Chin"," Sogou Incorporation, Beijing, Chin",,,,,,,5.0,2.0
324,The Complexity of Reasoning with FODD and GFODD,Tufts University,Tufts University,,,,,,,,,,,,2.0,0.0
325,Anytime Active Learning,Illinois Institute of Technology,Illinois Institute of Technology,Illinois Institute of Technology,,,,,,,,,,,3.0,0.0
326,Solving the Traveling Tournament Problem by Packing Three-Vertex Paths,University of Kaiserslautern,Quest University Canada,National Institute of Informatics,University of Göttingen,,,,,,,,,,4.0,0.0
327,Robust Non-Negative Dictionary Learning,Beihang University,The University of Texas at Arlington,The University of Texas at Arlington,Anhui University,,,,,,,,,,4.0,0.0
328,Distribution-Aware Sampling and Weighted Model Counting for SAT * †,Indian Institute of Technology Bombay,"University of California, Berkeley",Rice University,"University of California, Berkeley",Rice University,,,,,,,,,5.0,0.0
329,Adaptive Knowledge Transfer for Multiple Instance Learning in Image Classification,Purdue University West Lafayette,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,3.0,0.0
330,Influence Maximization with Novelty Decay in Social Networks,Nanyang Technological University,Xidian University,Xidian University,Nanyang Technological University,Teesside University,Nanyang Technological University,Xidian University,Xidian University,,,,,,8.0,0.0
331,A Parameterized Complexity Analysis of Generalized CP-Nets,University of Vienna,University of Vienna,University of Vienna,University of Vienna,,,,,,,,,,4.0,0.0
332,Proximal Iteratively Reweighted Algorithm with Multiple Splitting for Nonconvex Sparsity Optimization,National University of Singapore,Beijing Jiaotong University,Peking University,National University of Singapore,,,,,,,,,,4.0,0.0
333,Sequential Click Prediction for Sponsored Search with Recurrent Neural Networks,Institute of Computing Technology,Fudan University,Nankai University,Tsinghua University,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Institute of Computing Technology,Microsoft Research (United Kingdom),Microsoft Research Asia (China),,,,,5.0,4.0
334,Instance-Based Domain Adaptation in NLP via In-Target-Domain Logistic Approximation,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,,,,,,,,,,4.0,0.0
335,Automatic Game Design via Mechanic Generation,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,2.0,0.0
336,Using The Matrix Ridge Approximation to Speedup Determinantal Point Processes Sampling Algorithms,Zhejiang University,Shanghai Jiao Tong University,,,,,,,,,,,,2.0,0.0
337,Exponential Deepening A* for Real-Time Agent-Centered Search,ISE Department Ben-Gurion University Israe,ISE Department Ben-Gurion University Israe,University of Denver,,,,,,,,,,,1.0,0.0
338,Globally and Locally Consistent Unsupervised Projection,Colorado School of Mines,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,3.0,0.0
339,Ordering Effects and Belief Adjustment in the Use of Comparison Shopping Agents,Bar-Ilan University,Ariel University,Bar-Ilan University,,,,,,,,,,,3.0,0.0
340,A Joint Optimization Model for Image Summarization Based on Image Content and Tags,Peking University,Peking University,Peking University,Johns Hopkins University,,,,,,,,,,4.0,0.0
341,Cached Iterative Weakening for Optimal Multi-Way Number Partitioning,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,2.0,0.0
342,Role-Aware Conformity Influence Modeling and Analysis in Social Networks,Tsinghua University,Tsinghua University,University of Illinois Urbana-Champaign,Tsinghua University,,,,,,,,,,4.0,0.0
343,Who Also Likes It? Generating the Most Persuasive Social Explanations in Recommender Systems,Zhejiang University,Simon Fraser University,Zhejiang University,Simon Fraser University,Zhejiang University,,,,,,,,,5.0,0.0
344,CiteSeerX: AI in a Digital Library Search Engine,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,University of North Texas,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,,,,,9.0,0.0
345,Abduction Framework for Repairing Incomplete EL Ontologies: Complexity Results and Algorithms,Swedish e-Science Research Centre,Swedish e-Science Research Centre,Swedish e-Science Research Centre,,,,,,,,,,,3.0,0.0
346,Ranking Tweets by Labeled and Collaboratively Selected Pairs with Transitive Closure,Institute of Computing Technology,Institute of Computing Technology,Google (United States),,,,,,,,,,,2.0,1.0
347,Online Social Spammer Detection,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,,3.0,0.0
348,Semantic Data Representation for Improving Tensor Factorization," NTT Software Innovation Center, NTT Corporation, 3-9-11 Midori-Cho, Musashino-Shi, Tokyo 180-8585 Japan 5",National Defense Academy of Japan,Rensselaer Polytechnic Institute,,,,,,,,,,,2.0,0.0
349,Symbolic Model Checking Epistemic Strategy Logic,UNSW Sydney,UNSW Sydney,,,,,,,,,,,,2.0,0.0
350,Delivering Guaranteed Display Ads under Reach and Frequency Requirements,"University of California, Irvine",Yahoo (United States),,,,,,,,,,,,1.0,1.0
351,Learning Instance Concepts from Multiple-Instance Data with Bags as Distributions,Case Western Reserve University,Case Western Reserve University,,,,,,,,,,,,2.0,0.0
352,Active Learning with Model Selection,Carnegie Mellon University,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,1.0,2.0
353,Sketch Recognition with Natural Correction and Editing,Shanghai Jiao Tong University," Microsoft Research, Beijing, P. R. Chin",Shanghai Jiao Tong University," Microsoft Research, Beijing, P. R. Chin",Microsoft Research Asia (China),,,,,,,,,2.0,1.0
354,ARIA: Asymmetry Resistant Instance Alignment,Pohang University of Science and Technology,Pohang University of Science and Technology,,,,,,,,,,,,2.0,0.0
