Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,num_academia,num_company
68,Automatically Creating Multilingual Lexical Resources,University of Colorado Colorado Springs,University of Colorado Colorado Springs,,,,,,,,,,,,2.0,0.0
69,Supervised Transfer Sparse Coding,King Abdullah University of Science and Technology,"University at Buffalo, State University of New York",King Abdullah University of Science and Technology,Texas A&M University,King Abdullah University of Science and Technology,,,,,,,,,5.0,0.0
70,MaxSAT by Improved Instance-Specific Algorithm Configuration,University of Lleida,University College Cork,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,3.0,0.0
71,On Boosting Sparse Parities,University of Illinois at Chicago,,,,,,,,,,,,,1.0,0.0
72,Communication-Restricted Exploration for Small Teams,University of Minnesota,Tohoku Gakuin University,,,,,,,,,,,,2.0,0.0
73,A Data Complexity Approach to Kernel Selection for Support Vector Machines,University of Houston,University of Houston,,,,,,,,,,,,2.0,0.0
74,A Knowledge Compilation Map for Ordered Real-Valued Decision Diagrams,Université Toulouse III - Paul Sabatier,Artois University,Costruzioni Apparecchiature Elettroniche Nucleari (Italy),Université Toulouse III - Paul Sabatier,Artois University,,,,,,,,,4.0,0.0
75,User Group Oriented Temporal Dynamics Exploration,Peking University,"University of California, Santa Barbara",Peking University,,,,,,,,,,,3.0,0.0
76,Learning Latent Engagement Patterns of Students in Online Courses,"University of Maryland, College Park","University of Maryland, College Park","University of Maryland, College Park","University of Maryland, College Park","University of California, Santa Cruz",,,,,,,,,5.0,0.0
77,Convex Co-Embedding,Alberta Hospital Edmonton,Temple University,Alberta Hospital Edmonton,,,,,,,,,,,3.0,0.0
78,Simpler Bounded Suboptimal Search,University of New Hampshire,University of New Hampshire,,,,,,,,,,,,2.0,0.0
79,Computing General First-Order Parallel and Prioritized Circumscription,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Western Sydney University,Western Sydney University,,,,,,,,,5.0,0.0
80,Sparse Learning for Stochastic Composite Optimization,Zhejiang University,Michigan State University,Zhejiang University,Michigan State University,Zhejiang University,Zhejiang University,,,,,,,,6.0,0.0
81,Generalized Higher-Order Tensor Decomposition via Parallel ADMM," Department of Computer Science and Engineering, The Chinese University o",Chinese University of Hong Kong," Department of Computer Science and Engineering, The Chinese University o",,,,,,,,,,,1.0,0.0
82,Optimal Neighborhood Preserving Visualization by Maximum Satisfiability *,Aalto University,University of Helsinki,University of Helsinki,University of Helsinki,University of Tampere,Aalto University,Aalto University,University of Helsinki,,,,,,7.0,0.0
83,Low-Rank Tensor Learning with Discriminant Analysis for Action Classification and Image Recovery *,Electrical and Computer Engineering Department Heads Association,Ocean University of China,Electrical and Computer Engineering Department Heads Association,Northeastern University,,,,,,,,,,4.0,0.0
84,Fraudulent Support Telephone Number Identification Based on Co-occurrence Information on the Web,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,4.0,0.0
85,Maximum Satisfiability Using Core-Guided MAXSAT Resolution,University of Toronto,University of Toronto,,,,,,,,,,,,2.0,0.0
86,Avoiding Plagiarism in Markov Sequence Generation,Sony Computer Science Laboratories,Sorbonne University,Sony Computer Science Laboratories,Sorbonne University,,,,,,,,,,4.0,0.0
87,"Leveraging Fee-Based, Imperfect Advisors in Human-Agent Games of Trust","University of Maryland, College Park",Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,3.0,0.0
88,Mixing-Time Regularized Policy Gradient,IBM Research - Tokyo,IBM Research - Tokyo,Kyushu University,,,,,,,,,,,3.0,0.0
