Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,num_academia,num_company
0,Learning the Dynamics of Visual Relational Reasoning via Reinforced Path Routing,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,University of Adelaide,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
1,Confidence Calibration for Intent Detection via Hyperspherical Space and Rebalanced Accuracy-Uncertainty Loss,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
2,FInfer: Frame Inference-Based Deepfake Detection for High-Visual-Quality Videos,Hunan University,Hunan University,Hunan University,University of Science and Technology of China,Hunan University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
3,Incorporating Constituent Syntax for Coreference Resolution,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
4,Compilation of Aggregates in ASP Systems,University of Calabria,University of Calabria,University of Calabria,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
5,A Fast Local Search Algorithm for the Latin Square Completion Problem,Northeast Normal University,Northeast Normal University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
6,I Can Find You! Boundary-Guided Separated Attention Network for Camouflaged Object Detection,Nanjing University of Aeronautics and Astronautics,Nanjing Medical University,Nanjing University of Aeronautics and Astronautics,Nanjing Medical University,Lingnan University,Nanjing University of Aeronautics and Astronautics,Nanjing Medical University,Nanjing University of Aeronautics and Astronautics,Nanjing Medical University,Huawei Technologies (China),Nanjing University of Aeronautics and Astronautics,Nanjing Medical University,Hong Kong Polytechnic University,,,,,,,,,,,,,,12.0,1.0
7,Reference-Guided Pseudo-Label Generation for Medical Semantic Segmentation,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,University of Duisburg-Essen,Karlsruhe Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
8,Online Elicitation of Necessarily Optimal Matchings,Technical University of Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
9,Boost Supervised Pretraining for Visual Transfer Learning: Implications of Self-Supervised Contrastive Representation Learning,Xiamen University,Tencent Healthcare (China),Tencent Healthcare (China),Tencent Healthcare (China),Xiamen University,Tencent Healthcare (China),,,,,,,,,,,,,,,,,,,,,2.0,0.0
10,Learning Auxiliary Monocular Contexts Helps Monocular 3D Object Detection,North Carolina State University,Wuhan University,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
11,Knowledge Distillation via Constrained Variational Inference,Massachusetts Institute of Technology,University of Pittsburgh,University of Pittsburgh,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
12,Molecular Contrastive Learning with Chemical Element Knowledge Graph,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,10.0,0.0
13,Conditional Loss and Deep Euler Scheme for Time Series Generation,Université Gustave Eiffel,Électricité de France (France), FiME (Laboratoire de Finance des Marchés de l'Energi,Électricité de France (France), FiME (Laboratoire de Finance des Marchés de l'Energi,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,2.0,2.0
14,Uncertainty-Driven Dehazing Network,Xiamen University, Huawei Noah's Ark La,Xiamen University,Xiamen University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
15,Online Task Assignment Problems with Reusable Resources,Tokyo Institute of Technology,New England College,New England College,RIKEN,Chuo University,Keio University,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,7.0,0.0
16,GNN-Retro: Retrosynthetic Planning with Graph Neural Networks,University of Electronic Science and Technology of China,King Abdullah University of Science and Technology,Aalborg University, Tencent AI La, Tencent AI La, Tencent AI La, Tencent AI La,University of Electronic Science and Technology of China,Shanghai Jiao Tong University,King Abdullah University of Science and Technology,University of Notre Dame,,,,,,,,,,,,,,,,7.0,0.0
17,ACDNet: Adaptively Combined Dilated Convolution for Monocular Panorama Depth Estimation,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chongqing University,Bangladesh University of Engineering and Technology,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,6.0,0.0
18,Decision-Dependent Risk Minimization in Geometrically Decaying Dynamic Environments,University of Washington,University of Washington,University of Washington,University of Washington,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
19,Seizing Critical Learning Periods in Federated Learning,Binghamton University,Louisiana State University,Binghamton University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
20,Efficiency of Ad Auctions with Price Displaying,Politecnico di Milano,University of Salerno,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
21,Forecasting Asset Dependencies to Reduce Portfolio Risk,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong Baptist University,London School of Economics and Political Science,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
22,Differentially Private Regret Minimization in Episodic Markov Decision Processes,Indian Institute of Science Bangalore,Wayne State University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
23,Recovering the Propensity Score from Biased Positive Unlabeled Data,Worcester Polytechnic Institute,Massachusetts Institute of Technology,Worcester Polytechnic Institute,Worcester Polytechnic Institute,Worcester Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
24,Deep Incomplete Multi-View Clustering via Mining Cluster Complementarity,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,Southern University of Science and Technology,,,,,,,,,,,,,,,,,,,8.0,0.0
25,Debiasing NLU Models via Causal Intervention and Counterfactual Reasoning,Delta College of Science and Technology,Tsinghua University,Singapore Management University,Delta College of Science and Technology,Tsinghua University,Delta College of Science and Technology,Tsinghua University,,,,,,,,,,,,,,,,,,,,4.0,0.0
26,DeformRS: Certifying Input Deformations with Randomized Smoothing,King Abdullah University of Science and Technology, Denotes equal contribution,University of Oxford, Denotes equal contribution,University of Oxford,University of Oxford,King Abdullah University of Science and Technology,,,,,,,,,,,,,,,,,,,,5.0,0.0
27,Text-Based Interactive Recommendation via Offline Reinforcement Learning,Duke University, Samsung Research Americ, Samsung Research Americ, Samsung Research Americ,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
28,Concentration Network for Reinforcement Learning of Large-Scale Multi-Agent Systems,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,9.0,0.0
29,Reinforcement Learning Augmented Asymptotically Optimal Index Policy for Finite-Horizon Restless Bandits,Binghamton University,Binghamton University,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
30,FisheyeHDK: Hyperbolic Deformable Kernel Learning for Ultra-Wide Field-of-View Image Recognition," Thales, Thales Digital Solutions, Canad"," Thales, Thales Digital Solutions, Canad",French Institute for Research in Computer Science and Automation,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
31,Characterizing the Program Expressive Power of Existential Rule Languages,Tianjin University,Nankai University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
32,Active Learning for Domain Adaptation: An Energy-Based Approach,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Tsinghua University," Inceptio Technology, Shanghai, Chin",Beijing Institute of Technology,,,,,,,,,,,,,,,,,,,,5.0,1.0
33,Diaformer: Automatic Diagnosis via Symptoms Sequence Generation,Harbin Institute of Technology,Harbin Institute of Technology,Peng Cheng Laboratory,Harbin Institute of Technology,Harbin Institute of Technology,Peng Cheng Laboratory,Shenzhen University,,,,,,,,,,,,,,,,,,,,7.0,0.0
34,Beyond GNNs: An Efficient Architecture for Graph Problems, Google Researc, Google Researc, Google Researc,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
35,Towards Light-Weight and Real-Time Line Segment Detection,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
36,Understanding Enthymemes in Deductive Argumentation Using Semantic Distance Measures,University College London,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
37,Constraint-Driven Explanations for Black Box ML Models,Rice University," VMware Research Inc., Palo Alto, US",Monash University,National University of Singapore,Toulouse Institute of Computer Science Research,Rice University,,,,,,,,,,,,,,,,,,,,,5.0,0.0
38,Discovering State and Action Abstractions for Generalized Task and Motion Planning,MIT Computer Science and Artificial Intelligence Laborator,MIT Computer Science and Artificial Intelligence Laborator,MIT Computer Science and Artificial Intelligence Laborator,MIT Computer Science and Artificial Intelligence Laborator,MIT Computer Science and Artificial Intelligence Laborator,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
39,Adaptive Logit Adjustment Loss for Long-Tailed Visual Recognition,Tsinghua University,Microsoft Research Asia (China),Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
40,NukCP: An Improved Local Search Algorithm for Maximum k-Club Problem,Northeast Normal University,Northeast Normal University,Northeast Normal University,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Northeast Normal University,Northeast Normal University,Northeast Normal University,Northeast Normal University,Northeast Normal University,,,,,,,,,,,,,,,,,10.0,0.0
41,Convolutional Neural Network Compression through Generalized Kronecker Product Decomposition,Huawei Technologies (Canada),University of Waterloo,Huawei Technologies (Canada),Huawei Technologies (Canada),Huawei Technologies (Canada),,,,,,,,,,,,,,,,,,,,,,1.0,4.0
42,OA-FSUI2IT: A Novel Few-Shot Cross Domain Object Detection Framework with Object-Aware Few-Shot Unsupervised Image-to-Image Translation,"AI Institute, Shanghai Em-Data Technology Co., Ltd., Chin","AI Institute, Shanghai Em-Data Technology Co., Ltd., Chin","AI Institute, Shanghai Em-Data Technology Co., Ltd., Chin",,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
43,On Optimizing Interventions in Shared Autonomy,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),University of Massachusetts Amherst, MassMutual Data Scienc,,,,,,,,,,,,,,,,,4.0,5.0
44,Unpaired Multi-Domain Stain Transfer for Kidney Histopathological Images,University of Washington,University of Washington,Harbin Institute of Technology,University of Washington,University of Washington,Peking University,Tsinghua University,University of Washington,Harbin Institute of Technology,Shenzhen University,,,,,,,,,,,,,,,,,10.0,0.0
45,Conditional Abstract Dialectical Frameworks,TU Dortmund University,University of Cape Town,University of Hagen,TU Dortmund University,Maastricht University,University of Hagen,,,,,,,,,,,,,,,,,,,,,6.0,0.0
46,Learning Bounded Context-Free-Grammar via LSTM and the Transformer: Difference and Explanations,"University of California, Davis","University of California, Davis",Meta (United States),"University of California, Berkeley","University of California, Davis",,,,,,,,,,,,,,,,,,,,,,4.0,1.0
47,Maximizing Nash Social Welfare in 2-Value Instances,Max Planck Institute for Informatics,University of Illinois Urbana-Champaign,Goethe University Frankfurt,Max Planck Institute for Informatics,Goethe University Frankfurt,Max Planck Institute for Informatics,Goethe University Frankfurt,École Normale Supérieure - PSL,École Normale Supérieure - PSL,,,,,,,,,,,,,,,,,,9.0,0.0
48,"Structural Landmarking and Interaction Modelling: A ""SLIM"" Network for Graph Classification",East China Normal University,East China Normal University,East China Normal University,Stony Brook University,Fudan University,"Chinese University of Hong Kong, Shenzhen",,,,,,,,,,,,,,,,,,,,,6.0,0.0
49,Scaling Up Influence Functions, Google AI Resident, Google AI Resident, Google AI Resident, Google AI Resident,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
50,Semi-supervised Conditional Density Estimation with Wasserstein Laplacian Regularisation,University of Auckland,University of Auckland,University of Auckland,He University,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
51,BM-NAS: Bilevel Multimodal Neural Architecture Search,Nanyang Technological University,Harvard University,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
52,DIALOGLM: Pre-trained Model for Long Dialogue Understanding and Summarization,University of Illinois Urbana-Champaign, Microsoft Cognitive Services Research Grou, Microsoft Cognitive Services Research Grou, Microsoft Cognitive Services Research Grou, Microsoft Cognitive Services Research Grou,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
53,PureGaze: Purifying Gaze Feature for Generalizable Gaze Estimation,Beihang University,Beihang University,Beihang University,Peng Cheng Laboratory,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
54,Perceptual Quality Assessment of Omnidirectional Images,Jiangxi University of Finance and Economics,Jiangxi University of Finance and Economics,Jiangxi University of Finance and Economics,Jiangxi University of Finance and Economics,Sany (China),,,,,,,,,,,,,,,,,,,,,,4.0,1.0
55,BiRdQA: A Bilingual Dataset for Question Answering on Tricky Riddles,King University,King University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
56,Distributed Randomized Sketching Kernel Learning,Institute of Information Engineering,University of Chinese Academy of Sciences,Renmin University of China,University of Science and Technology Beijing,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,6.0,0.0
57,Multiscale Generative Models: Improving Performance of a Generative Model Using Feedback from Other Dependent Generative Models,Singapore Management University,Indian Institute of Technology Kanpur,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
58,Balanced Self-Paced Learning for AUC Maximization,Mohamed bin Zayed University of Artificial Intelligence,Nanjing University of Information Science and Technology,Nanjing University of Information Science and Technology,Mohamed bin Zayed University of Artificial Intelligence,Harbin Institute of Technology,University of Pittsburgh,,,,,,,,,,,,,,,,,,,,,6.0,0.0
59,Programmatic Reward Design by Example,Boston University,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
60,An Algorithmic Introduction to Savings Circles,"University of California, Berkeley",Oberlin College,"University of California, Berkeley",Oberlin College,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
61,Efficient Compact Bilinear Pooling via Kronecker Product,Bellevue Hospital Center,Bellevue Hospital Center,Bellevue Hospital Center,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
62,Truthful Cake Sharing,Nanyang Technological University,UNSW Sydney,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
63,Content-Variant Reference Image Quality Assessment via Knowledge Distillation,Zhejiang University," Bytedance Inc, China"," Bytedance Inc, China",Huazhong University of Science and Technology,National University of Singapore,Zhejiang University," Bytedance Inc, China",,,,,,,,,,,,,,,,,,,,4.0,0.0
64,Blockwise Sequential Model Learning for Partially Observable Reinforcement Learning,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
65,Energy-Based Generative Cooperative Saliency Prediction,Australian National University," Cognitive Computing Lab, Baidu Researc","University of California, Los Angeles",Australian National University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
66,MIA-Former: Efficient and Robust Vision Transformers via Multi-Grained Input Adaptation,Rice University,Rice University, Alibaba DAMO Academ,Rice University,Rice University,,,,,,,,,,,,,,,,,,,,,,4.0,1.0
67,Self-Supervised Pre-training for Protein Embeddings Using Tertiary Structures,The University of Texas at Arlington," Tencent AI Lab, Shenzhen, 518057, Chin",The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
68,Generative Adaptive Convolutions for Real-World Noisy Image Denoising,University of Macau,Guangdong Polytechnic Normal University,University of Macau,University of Macau,Guangdong Polytechnic Normal University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
69,Active Sampling for Text Classification with Subinstance Level Queries,Florida State University,Florida State University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
70,Denoised Maximum Classifier Discrepancy for Source-Free Unsupervised Domain Adaptation,Southern University of Science and Technology,Southern University of Science and Technology,Southern University of Science and Technology,Southern University of Science and Technology,Southern University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
71,Mitigating Reporting Bias for Semi-supervised Temporal Commonsense Inference with Probabilistic Soft Logic,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
72,"A Generalized Bootstrap Target for Value-Learning, Efficiently Combining Value and Feature Predictions",University of Milan,McGill University,University of Milan,McGill University,University of Milan,McGill University, Canada AI Chair program," CIFAR, Learning in Machines & Brain",University of Milan,McGill University, Canada AI Chair program," CIFAR, Learning in Machines & Brain",Industrial Union of Metalworkers,,,,,,,,,,,,,,3.0,1.0
73,Natural Black-Box Adversarial Examples against Deep Reinforcement Learning,East China Normal University,East China Normal University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
74,Neuro-Symbolic Inductive Logic Programming with Logical Neural Networks,IBM Research - China,IBM Research - China,IBM Research - China,IBM Research - China,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
75,Universal and Tight Online Algorithms for Generalized-Mean Welfare,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,Indian Institute of Technology Kharagpur,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
76,Information-Theoretic Bias Reduction via Causal View of Spurious Correlation,École Centrale d'Électronique, Adobe Researc,École Centrale d'Électronique,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
77,Highlighting Object Category Immunity for the Generalization of Human-Object Interaction Detection,Shanghai Jiao Tong University,Search Institute,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
78,SSAST: Self-Supervised Audio Spectrogram Transformer,"MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA 0213","MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA 0213","MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA 0213","MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA 0213","MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA 0213",,,,,,,,,,,,,,,,,,,,,,4.0,0.0
79,Sparsification of Decomposable Submodular Functions,Simon Fraser University,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
80,Towards Discriminant Analysis Classifiers Using Online Active Learning via Myoelectric Interfaces,RMIT University,National Polytechnic School,RMIT University,RMIT University,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
81,Search Strategies for Topological Network Optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
82,AutoBERT-Zero: Evolving BERT Backbone from Scratch,University of Hong Kong,Hong Kong University of Science and Technology,University of Hong Kong,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
83,Feature Generation and Hypothesis Verification for Reliable Face Anti-spoofing," Youtu Lab, Tencent, Shanghai, Chin"," Youtu Lab, Tencent, Shanghai, Chin",East China Normal University," Youtu Lab, Tencent, Shanghai, Chin",Shanghai Jiao Tong University," Youtu Lab, Tencent, Shanghai, Chin"," Youtu Lab, Tencent, Shanghai, Chin",East China Normal University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,4.0,0.0
84,Achieving Counterfactual Fairness for Causal Bandit,University of Arkansas at Fayetteville,University of Arkansas at Fayetteville,University of Arkansas at Fayetteville,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
85,"Decompose the Sounds and Pixels, Recompose the Events", Huawei Noah's Ark La, Huawei Noah's Ark La,University of Waterloo, Huawei Noah's Ark La, Huawei Noah's Ark La,University of Toronto, Huawei Noah's Ark La,,,,,,,,,,,,,,,,,,,,2.0,0.0
86,Proportional Public Decisions,University of Warsaw,University of Warsaw,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
87,Task-Level Self-Supervision for Cross-Domain Few-Shot Learning,East China Normal University,East China Normal University,East China Normal University,East China Normal University,East China Normal University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,,6.0,0.0
88,VALUENET: A New Dataset for Human Value Driven Dialogue System," UCLA Center for Vision, Cognition, Learning, and Autonom"," UCLA Center for Vision, Cognition, Learning, and Autonom"," Microsoft Research, Redmon"," UCLA Center for Vision, Cognition, Learning, and Autonom"," Microsoft Research, Redmon"," Microsoft Research, Redmon"," UCLA Center for Vision, Cognition, Learning, and Autonom",,,,,,,,,,,,,,,,,,,,4.0,3.0
89,DuMLP-Pin: A Dual-MLP-Dot-Product Permutation-Invariant Network for Set Feature Extraction,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),,,,,,,,,,,,,,,,,,,,4.0,3.0
90,Semantic Feature Extraction for Generalized Zero-Shot Learning,Seoul National University,Seoul National University,Seoul National University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
91,Extended Goal Recognition Design with First-Order Computation Tree Logic,Ulsan National Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
92,DKPLM: Decomposable Knowledge-Enhanced Pre-trained Language Model for Natural Language Understanding,East China Normal University,Shanghai Key Laboratory of Trustworthy Computing,Alibaba Group (China),East China Normal University,Alibaba Group (China),Alibaba Group (China),East China Normal University,East China Normal University,Alibaba Group (China),,,,,,,,,,,,,,,,,,5.0,4.0
93,Robustification of Online Graph Exploration Methods,London School of Economics and Political Science,University of Bremen,University of Bremen,University of Bremen,University of Bremen,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
94,Learning to Learn Transferable Attack,Xiamen University Malaysia,Xiamen University Malaysia,Xiamen University Malaysia,Xiamen University Malaysia,Peng Cheng Laboratory,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
95,Boosting the Transferability of Video Adversarial Examples via Temporal Translation,Fudan University, Shanghai Collaborative Innovation Center on Intelligent Visual Computin,Fudan University, Shanghai Collaborative Innovation Center on Intelligent Visual Computin,Fudan University, Shanghai Collaborative Innovation Center on Intelligent Visual Computin,Fudan University, Shanghai Collaborative Innovation Center on Intelligent Visual Computin,,,,,,,,,,,,,,,,,,,4.0,0.0
96,Synthesis from Satisficing and Temporal Goals,University of Pennsylvania,Rice University,Rice University,Rice University,Tesla (United States),,,,,,,,,,,,,,,,,,,,,,4.0,0.0
97,DiPS: Differentiable Policy for Sketching in Recommender Systems,University of Massachusetts Amherst, Adobe Researc,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
98,Amplitude Spectrum Transformation for Open Compound Domain Adaptive Semantic Segmentation,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,Indian Institute of Science Bangalore, Google Researc,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,,,,,4.0,1.0
99,Learning Mixture of Domain-Specific Experts via Disentangled Factors for Autonomous Driving,Pohang University of Science and Technology,Pohang University of Science and Technology,Pohang University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
100,Homography Decomposition Networks for Planar Object Tracking,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,East China Normal University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
101,The Price of Selfishness: Conjunctive Query Entailment for ALC Self is 2EXPTIME-Hard,TU Dresden,University of Wrocław,TU Dresden,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
102,SCSNet: An Efficient Paradigm for Learning Simultaneously Image Colorization and Super-resolution,Zhejiang University,Zhejiang University," Youtu Lab, Tencen",Zhejiang University," Youtu Lab, Tencen"," Youtu Lab, Tencen",Zhejiang University,,,,,,,,,,,,,,,,,,,,4.0,0.0
103,Improved Gradient-Based Adversarial Attacks for Quantized Networks,Australian National University,Australian National University,Data61,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
104,No Task Left Behind: Multi-Task Learning of Knowledge Tracing and Option Tracing for Better Student Assessment,Medieval and Early Modern English Studies Association of Korea,Medieval and Early Modern English Studies Association of Korea,Medieval and Early Modern English Studies Association of Korea,Medieval and Early Modern English Studies Association of Korea,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
105,Enhancing Counterfactual Classification Performance via Self-Training,The University of Texas at Austin,University of Virginia,IBM Research - China,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
106,The FF Heuristic for Lifted Classical Planning,University of Basel,University of Basel,University of Basel,Pompeu Fabra University,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
107,Negative Sample Matters: A Renaissance of Metric Learning for Temporal Grounding,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
108,Construct Effective Geometry Aware Feature Pyramid Network for Multi-Scale Object Detection,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
109,InsCLR: Improving Instance Retrieval with Self-Supervision,University of Antwerp,Alibaba Group (China),,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
110,Regularization Penalty Optimization for Addressing Data Quality Variance in OoD Algorithms,Tsinghua–Berkeley Shenzhen Institute, Huawei Noah's Ark Lab 3 www.ruizhang.inf, Huawei Noah's Ark Lab 3 www.ruizhang.inf, Huawei Noah's Ark Lab 3 www.ruizhang.inf,Shanghai Jiao Tong University,Tsinghua–Berkeley Shenzhen Institute, Huawei Noah's Ark Lab 3 www.ruizhang.inf,,,,,,,,,,,,,,,,,,,,3.0,0.0
111,Suppressing Static Visual Cues via Normalizing Flows for Self-Supervised Video Representation Learning,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Ministry of Education,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
112,Efficient Dialog Policy Learning by Reasoning with Contextual Knowledge,Shenzhen University,Shenzhen University," Baidu, Inc",Shenzhen University,State University of New York,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
113,Pretrained Cost Model for Distributed Constraint Optimization Problems,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
114,NaturalInversion: Data-Free Image Synthesis Improving Real-World Consistency,Korea University,Korea Institute of Science and Technology,Korea University,Korea Institute of Science and Technology,Korea Institute of Science and Technology,Korea Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,,6.0,0.0
115,LeSICiN: A Heterogeneous Graph-Based Approach for Automatic Legal Statute Identification from Indian Legal Documents,Indian Institute of Technology Kharagpur,Indian Institute of Technology Kharagpur,Indian Institute of Technology Kharagpur,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
116,LAGConv: Local-Context Adaptive Convolution Kernels with Global Harmonic Bias for Pansharpening,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,Southwestern University of Finance and Economics,National Research Council,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
