Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,num_academia,num_company
212,Inference and Learning with Model Uncertainty in Probabilistic Logic Programs,KU Leuven,KU Leuven,KU Leuven,KU Leuven,KU Leuven,KU Leuven,KU Leuven,KU Leuven,Örebro University,,,,,,,,,,,,,,,,,,9.0,0.0
213,MuMu: Cooperative Multitask Learning-Based Guided Multimodal Fusion,University of Virginia,University of Virginia,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
214,"One More Check: Making ""Fake Background"" Be Tracked Again",University of Electronic Science and Technology of China,Institute of Automation,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China, Intelligent Terminal Key Laboratory of SiChuan Provinc,Institute of Automation,Institute of Automation,,,,,,,,,,,,,,,,,,,,5.0,0.0
215,TransFG: A Transformer Architecture for Fine-Grained Recognition,Johns Hopkins University,Johns Hopkins University, ByteDance Inc,Max Planck Institute for Informatics, ByteDance Inc,Johns Hopkins University, ByteDance Inc,,,,,,,,,,,,,,,,,,,,4.0,0.0
216,Learning to Walk with Dual Agents for Knowledge Graph Reasoning,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",Hong Kong University of Science and Technology,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,,,,,,5.0,0.0
217,Learning Expected Emphatic Traces for Deep RL,DeepMind (United Kingdom),University of Oxford,McGill University,DeepMind (United Kingdom)," Amii, Department of Computing, Science, University of Albert",DeepMind (United Kingdom),,,,,,,,,,,,,,,,,,,,,2.0,3.0
218,Axiomatization of Aggregates in Answer Set Programming,University of Nebraska at Omaha,University of Nebraska at Omaha,University of Nebraska at Omaha,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
219,Exploiting Mixed Unlabeled Data for Detecting Samples of Seen and Unseen Out-of-Distribution Classes,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
220,Improving Human-Object Interaction Detection via Phrase Learning and Label Composition,Huazhong University of Science and Technology, Megvii Technolog, Megvii Technolog, Megvii Technolog,Huazhong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,2.0,3.0
221,Regularizing Graph Neural Networks via Consistency-Diversity Graph Augmentations,Beijing University of Posts and Telecommunications,University of Antwerp,Beijing University of Posts and Telecommunications,University of Antwerp,Beijing University of Posts and Telecommunications,University of Antwerp,,,,,,,,,,,,,,,,,,,,,6.0,0.0
222,Invariant Information Bottleneck for Domain Generalization,Microsoft Research Asia (China),Hong Kong University of Science and Technology,Microsoft Research Asia (China),Washington University in St. Louis,"University of California, Berkeley",Microsoft Research Asia (China),"University of California, Berkeley",University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,5.0,3.0
223,Pan-Sharpening with Customized Transformer and Invertible Neural Network,University of Science and Technology of China,Hefei Institutes of Physical Science,University of Science and Technology of China,University of Toronto,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,6.0,0.0
224,Robust Optimal Classification Trees against Adversarial Examples,Delft University of Technology,Delft University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
225,Local Differential Privacy for Belief Functions,Renmin University of China,Renmin University of China,Renmin University of China,Mohamed bin Zayed University of Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
226,Weakly Supervised Neural Symbolic Learning for Cognitive Tasks,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,12.0,0.0
227,Zeroth-Order Optimization for Composite Problems with Functional Constraints,Rensselaer Polytechnic Institute,IBM Research - China,Michigan State University,IBM Research - China,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
228,Sharp Restricted Isometry Property Bounds for Low-Rank Matrix Recovery Problems with Corrupted Measurements, Department of Electrical Engineering and Computer Scienc, Department of Industrial Engineering and Operations Researc, Department of Industrial Engineering and Operations Researc,"University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
229,Instance-Sensitive Algorithms for Pure Exploration in Multinomial Logit Bandit,Indiana University Bloomington,Indiana University Bloomington,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
230,Context-Aware Transfer Attacks for Object Detection,"University of California, Riverside","University of California, Riverside","University of California, Riverside","University of California, Riverside","University of California, Riverside","University of California, Riverside","University of California, Riverside","University of California, Riverside",,,,,,,,,,,,,,,,,,,8.0,0.0
231,Classifying Emails into Human vs Machine Category,Chalmers University of Technology, Yahoo Researc, Yahoo Researc,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
232,Scaled ReLU Matters for Training Vision Transformers,Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),,,,,,,,,,,,,,,,,,,0.0,8.0
233,Hierarchical Image Generation via Transformer-Based Sequential Patch Selection,Chinese University of Hong Kong, Adobe Researc,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
234,Improving Biomedical Information Retrieval with Neural Retrievers,Arizona State University,Microsoft Research Asia (China),Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
235,A Lyapunov-Based Methodology for Constrained Optimization with Bandit Feedback,University of Illinois Urbana-Champaign,The Ohio State University,The Ohio State University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
236,DiffSinger: Singing Voice Synthesis via Shallow Diffusion Mechanism,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
237,Implicit Gradient Alignment in Distributed and Federated Learning,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
238,Dual Attention Networks for Few-Shot Fine-Grained Recognition,Nanjing University of Science and Technology,Xidian University," AInnovation Technology Group Co., Lt",Nanjing University of Science and Technology,Xidian University,Nanjing University of Science and Technology," AInnovation Technology Group Co., Lt",Portland Cement Association,,,,,,,,,,,,,,,,,,,6.0,0.0
239,Category-Specific Nuance Exploration Network for Fine-Grained Object Retrieval,Dalian University of Technology," Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, Chin",Dalian University of Technology," Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, Chin",Dalian University of Technology,University of Sydney,,,,,,,,,,,,,,,,,,,,,4.0,0.0
240,Divide-and-Regroup Clustering for Domain Adaptive Person Re-identification,Zhejiang University,Baidu (China),Baidu (China),University of Technology Sydney,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,3.0,2.0
241,Channelized Axial Attention -Considering Channel Relation within Spatial Attention for Semantic Segmentation,University of Technology Sydney, Tencent AI LA,University of Technology Sydney,University of Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
242,Transcoded Video Restoration by Temporal Spatial Auxiliary Network,Xidian University,Xidian University," Kuaishou Technology, Chin",Hosei University,Xidian University,Xidian University,Xidian University," Kuaishou Technology, Chin",,,,,,,,,,,,,,,,,,,6.0,1.0
243,FFNet: Frequency Fusion Network for Semantic Scene Completion,Tianjin University,Tianjin University,Tianjin University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
244,Improving Neural Cross-Lingual Abstractive Summarization via Employing Optimal Transport Distance for Knowledge Distillation," VinAI Research, Vietna",Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
245,ErfAct and Pserf: Non-monotonic Smooth Trainable Activation Functions *,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,University of Delhi,Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
246,Achieving Zero Constraint Violation for Constrained Reinforcement Learning via Primal-Dual Approach,Purdue University West Lafayette,United States Army Research Laboratory,Purdue University West Lafayette," Supply Chain Optimization Technologies, Amazo",Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
247,Panini-Net: GAN Prior Based Degradation-Aware Feature Interpolation for Face Restoration,Peking University Shenzhen Hospital,Peking University Shenzhen Hospital,Peng Cheng Laboratory,Peking University Shenzhen Hospital,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
248,CINS: Comprehensive Instruction for Few-Shot Learning in Task-Oriented Dialog Systems, Huawei Noah's Ark La, Huawei Noah's Ark La," Huawei Technologies Co., Ltd",,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
249,Rendering-Aware HDR Environment Map Prediction from a Single Image,Beihang University,Xidian University,Victoria University of Wellington,Beihang University,Peng Cheng Laboratory,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
250,Boosting Contrastive Learning with Relation Knowledge Distillation,Megvii Technolog,Megvii Technolog,Megvii Technolog,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
251,Flow-Based Unconstrained Lip to Speech Generation,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University, Huawei Clou, Huawei Clou,,,,,,,,,,,,,,,,,,,,,4.0,0.0
252,Dual Task Framework for Improving Persona-Grounded Dialogue Dataset,Yonsei University,Yonsei University,Yonsei University,Yonsei University,Seoul National University,Yonsei University,,,,,,,,,,,,,,,,,,,,,6.0,0.0
253,SVGA-Net: Sparse Voxel-Graph Attention Network for 3D Object Detection from Point Clouds,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
254,MTLDesc: Looking Wider to Describe Better,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Beijing University of Posts and Telecommunications,Institute of Automation,Zhejiang Lab,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,University of Science and Technology Beijing,,,,,,,,,,,,,,13.0,0.0
255,Learning from the Tangram to Solve Mini Visual Tasks," UCLA Center for Vision, Cognition, Learning, and Autonom"," UCLA Center for Vision, Cognition, Learning, and Autonom"," UCLA Center for Vision, Cognition, Learning, and Autonom"," UCLA Center for Vision, Cognition, Learning, and Autonom",Stevens Institute of Technology," UCLA Center for Vision, Cognition, Learning, and Autonom",,,,,,,,,,,,,,,,,,,,,6.0,0.0
256,Safe Subgame Resolving for Extensive Form Correlated Equilibrium,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
257,A Multi-Agent Reinforcement Learning Approach for Efficient Client Selection in Federated Learning,Harvard University,University of Toronto,Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
258,A Hybrid Causal Structure Learning Algorithm for Mixed-Type Data,Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
259,Reforming an Envy-Free Matching,Tohoku University,Kyoto University,Keio University,Kyushu University,Kyoto University,Hiroshima University,University of Electro-Communications,Yokohama National University,,,,,,,,,,,,,,,,,,,8.0,0.0
260,Braid: Weaving Symbolic and Neural Knowledge into Coherent Logical Explanations,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
261,Self-Supervised Category-Level 6D Object Pose Estimation with Deep Implicit Shape Representation,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
262,Delving into Probabilistic Uncertainty for Unsupervised Domain Adaptive Person Re-identification,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
263,LUNA: Localizing Unfamiliarity Near Acquaintance for Open-Set Long-Tailed Recognition,University of Washington,University of Washington,University of Washington,University of Washington,Atlantic States Marine Fisheries Commission, FishNext Researc,,,,,,,,,,,,,,,,,,,,,6.0,0.0
