Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
127,Using Partitions and Superstrings for Lossless Compression of Pattern Databases,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,2.0,0.0
128,Learning in Repeated Games with Minimal Information: The Effects of Learning Bias,New York University Abu Dhabi,New York University Abu Dhabi,Brigham Young University,,,,,,,,,,3.0,0.0
129,Collaborative Users' Brand Preference Mining across Multiple Domains from Implicit Feedbacks,Peking University,Peking University,Huazhong University of Science and Technology,Microsoft (United States),Microsoft Research Asia (China),,,,,,,,3.0,2.0
130,Higher-Order Description Logics for Domain Metamodeling,University of Rome Tor Vergata,University of Rome Tor Vergata,University of Rome Tor Vergata,,,,,,,,,,3.0,0.0
131,Trajectory Regression on Road Networks,IBM Research - Tokyo,Tokyo Institute of Technology,,,,,,,,,,,2.0,0.0
132,OASIS: Online Active SemI-Supervised Learning,"Arcode Corporation Bethesda, MD 2081",University of Wisconsin–Madison,University of Wisconsin–Madison,University of Wisconsin–Madison,,,,,,,,,3.0,0.0
133,Coarse-to-Fine Inference and Learning for First-Order Probabilistic Models,"Department of Computer Science & Engineering University of Washington Seattle, WA 9810","Department of Computer Science & Engineering University of Washington Seattle, WA 9810",,,,,,,,,,,2.0,0.0
134,COSTRIAGE: A Cost-Aware Triage Algorithm for Bug Reporting Systems,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,5.0,0.0
135,Sparse Matrix-Variate t Process Blockmodels,Purdue University West Lafayette,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,3.0,0.0
136,Recognizing Plans with Loops Represented in a Lexicalized Grammar,University of Edinburgh,Smart Information Flow Technologies (United States),,,,,,,,,,,1.0,1.0
137,Causal Theories of Actions Revisited,Hong Kong University of Science and Technology,Toronto Metropolitan University,,,,,,,,,,,2.0,0.0
138,Nonnegative Spectral Clustering with Discriminative Regularization,University of Queensland,University of Queensland,The University of Texas at Arlington,Columbia University,University of Queensland,,,,,,,,5.0,0.0
139,Multi-Observation Sensor Resetting Localization with Ambiguous Landmarks,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,2.0,0.0
140,Fast Parallel and Adaptive Updates for Dual-Decomposition Solvers Özg ür S ümer,University of Chicago,Max Planck Institute for Software Systems,"University of California, Irvine",University of Massachusetts Amherst,,,,,,,,,4.0,0.0
141,Towards Large-Scale Collaborative Planning: Answering High-Level Search Queries Using Human Computation,Carnegie Mellon University,Harvard University,,,,,,,,,,,2.0,0.0
142,Science Fiction as an Introduction to AI Research *,University of Kentucky,University of Kentucky,,,,,,,,,,,2.0,0.0
143,The Inter-League Extension of the Traveling Tournament Problem and its Application to Sports Scheduling,National Institute of Informatics,National Institute of Informatics,,,,,,,,,,,2.0,0.0
144,Risk-Averse Strategies for Security Games with Execution and Observational Uncertainty,"University of California, Los Angeles",University of Southern California,University of Chile,,,,,,,,,,3.0,0.0
145,Value Function Approximation in Reinforcement Learning Using the Fourier Basis,University of Massachusetts Amherst,Brown University,University of Massachusetts Amherst,University of Massachusetts Amherst,Computer Science Department,Autonomous Learning Laborator,"Robert Bosch LLC Research and Technology Center in Palo Alto, CA",,,,,,3.0,0.0
146,Adaptive Large Margin Training for Multilabel Classification,Temple University,Alberta Hospital Edmonton,,,,,,,,,,,2.0,0.0
147,Complete Information Pursuit Evasion in Polygonal Environments *,"University of California, Santa Barbara","University of California, Santa Barbara",,,,,,,,,,,2.0,0.0
148,Learning from Spatial Overlap,Computer Science Department,University of Wisconsin–Madison,Computer Science Department,Computer Science Department,,,,,,,,,1.0,0.0
149,Symmetric Graph Regularized Constraint Propagation,University of Hong Kong,Shanghai Jiao Tong University,Peking University,University of Hong Kong,Peking University,Shanghai Jiao Tong University,,,,,,,6.0,0.0
150,A Bayesian Reinforcement Learning Framework Using Relevant Vector Machines,University of Ioannina,University of Ioannina,,,,,,,,,,,2.0,0.0
151,Utilizing Partial Policies for Identifying Equivalence of Behavioral Models,Aalborg University,University of Georgia,Xiamen University,Aalborg University,University of Georgia,Xiamen University,,,,,,,6.0,0.0
152,Learning a Skill-Teaching Curriculum with Dynamic Bayes Nets,University of Arizona,University of Arizona,University of Arizona,University of Southern California,,,,,,,,,4.0,0.0
153,Conjunctive Representations in Contingent Planning: Prime Implicates versus Minimal CNF Formula *,New Mexico State University,New Mexico State University,New Mexico State University,,,,,,,,,,3.0,0.0
154,Social Recommendation Using Low-Rank Semidefinite Program,Zhejiang University,Microsoft Research (United Kingdom),Zhejiang University,Zhejiang University,,,,,,,,,3.0,1.0
155,Model AI Assignments 2011,"University of Maryland, Baltimore",Lafayette College,,,,,,,,,,,2.0,0.0
156,Analogical Dialogue Acts: Supporting Learning by Reading Analogies in Instructional Texts,Northwestern University,Northwestern University,,,,,,,,,,,2.0,0.0
157,Learning Structured Embeddings of Knowledge Bases,Université de Montréal,University of Technology of Compiègne,New York University,Idiap Research Institute,Université de Montréal,,,,,,,,5.0,0.0
158,Optimal Rewards versus Leaf-Evaluation Heuristics in Planning Agents,Computer Science and Engineering University of Michiga,Computer Science and Engineering University of Michiga,Department of Psychology University of Michiga,,,,,,,,,,3.0,0.0
159,Exploiting Phase Transition in Latent Networks for Clustering,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,2.0,0.0
160,Item-Level Social Influence Prediction with Probabilistic Hybrid Factor Matrix Factorization,Tsinghua University,"Healthcare Transformation Group IBM T J Watson Research Center Hawthorne, US",Tsinghua University,Tsinghua University,,,,,,,,,3.0,0.0
161,Bounded Forgetting,Western Sydney University,Western Sydney University,,,,,,,,,,,2.0,0.0
162,Markov Logic Sets: Towards Lifted Information Retrieval Using PageRank and Label Propagation,Fraunhofer Institute for Intelligent Analysis and Information Systems,Fraunhofer Institute for Intelligent Analysis and Information Systems,Fraunhofer Institute for Intelligent Analysis and Information Systems,,,,,,,,,,3.0,0.0
163,Conflict-Driven Constraint Answer Set Solving with Lazy Nogood Generation,Data61,Data61,,,,,,,,,,,2.0,0.0
164,Efficiently Learning a Distance Metric for Large Margin Nearest Neighbor Classification,Australian National University,University of Adelaide,Beijing Institute of Technology,Australian National University,,,,,,,,,4.0,0.0
165,Multiagent Patrol Generalized to Complex Environmental Conditions,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,3.0,0.0
166,Efficiency and Privacy Tradeoffs in Mechanism Design,University of Toronto,University of Toronto,,,,,,,,,,,2.0,0.0
167,Deriving a Web-Scale Common Sense Fact Database,Max Planck Institute for Informatics,Max Planck Institute for Informatics,Max Planck Institute for Informatics,,,,,,,,,,3.0,0.0
168,Computing an Extensive-Form Perfect Equilibrium in Two-Player Games,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,2.0,0.0
169,Scaling Up Reinforcement Learning through Targeted Exploration,Texas A&M University,Texas A&M University,,,,,,,,,,,2.0,0.0
170,Generating Diverse Plans Using Quantitative and Qualitative Plan Distance Metrics,Lehigh University,Lehigh University,,,,,,,,,,,2.0,0.0
171,A Novel Technique for Avoiding Plateaus of Greedy Best-First Search in Satisficing Planning,Tokyo Institute of Technology,Tokyo Institute of Technology,,,,,,,,,,,2.0,0.0
172,A Machine Learning Based System for Semi-Automatically Redacting Documents,"Accenture Technology Labs 161 N. Clark St Chicago, Illinois 6060","Accenture Technology Labs 161 N. Clark St Chicago, Illinois 6060",,,,,,,,,,,2.0,0.0
173,Online Planning to Control a Packaging Infeed System,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,Palo Alto Research Center,,,,,,,,5.0,0.0
174,Localized K-Flats *,National University of Defense Technology,Nanjing University,Nanjing University,National University of Defense Technology,Nanjing University,,,,,,,,5.0,0.0
175,Preferred Explanations: Theory and Generation via Planning,University of Toronto,Pontificia Universidad Católica de Chile,University of Toronto,,,,,,,,,,3.0,0.0
176,Using Semantic Cues to Learn Syntax,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,2.0,0.0
177,Transportability of Causal and Statistical Relations: A Formal Approach *,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,2.0,0.0
178,Integrating Clustering and Multi-Document Summarization by Bi-Mixture Probabilistic Latent Semantic Analysis (PLSA) with Sentence Bases,Florida International University,Florida International University,The University of Texas at Arlington,,,,,,,,,,3.0,0.0
179,How to Calibrate the Scores of Biased Reviewers by Quadratic Programming,Heinrich Heine University Düsseldorf,Heinrich Heine University Düsseldorf,University of Würzburg,,,,,,,,,,3.0,0.0
180,Cross Media Entity Extraction and Linkage for Chemical Documents,IBM Research - Almaden,IBM Research - Almaden,IBM Research - Almaden,,,,,,,,,,3.0,0.0
181,Large Scale Spectral Clustering with Landmark-Based Representation,Zhejiang University,Zhejiang University,,,,,,,,,,,2.0,0.0
182,Exploiting Path Refinement Abstraction in Domain Transition Graphs,University of Strathclyde,University of Strathclyde,University of Strathclyde,University of Strathclyde,,,,,,,,,4.0,0.0
183,Learning from Demonstration in Spatial Exploration,Brooklyn College,City University of New York,Brooklyn College,City University of New York,,,,,,,,,4.0,0.0
184,Efficient Subspace Segmentation via Quadratic Programming,Zhejiang University,National University of Singapore,Zhejiang University,National University of Singapore,Singapore Management University,,,,,,,,5.0,0.0
185,Learning Accuracy and Availability of Humans Who Help Mobile Robots,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,3.0,0.0
186,Adding Default Attributes to EL ++,University of Naples Federico II,University of Naples Federico II,University of Naples Federico II,,,,,,,,,,3.0,0.0
187,Understanding Natural Language Commands for Robotic Navigation and Mobile Manipulation,"Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology Cambridge, MA 0213","Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology Cambridge, MA 0213","Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology Cambridge, MA 0213","Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology Cambridge, MA 0213","Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology Cambridge, MA 0213","Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology Cambridge, MA 0213","Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology Cambridge, MA 0213",,,,,,7.0,0.0
188,Integrating Community Question and Answer Archives,Huazhong University of Science and Technology,Nanyang Technological University,Institute for Infocomm Research,Huazhong University of Science and Technology,Institute for Infocomm Research,,,,,,,,5.0,0.0
189,Stopping Rules for Randomized Greedy Triangulation Schemes,"University of California, Irvine","University of California, Irvine","University of California, Irvine",,,,,,,,,,3.0,0.0
190,A Feasible Nonconvex Relaxation Approach to Feature Selection,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,4.0,0.0
191,Monitoring Entities in an Uncertain World: Entity Resolution and Referential Integrity, InferLink Corp,Eyegaze (United States),United States Air Force Research Laboratory," USC Information Sci. Inst. 5 Raymond Technologies El Segundo, CA El Segundo, CA Rome",Marina Del Rey Hospital,Eyegaze (United States),Eyegaze (United States),Eyegaze (United States),,,,,1.0,4.0
192,An Algebraic Prolog for Reasoning about Possible Worlds,KU Leuven,KU Leuven,KU Leuven,,,,,,,,,,3.0,0.0
193,Efficient Methods for Lifted Inference with Aggregate Factors,University of Illinois Urbana-Champaign,SRI International,SRI International,,,,,,,,,,3.0,0.0
194,Online Updating the Generalized Inverse of Centered Matrices,Fudan University,Fudan University,,,,,,,,,,,2.0,0.0
195,A Generalised Solution to the Out-of-Sample Extension Problem in Manifold Learning,Aberystwyth University,Aberystwyth University,,,,,,,,,,,2.0,0.0
196,Teaching Introductory Artificial Intelligence through Java-Based Games,University of Oklahoma Health Sciences Center,University of Oklahoma Health Sciences Center,University of Oklahoma Health Sciences Center,,,,,,,,,,3.0,0.0
197,Dynamic Resource Allocation in Conservation Planning,Point Loma Nazarene University,ETH Zurich,North Carolina State University,"USGS Patuxent WRC Laurel, MD, US",United States Fish and Wildlife Service,,,,,,,,3.0,0.0
198,Self-Aware Traffic Route Planning,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,,,,,,,,,4.0,0.0
199,A Functional Analysis of Historical Memory Retrieval Bias in the Word Sense Disambiguation Task,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,2.0,0.0
200,A Scalable Tree-Based Approach for Joint Object and Pose Recognition,University of Washington,University of Washington,"Intel Labs Seattle, WA 98195, US",University of Washington,,,,,,,,,3.0,1.0
201,Heterogeneous Transfer Learning with RBMs,University of Rochester,Polytechnique Montréal,,,,,,,,,,,2.0,0.0
202,Planning for Operational Control Systems with Predictable Exogenous Events *,Ben-Gurion University of the Negev,Institute of Industrial Engineering,IBM Research - Haifa,IBM Research - Haifa,,,,,,,,,4.0,0.0
203,Towards Evolutionary Nonnegative Matrix Factorization,,,,,,,,,,,,,0.0,0.0
204,Teaching Reinforcement Learning with Mario: An Argument and Case Study,Lafayette College,,,,,,,,,,,,1.0,0.0
205,Artificial Intelligence for Artificial Artificial Intelligence,"Dept of Computer Science and Engineering University of Washington Seattle, WA-9819","Dept of Computer Science and Engineering University of Washington Seattle, WA-9819","Dept of Computer Science and Engineering University of Washington Seattle, WA-9819",,,,,,,,,,3.0,0.0
206,Toward Learning to Solve Insertion Tasks: A Developmental Approach Using Exploratory Behaviors and Proprioception,Iowa State University,Iowa State University,Iowa State University,Iowa State University,Iowa State University,,,,,,,,5.0,0.0
207,Playing to Program: Towards an Intelligent Programming Tutor for RUR-PLE,"University of Maryland, Baltimore","University of Maryland, Baltimore","University of Maryland, Baltimore","University of Maryland, Baltimore",,,,,,,,,4.0,0.0
208,Efficient Energy-Optimal Routing for Electric Vehicles,Technical University of Munich,University of Lübeck,Technical University of Munich,Technical University of Munich,,,,,,,,,4.0,0.0
209,The Stock Sonar -Sentiment Analysis of Stocks Based on a Hybrid Approach,Hebrew University of Jerusalem," Digital Trowel, Airport City, ISRAE"," Digital Trowel, Airport City, ISRAE"," Digital Trowel, Airport City, ISRAE"," Digital Trowel, Airport City, ISRAE",,,,,,,,1.0,0.0
210,Planning with Specialized SAT Solvers,Australian National University,,,,,,,,,,,,1.0,0.0
211,Playing Chess with a Human-Scale Mobile Manipulator,"University at Albany, State University of New York","University at Albany, State University of New York","University at Albany, State University of New York","University at Albany, State University of New York",,,,,,,,,4.0,0.0
212,Dynamic Batch Mode Active Learning via L1 Regularization,University of the State of Amazonas,University of the State of Amazonas,University of the State of Amazonas,,,,,,,,,,3.0,0.0
213,A Nonparametric Bayesian Model of Multi-Level Category Learning,"University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,2.0,0.0
214,Online Graph Pruning for Pathfinding on Grid Maps,Data61,Data61,,,,,,,,,,,2.0,0.0
215,Analyzing and Predicting Not-Answered Questions in Community-Based Question Answering Services,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,7.0,0.0
216,Convergence Properties of (μ + λ) Evolutionary Algorithms,Massey University,Massey University,,,,,,,,,,,2.0,0.0
217,Solution Quality Improvements for Massively Multi-Agent Pathfinding,National Institute of Information and Communications Technology, and The Australian National Universit,,,,,,,,,,,1.0,0.0
218,Design and Analysis of Value Creation Networks,IBM Research - India,IBM Research - India,IBM Research - India,,,,,,,,,,3.0,0.0
219,Cognitive Synergy between Procedural and Declarative Learning in the Control of Animated and Robotic Agents Using the OpenCogPrime AGI Architecture,Nova Southeastern University,Xiamen University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Nova Southeastern University,Hong Kong Polytechnic University,Xiamen University,Xiamen University,Hong Kong Polytechnic University,Xiamen University,Hong Kong Polytechnic University,,11.0,0.0
220,Inner Regions and Interval Linearizations for Global Optimization,"Laboratoire d'Informatique, Signaux et Systèmes de Sophia Antipolis",Federico Santa María Technical University,Laboratoire d'Informatique Gaspard-Monge,Laboratoire d'informatique de Nantes Atlantique,,,,,,,,,2.0,0.0
221,Euclidean Heuristic Optimization,University of Alberta,University of Alberta,University of Denver,,,,,,,,,,3.0,0.0
222,Grammatical Error Detection for Corrective Feedback Provision in Oral Conversations,Pohang University of Science and Technology,Pohang University of Science and Technology,Pohang University of Science and Technology,Pohang University of Science and Technology,,,,,,,,,4.0,0.0
223,Complexity of and Algorithms for Borda Manipulation,University of Toronto,University of Paris-Sud,Data61,Data61,,,,,,,,,4.0,0.0
224,Ordinal Regression via Manifold Learning,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,,,,,,,,,,3.0,0.0
225,Adaptive Neighborhood Inverse Consistency as Lookahead for Non-Binary CSPs,University of Nebraska–Lincoln,University of Nebraska–Lincoln,University of Nebraska–Lincoln,University of Montpellier,,,,,,,,,4.0,0.0
226,"Convex Sparse Coding, Subspace Learning, and Semi-Supervised Extensions",Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,,,,,,,,5.0,0.0
227,"!"" !"" # !""$ % ! & !""' !"" &!","RoadNarrows LLC, 1151 Eagle Drive #140, Loveland, CO 8053",,,,,,,,,,,,1.0,0.0
228,Learned Behaviors of Multiple Autonomous Agents in Smart Grid Markets,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,2.0,0.0
229,New Expressive Languages for Ontological Query Answering,University of Oxford,"Birkbeck, University of London",University of Oxford,University of Oxford,University of Oxford,,,,,,,,5.0,0.0
230,Semantic Relatedness Using Salient Semantic Analysis,University of North Texas,University of North Texas,,,,,,,,,,,2.0,0.0
231,Global Seismic Monitoring: A Bayesian Approach,"University of California, Berkeley","University of California, Berkeley",Lawrence Livermore National Laboratory,Brown University,,,,,,,,,4.0,0.0
232,Predicting Author Blog Channels with High Value Future Posts for Monitoring,"University of Maryland, College Park",King Abdullah University of Science and Technology,"University of Maryland, College Park","University of Maryland, College Park",,,,,,,,,4.0,0.0
233,A Local Monte Carlo Tree Search Approach in Deterministic Planning,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,,3.0,0.0
234,ANA*: Anytime Nonparametric A*,University of North Carolina at Chapel Hill,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,4.0,0.0
235,Maximum Entropy Context Models for Ranking Biographical Answers to Open-Domain Definition Questions,Pontificia Universidad Católica de Chile,University of Concepción,,,,,,,,,,,2.0,0.0
236,Role-Based Ad Hoc Teamwork,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,3.0,0.0
237,The Influence of Emotion Expression on Perceptions of Trustworthiness in Negotiation,Harvard University,University of Southern California,University of Southern California,Harvard University,,,,,,,,,4.0,0.0
238,Generating Explanations for Complex Biomedical Queries,University College Dublin,Sabancı University,,,,,,,,,,,2.0,0.0
239,Intrinsic Chess Ratings,"University at Buffalo, State University of New York",University of Reading,"University at Buffalo, State University of New York",University of Reading,,,,,,,,,4.0,0.0
240,Core-Guided Binary Search Algorithms for Maximum Satisfiability *,University College Dublin,University College Dublin,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,,,,,,,,,,3.0,0.0
241,Modeling Opponent Actions for Table-Tennis Playing Robot,Max Planck Institute for Intelligent Systems,Max Planck Institute for Intelligent Systems,Max Planck Institute for Intelligent Systems,Max Planck Institute for Intelligent Systems,,,,,,,,,4.0,0.0
242,Quick Polytope Approximation of all Correlated Equilibria in Stochastic Games,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,4.0,0.0
243,The Compressed Differential Heuristic,ISE Department Ben-Gurion University (Israel,University of Denver,ISE Department Ben-Gurion University (Israel,University of Alberta,,,,,,,,,2.0,0.0
244,Composite Social Network for Predicting Mobile Apps Installation,"MIT Media Laboratory 20 Ames Street Cambridge, Massachusetts 0213","MIT Media Laboratory 20 Ames Street Cambridge, Massachusetts 0213","MIT Media Laboratory 20 Ames Street Cambridge, Massachusetts 0213",,,,,,,,,,3.0,0.0
245,Commonsense Causal Reasoning Using Millions of Personal Stories,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,3.0,0.0
246,Detecting Falls with Location Sensors and Accelerometers,Jožef Stefan Institute,Jožef Stefan Institute,Jožef Stefan Institute,Jožef Stefan Institute," Result d. o. o., Bravniþarjeva 11, 1000 Ljubljana, Sloveni",Jožef Stefan Institute,,,,,,,5.0,1.0
247,VCG Redistribution with Gross Substitutes,University of Liverpool,,,,,,,,,,,,1.0,0.0
248,Exact Phase Transitions and Approximate Algorithm of #CSP,Northeast Normal University,Northeast Normal University,Beihang University,,,,,,,,,,3.0,0.0
249,Evolution of Node Behavior in Link Prediction,Institute of Information Science and Technologies,Pennsylvania State University,IBM Research - Almaden,Computer Science Department,,,,,,,,,3.0,0.0
250,Recommendation Sets and Choice Queries: There Is No Exploration/Exploitation Tradeoff!,Aalborg University,Aalborg University,"Department of Computer Science Univeristy of Toronto Toronto, ON, Canad",,,,,,,,,,2.0,0.0
251,A POMDP-Based Optimal Control of P300-Based Brain-Computer Interfaces,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Seoul National University,,,,,,,,,,3.0,0.0
252,A Simple and Effective Unsupervised Word Segmentation Approach,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,2.0,0.0
253,Modeling and Monitoring Crop Disease in Developing Countries,Makerere University,University of British Columbia,Makerere University,,,,,,,,,,3.0,0.0
254,Approaches to Multi-Robot Exploration and Localization,Brooklyn College,City University of New York,College of Staten Island,Brooklyn College,Brooklyn College,Lehman College,Brooklyn College,Brooklyn College,City University of New York,Brooklyn College,City University of New York,,11.0,0.0
255,Ad Hoc Teamwork in Variations of the Pursuit Domain,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,2.0,0.0
256,Generating True Relevance Labels in Chinese,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,3.0,0.0
257,Differential Eligibility Vectors for Advantage Updating and Gradient Methods,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,,,,,,,,,,,,1.0,0.0
258,Towards Practical ABox Abduction in Large OWL DL Ontologies,Guangdong University of Foreign Studies,State Key Laboratory of Computer Science,Institute of Software,Southeast University,Nanjing University,State Key Laboratory of Computer Science,Chinese Academy of Sciences,University of Aberdeen,,,,,4.0,0.0
259,Controlling Selection Bias in Causal Inference,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,2.0,0.0
260,Succinct Set-Encoding for State-Space Search,Palo Alto Research Center,Palo Alto Research Center,,,,,,,,,,,2.0,0.0
261,Designing Resilient Long-Reach Passive Optical Networks,"CTVR, Cork Constraint Computation Centr",University College Cork,Trinity College Dublin,,,,,,,,,,6.0,0.0
262,The Next Best Solution,Ben-Gurion University of the Negev,Osservatorio Astronomico di Padova,,,,,,,,,,,2.0,0.0
263,Probabilistic Plan Graph Heuristic for Probabilistic Planning,University of Alcalá,University of Alcalá,Ames Research Center,,,,,,,,,,3.0,0.0
264,Propagating Both Trust and Distrust with Target Differentiation for Combating Web Spam *,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,,,,,,,,,4.0,0.0
265,Large Scale Diagnosis Using Associations between System Outputs and Components,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,Jilin University,,,,,,,,,4.0,0.0
266,Incentive-Compatible Escrow Mechanisms,University of Freiburg,Harvard University,Harvard University,,,,,,,,,,3.0,0.0
267,Can Quadrotors Succeed as an Educational Platform?,Harvey Mudd College,,,,,,,,,,,,1.0,0.0
268,Reconstructing the Stochastic Evolution Diagram of Dynamic Complex Systems,German Cancer Research Center,German Cancer Research Center,German Cancer Research Center,,,,,,,,,,3.0,0.0
269,A Robotics Environment for Software Engineering Courses,University of Kassel,University of Kassel,University of Kassel,,,,,,,,,,3.0,0.0
270,Across-Model Collective Ensemble Classification,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,2.0,0.0
271,Discovering Latent Strategies,University of Massachusetts Amherst,,,,,,,,,,,,1.0,0.0
272,Manipulation of Nanson's and Baldwin's Rules,Data61,Data61,Duke University,,,,,,,,,,3.0,0.0
273,Mean Field Inference in Dependency Networks: An Empirical Study,University of Oregon,University of Oregon,,,,,,,,,,,2.0,0.0
274,Optimal Packing of High-Precision Rectangles,Palo Alto Research Center,"University of California, Los Angeles",,,,,,,,,,,2.0,0.0
275,The Epistemic Logic Behind the Game Description Language,UNSW Sydney,UNSW Sydney,,,,,,,,,,,2.0,0.0
276,"The Glass Infrastructure: Using Common Sense to Create a Dynamic, Place-Based Social Information System",Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,11.0,0.0
277,A Comparison of Lex Bounds for Multiset Variables in Constraint Programming,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,Data61,,,,,,,,,4.0,0.0
278,Limits of Preprocessing *,University of Vienna,,,,,,,,,,,,1.0,0.0
279,Medical Treatment Conflict Resolving in Answer Set Programming,Texas Tech University,Texas Tech University,Southeast University,,,,,,,,,,3.0,0.0
