Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,num_academia,num_company
32,Orthogonal Weight Normalization: Solution to Optimization over Multiple Dependent Stiefel Manifolds in Deep Neural Networks,Beihang University,Beihang University,Beihang University,Jingdong (China),"University of California, Berkeley",,,,,,,,,,,,,,,4.0,1.0
33,Partial Multi-Label Learning,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,,,,,,,,,,,,,,,,,,2.0,0.0
34,On Value Function Representation of Long Horizon Problems," Microsoft Maluuba, Montreal, QC, Canad",Brown University," Microsoft Maluuba, Montreal, QC, Canad"," Microsoft Maluuba, Montreal, QC, Canad",,,,,,,,,,,,,,,,1.0,0.0
35,Learning Efficient Point Cloud Generation for Dense 3D Object Reconstruction,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,3.0,0.0
36,Recurrent Attentional Reinforcement Learning for Multi-label Image Recognition,Sun Yat-sen University,Sun Yat-sen University, SenseTime Group Limite,Sun Yat-sen University,Sun Yat-sen University, SenseTime Group Limite,,,,,,,,,,,,,,4.0,0.0
37,On the Approximation of Nash Equilibria in Sparse Win-Lose Games,Shanghai Jiao Tong University,Columbia University,,,,,,,,,,,,,,,,,,2.0,0.0
38,Approximation-Variance Tradeoffs in Facility Location Games,Carnegie Mellon University,Carnegie Mellon University,Duke University,,,,,,,,,,,,,,,,,3.0,0.0
39,SEE: Towards Semi-Supervised End-to-End Scene Text Recognition,Hasso Plattner Institute,Hasso Plattner Institute,Hasso Plattner Institute,,,,,,,,,,,,,,,,,3.0,0.0
40,Plan-Based Intention Revision *,North Central State College,University of Utah,,,,,,,,,,,,,,,,,,2.0,0.0
41,Goal Recognition in Incomplete Domain Models,Pontifical Catholic University of Rio Grande do Sul,"School of Informatics (FACIN) Porto Alegre, RS, Av. Ipiranga 668, CEP: 90619-90",,,,,,,,,,,,,,,,,,2.0,0.0
42,Hypergraph p-Laplacian: A Differential Geometry View,The University of Tokyo,Imperial College London,Osaka University,,,,,,,,,,,,,,,,,3.0,0.0
43,Large Scale Constrained Linear Regression Revisited: Faster Algorithms via Preconditioning *,"University at Buffalo, State University of New York","University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,2.0,0.0
44,Attention-Based Belief or Disbelief Feature Extraction for Dependency Parsing,Fudan University,Shanghai Key Laboratory of Trustworthy Computing,,,,,,,,,,,,,,,,,,2.0,0.0
