Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,inst36,inst37,inst38,inst39,inst40,inst41,num_academia,num_company
226,Bayesian Maximum Margin Principal Component Analysis,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Purdue University West Lafayette,Chinese Academy of Sciences,Institute of Computing Technology,Purdue University West Lafayette,Chinese Academy of Sciences,Institute of Computing Technology,Chinese Academy of Sciences,Institute of Computing Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0
227,Bottom-Up Demand Response by Following Local Energy Generation Voluntarily,Helmut Schmidt University,Helmut Schmidt University,Centrum Wiskunde & Informatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
228,Automatic Configuration of Sequential Planning Portfolios,University of Basel,University of Basel,University of Basel,University of Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
229,Transition Constraints for Parallel Planning,Urmia University,Urmia University,Griffith University,Griffith University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
230,Finding Meaningful Gaps to Guide Data Acquisition for a Radiation Adjudication System,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
231,Position Assignment on an Enterprise Level Using Combinatorial Optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
232,The Relative Expressiveness of Abstract Argumentation and Logic Programming,Leipzig University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
233,Topical Word Embeddings,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University,National University of Singapore,University of Computer Studies Yangon,Tsinghua University," Jiangsu Collaborative Innovation Center for Language Competence, Jiangsu 221009, Chin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
234,SMT-Based Validation of Timed Failure Propagation Graphs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
235,Propagating Ranking Functions on a Graph: Algorithms and Applications,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,"University of California, Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
236,Extended Property Paths: Writing More SPARQL Queries in a Succinct Way *,University of Calabria,University of Koblenz and Landau,University of Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
237,SMT-Based Nonlinear PDDL+ Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
238,Scalable Planning and Learning for Multiagent POMDPs,Massachusetts Institute of Technology,University of Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
239,Semantic Lexicon Induction from Twitter with Pattern Relatedness and Flexible Term Length,University of Utah,IBM Research - Almaden,IBM Research - Almaden,IBM Research - Almaden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
240,Improving Exploration in UCT Using Local Manifolds,University of Alberta,Franklin & Marshall College,University of Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
241,Continuity Editing for 3D Animation,Grenoble Alpes University,Grenoble Alpes University,Grenoble Alpes University,University of Rennes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
242,Discretization of Temporal Models with Application to Planning with SMT,Aalto University,Griffith University,Helsinki Institute for Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
243,"Blended Planning and Acting: Preliminary Approach, Research Challenges","University of Maryland, College Park",University of Toulouse,Fondazione Bruno Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
244,"Novel Mechanisms for Online Crowdsourcing with Unreliable, Strategic Agents",Indian Institute of Science Bangalore,Indian Institute of Science Bangalore,Harvard University,IBM Research - India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
245,Value of Information Based on Decision Robustness,California State University Los Angeles,California State University Los Angeles,California State University Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
246,Entity Resolution in a Big Data Framework,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
247,Value-Directed Compression of Large-Scale Assignment Problems,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
248,Crowd Motion Monitoring with Thermodynamics-Inspired Feature,"Optimisation Research Group, NICTA Research School of Computer Science, AN","China University of Petroleum, East China",Fudan University,University of Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
249,Exploiting Variable Associations to Configure Efficient Local Search in Large-Scale Set Partitioning Problems,Osaka University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
250,Learning Relational Kalman Filtering,Ulsan National Institute of Science and Technology,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
251,An Exact Algorithm for Solving Most Relevant Explanation in Bayesian Networks,"York College, City University of New York","York College, City University of New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
252,Using Description Logics for RDF Constraint Checking and Closed-World Recognition,"Nuance Communications 1198 East Arques Avenue, Sunnyvale, California, U. S A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
253,On Machine Learning towards Predictive Sales Pipeline Analytics *,IBM Research - China,IBM Research - China,IBM Research - China,IBM Research - China,IBM Research - China,Shanghai Jiao Tong University,East China Normal University,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
254,Identifying At-Risk Students in Massive Open Online Courses,University of Melbourne,Data61,University of Melbourne,Data61,University of Melbourne,Data61,University of Melbourne,Data61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
255,Inertial Hidden Markov Models: Modeling Change in Multivariate Time Series,Carnegie Mellon University,Yahoo (United States),Yahoo (United States),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
256,Joint Anaphoricity Detection and Coreference Resolution with Constrained Latent Structures,French Institute for Research in Computer Science and Automation,Inria research centre Lille - Nord Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
257,Consistent Knowledge Discovery from Evolving Ontologies,University College Dublin,University of Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
258,A Novel Neural Topic Model and Its Supervised Extension,Peking University,Peking University,Peking University,Hong Kong Polytechnic University,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
259,Risk Based Optimization for Improving Emergency Medical Systems,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
260,Unidimensional Clustering of Discrete Data Using Latent Tree Models,Hong Kong University of Science and Technology," Department of Mathematics and Information Technology The Hong Kong Institute of Education, Hong Kon",Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
261,Learning User-Specific Latent Influence and Susceptibility from Information Cascades,CAS Key Laboratory of Network Data Science and Technology,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
262,SP-SVM: Large Margin Classifier for Data on Multiple Manifolds,"China University of Petroleum, East China",Santa Clara University,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
263,Security Games with Protection Externalities,University of Chinese Academy of Sciences,Nanyang Technological University,Vanderbilt University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
264,Modeling with Node Degree Preservation Can Accurately Find Communities,Tianjin University,Tianjin University,Washington University in St. Louis,Washington University in St. Louis,Jianghan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
265,Absent Multiple Kernel Learning,National University of Defense Technology,University of Wollongong,National University of Defense Technology,National University of Defense Technology,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
266,Solving and Explaining Analogy Questions Using Semantic Networks,Worcester Polytechnic Institute,Worcester Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
267,Optimizing the CVaR via Sampling,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
268,An EBMC-Based Approach to Selecting Types for Entity Filtering,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
269,Convex Batch Mode Active Sampling via α-relative Pearson Divergence, State Key Laboratory of Computer Science,Chinese Academy of Sciences,University of Chinese Academy of Sciences, State Key Laboratory of Computer Science,Chinese Academy of Sciences, State Key Laboratory of Computer Science,Chinese Academy of Sciences,University of Chinese Academy of Sciences, State Key Laboratory of Computer Science,Chinese Academy of Sciences,University of Chinese Academy of Sciences, State Key Laboratory of Computer Science,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
270,Low-Rank Multi-View Learning in Matrix Completion for Multi-Label Image Classification,Peking University,Peking University,Nanyang Technological University,University of Technology Sydney,Peking University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
271,Target-Dependent Churn Classification in Microblogs,University of Mary,University of Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
272,Using Supervised Learning to Uncover Deep Musical Structure,Rhodes College,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
273,Incorporating Implicit Link Preference Into Overlapping Community Detection,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
274,Burst Time Prediction in Cascades,Arizona State University,University of Illinois at Chicago,Beihang University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
275,Perceiving Group Themes from Collective Social and Behavioral Information,Tsinghua University,Tsinghua University,University of Connecticut,"Department of Social Network Operation Tencent Technology, Shenzhen, Chin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
276,Reward Shaping for Model-Based Bayesian Reinforcement Learning,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
277,"Scalable and Interpretable Data Representation for High-Dimensional, Complex Data",Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
278,Partial Meet Revision and Contraction in Logic Programs,Griffith University,Griffith University,Griffith University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
279,Pattern-Based Variant-Best-Neighbors Respiratory Motion Prediction Using Orthogonal Polynomials Approximation,The University of Texas at Arlington,The University of Texas at Arlington,University of Washington,University of Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
280,Model-Based Reinforcement Learning in Continuous Environments Using Real-Time Constrained Optimization,Linköping University,Linköping University,Linköping University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
281,Incorporating Assortativity and Degree Dependence into Scalable Network Models,Purdue University West Lafayette,"Departments of Computer Science and Statistics 1 , and Mathematic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
282,Nonparametric Scoring Rules,Carnegie Mellon University,"Microsoft Research New York, NY 1001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
283,Incentives for Subjective Evaluations with Private Beliefs,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
284,Submodular Surrogates for Value of Information,ETH Zurich,Carnegie Mellon University,Yale University,Carnegie Mellon University,Carnegie Mellon University,ETH Zurich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
285,Using Matched Samples to Estimate the Effects of Exercise on Mental Health from Twitter,Illinois Institute of Technology,Illinois Institute of Technology,Illinois Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
286,Multi-View Point Registration via Alternating Optimization *,Alibaba Group (United States),Shanghai Jiao Tong University,IBM Research - China,East China Normal University,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0
287,A Mechanism Design Approach to Measure Awareness *,University of Salerno,Teesside University,Teesside University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
288,Elections with Few Voters: Candidate Control Can Be Easy *,Technical University of Berlin,AGH University of Science and Technology,Technical University of Berlin,Technical University of Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
289,Extending Analogical Generalization with Near-Misses,Northwestern University,Smart Information Flow Technologies (United States),Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
290,Collaborative Topic Ranking: Leveraging Item Meta-Data for Sparsity Reduction,University of Chinese Academy of Sciences,Fudan University,Victoria University,Victoria University,Victoria University,Fudan University,Nanjing University of Finance and Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
291,Refer-to-as Relations as Semantic Knowledge Song Feng,Kyushu University,Paris Dauphine University,Kyushu University,Kyushu University,Kyushu University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
292,"0,000+ Times Accelerated Robust Subset Selection (ARSS)",Institute of Automation,Institute of Automation,Institute of Automation,Institute of Automation,Institute of Automation,Institute of Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
293,Building Strong Semi-Autonomous Systems,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
294,Existential Rule Languages with Finite Chase: Complexity and Expressiveness,Western Sydney University,Western Sydney University,Alberta Hospital Edmonton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
295,High Confidence Off-Policy Evaluation, Adobe Research,University of Massachusetts Amherst, Adobe Research, Adobe Research,French Institute for Research in Computer Science and Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
296,Stochastic Blockmodeling for Online Advertising,Johns Hopkins University,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
297,Improving Microblog Retrieval from Exterior Corpus by Automatically Constructing a Microblogging Corpus,University of Hong Kong,University of Hong Kong,University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
298,Tractable Interval Temporal Propositional and Description Logics, Faculty of Computer Scienc,Free University of Bozen-Bolzano,University of London, Faculty of Computer Scienc,Free University of Bozen-Bolzano,University of London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
299,A Succinct Conceptualization of the Foundations for a Network Organization Paradigm,Southern Illinois University Carbondale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
300,A Mathematical Programming-Based Approach to Determining Objective Functions from Qualitative and Subjective Comparisons,IBM Research - Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
301,Better Be Lucky Than Good: Exceeding Expectations in MDP Evaluation,University of Freiburg,University of Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
302,"A Multivariate Timeseries Modeling Approach to Severity of Illness Assessment and Forecasting in ICU with Sparse, Heterogeneous Clinical Data","Computer Science MIT Cambridge, MA 02139 US",University of Oxford,Cambridge–MIT Institute,Cambridge–MIT Institute,University of Oxford,Cambridge–MIT Institute,Cambridge–MIT Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
303,Clustering-Based Collaborative Filtering for Link Prediction *,"University at Buffalo, State University of New York","University at Buffalo, State University of New York","University at Buffalo, State University of New York","University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
304,Learning Word Vectors Efficiently Using Shared Representations and Document Representations,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
305,Multi-Agent Pathfinding as a Combinatorial Auction,Harvard University,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
306,Structured Embedding via Pairwise Relations and Long-Range Interactions in Knowledge Base,Zhejiang University,Zhejiang University,Centre for Quantum Computation and Communication Technology,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
307,Conventional Machine Learning for Social Choice,University of Waterloo,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
308,Stable Invitations,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
309,Distributed Multiplicative Weights Methods for DCOP,National Institute of Informatics,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
310,Fair Information Sharing for Treasure Hunting,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
311,Spontaneous Retrieval from Long-Term Memory for a Cognitive Architecture,Texas A&M University,Texas A&M University,Texas A&M University,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,Texas A&M University,Texas A&M University,Texas A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
312,Strategic Voting and Strategic Candidacy,Duke University,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
313,BDD-Constrained Search: A Unified Approach to Constrained Shortest Path Problems,Neelan Tiruchelvam Trust,Japan Science and Technology Agency,Japan Science and Technology Agency,Hokkaido University,Neelan Tiruchelvam Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
314,Constructing Models of User and Task Characteristics from Eye Gaze Data for User-Adaptive Information Highlighting,University of British Columbia,University of British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
315,Obtaining Well Calibrated Probabilities Using Bayesian Binning,University of Pittsburgh,University of Pittsburgh,University of Pittsburgh,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
316,A Unifying Hierarchy of Valuations with Complements and Substitutes,Weizmann Institute of Science,Tel Aviv University,Microsoft Research (United Kingdom),Weizmann Institute of Science,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0
317,Moral Decision-Making by Analogy: Generalizations versus Exemplars,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
318,LARS: A Logic-Based Framework for Analyzing Reasoning over Streams *,"Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri","Institute of Information Systems, Vienna University of Technology Favoritenstraße 9-11, A-1040 Vienna, Austri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
319,Combining Ontology Class Expression Generation with Mathematical Modeling for Ontology Learning,Poznań University of Technology,Poznań University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
320,Using Machine Teaching to Identify Optimal Training-Set Attacks on Machine Learners,University of Wisconsin–Madison,University of Wisconsin–Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
321,A Comparison of Qualitative and Metric Spatial Relation Models for Scene Understanding,University of Birmingham,University of Birmingham,University of Birmingham,Royal Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
322,"""Is It Rectangular?"" Using I Spy as an Interactive, Game-Based Approach to Multimodal Robot Learning",The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
323,Constrained NMF-Based Multi-View Clustering on Unmapped Data,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
324,Optimal Estimation of Multivariate ARMA Models,University of Alberta,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
325,Computing Nash Equilibrium in Interdependent Defense Games,Stony Brook University,Stony Brook University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
326,Representation Learning for Aspect Category Detection in Online Reviews,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
327,Scheherazade: Crowd-Powered Interactive Narrative Generation,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
328,Integrating Features and Similarities: Flexible Models for Heterogeneous Multiview Data,Duke University,Duke University,Duke University,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
329,Day-Ahead Hail Prediction Integrating Machine Learning with Storm-Scale Numerical Weather Models,University of Oklahoma Medical Center,University of Oklahoma Health Sciences Center,"University at Albany, State University of New York",National Severe Storms Laboratory,NOAA Storm Prediction Center NOAA/OU Cooperative Institute for Mesoscale Meteorological Studie,University of Oklahoma Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
330,Adaptive Sampling with Optimal Cost for Class-Imbalance Learning,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
331,Agnostic System Identification for Monte Carlo Planning,Franklin & Marshall College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
332,Mining User Intents in Twitter: A Semi-Supervised Approach to Inferring Intent Categories for Tweets,Peking University,Nanyang Technological University,Renmin University of China,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
333,A Stochastic Model for Detecting Heterogeneous Link Communities in Complex Networks,Tianjin University,Jilin University,Tianjin University,Washington University in St. Louis,Jianghan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
334,An Association Network for Computing Semantic Relatedness,Shanghai Jiao Tong University,Pohang University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
335,Exploiting Determinism to Scale Relational Inference,Université de Montréal,Université de Montréal,Université de Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
336,Temporally Adaptive Restricted Boltzmann Machine for Background Modeling,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
337,Learning Valuation Distributions from Partial Observations,Carnegie Mellon University,Tel Aviv University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
338,Using Social Relationships to Control Narrative Generation,Teesside University,Teesside University,Teesside University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
339,Cerebella: Automatic Generation of Nonverbal Behavior for Virtual Humans,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
340,Approximate MaxEnt Inverse Optimal Control and Its Application for Mental Simulation of Human Interactions,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
341,Price Evolution in a Continuous Double Auction Prediction Market with a Scoring-Rule Based Market Maker *,Washington University in St. Louis,Washington University in St. Louis,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
342,Limitations of Front-to-End Bidirectional Heuristic Search,"4732 Boelter Hall Los Angeles, CA 9009","4732 Boelter Hall Los Angeles, CA 9009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
343,A Nonconvex Relaxation Approach for Rank Minimization Problems,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
344,Bayesian Active Learning-Based Robot Tutor for Children's Word-Reading Skills,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
345,Online Boosting Algorithms for Anytime Transfer and Multitask Learning,McGill University,McGill University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
346,Automatic Ellipsis Resolution: Recovering Covert Information from Text,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
