Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,inst36,inst37,inst38,inst39,inst40,inst41,num_academia,num_company
146,Resilient Upgrade of Electrical Distribution Grids,"Rutgers, The State University of New Jersey",Los Alamos National Laboratory,Los Alamos National Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
147,Cupid: Commitments in Relational Algebra,Lancaster University,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
148,A Family of Latent Variable Convex Relaxations for IBM Model 2,Columbia University,Columbia University,Columbia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
149,Touchless Telerobotic Surgery -Is It Possible at All?,Purdue University West Lafayette,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
150,Generalization Analysis for Game-Theoretic Machine Learning,Chinese Academy of Sciences,University of Science and Technology of China," Microsoft Research, Building 2, No. 5 Danling Street, Beijing, P.R.Chin"," Microsoft Research, Building 2, No. 5 Danling Street, Beijing, P.R.Chin",Chinese Academy of Sciences," Microsoft Research, Building 2, No. 5 Danling Street, Beijing, P.R.Chin",Microsoft Research (India),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
151,Tartanian7: A Champion Two-Player No-Limit Texas Hold'em Poker-Playing Program,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
152,Active Manifold Learning via Gershgorin Circle Guided Sample Selection,Georgia Institute of Technology,Georgia Institute of Technology,East China Normal University,The University of Texas at Arlington,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
153,Towards a Programmer's Apprentice (Again),Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
154,Heuristics and Symmetries in Classical Planning,Technion – Israel Institute of Technology,IBM Research - Haifa,University of Basel,University of Basel,University of Basel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
155,Conducting Neuroscience to Guide the Development of AI,Purdue University West Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
156,Learning to Recommend Quotes for Writing,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
157,Automatic Generation of Alternative Starting Positions for Simple Traditional Board Games,Indian Institute of Technology Kanpur,Institute of Science and Technology Austria,"Microsoft Research, Redmon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
158,Fast Convention Formation in Dynamic Networks Using Topological Knowledge,University of Nebraska–Lincoln,Cooper Union,"Instituto de Informatica, UFRGS C.P. 15064 91501-970, P. Alegre, RS, Brazi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
159,Weakly-Supervised Grammar-Informed Bayesian CCG Parser Learning,The University of Texas at Austin,Carnegie Mellon University,The University of Texas at Austin,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
160,Influence-Driven Model for Time Series Prediction from Partial Observations,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
161,Sense-Aware Semantic Analysis: A Multi-Prototype Word Representation Model Using Wikipedia,Pennsylvania State University,Pennsylvania State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
162,Resolving Over-Constrained Probabilistic Temporal Problems through Chance Constraint Relaxation,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
163,Learning Word Representations from Relational Graphs,University of Liverpool,National Institute of Informatics,Japan Science and Technology Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
