Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,num_academia,num_company
144,Teamwork with Limited Knowledge of Teammates,Bar-Ilan University,"University of Maryland, College Park",The University of Texas at Austin,Jerusalem College of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
145,Exploring the Contribution of Unlabeled Data in Financial Sentiment Analysis,City University of Hong Kong,City University of Hong Kong,University of Science and Technology of China,City University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
146,Computer Poker Competition Cochairs,California Institute of Technology,Technion – Israel Institute of Technology,University of British Columbia,Bryn Mawr College,University of British Columbia,King's College London,California Institute of Technology,University of Oxford,University of Bonn,Australian National University,University of Alberta,USA) AI Video Competition Chair and Cochair Marco Dorigo (IRIDIA,Université Libre de Bruxelles,Université Libre de Bruxelles,Université Libre de Bruxelles,University of Washington,University of Washington,,,,,,,,,,,,,,,,,,,16.0,0.0
147,Robust Bidirectional Search via Heuristic Improvement,University of New Hampshire,University of New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
148,Domain-pecific Heuristics in Answer Set Programming,University of Potsdam,University of Potsdam,University of Potsdam,University of Potsdam,University of Potsdam,St. Petersburg Institute for Informatics and Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
149,From Interest to Function: Location Estimation in Social Media,Beihang University,National University of Singapore,Beihang University,Bar-Ilan University,Arizona State University,Beihang University,Beihang University,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
150,Preventing Unraveling in Social Networks Gets Harder *,"University of Maryland, College Park",University of Bergen,University of Bergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
151,Concurrent Reasoning with Inference Graphs,"University at Buffalo, State University of New York","University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
152,Simplified Lattice Models for Protein Structure Prediction: How Good Are They?,"IIIS, Griffith Universit","IIIS, Griffith Universit","IIIS, Griffith Universit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
153,Crowdsourcing for Deployable Intelligent Systems,University of Rochester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
154,Truncated Incremental Search: Faster Replanning by Exploiting Suboptimality,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
155,Backdoors to Tractability of Answer-Set Programming,University of Vienna, Research supported by ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
156,Vector-Valued Multi-View Semi-Supervised Learning for Multi-Label Image Classification,Peking University,University of Technology Sydney,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
157,Physical Activity Recognition from Accelerometer Data Using a Multi-Scale Ensemble Method,Oregon State University,Oregon State University,Oregon State University,University of Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
158,Trading Space for Time in Grid-Based Path Finding,University of British Columbia,University of British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
159,LA-CTR: A Limited Attention Collaborative Topic Regression for Social Media,"USC Information Sciences Institute 4676 Admiralty Way Marina del Rey, CA 9029","USC Information Sciences Institute 4676 Admiralty Way Marina del Rey, CA 9029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
160,SMILe: Shuffled Multiple-Instance Learning,Case Western Reserve University,Case Western Reserve University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
161,Supervised and Projected Sparse Coding for Image Classification,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
162,Information Sharing Under Costly Communication in Joint Exploration,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
