Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,num_academia,num_company
10,DACOM: Learning Delay-Aware Communication for Multi-Agent Reinforcement Learning,University of Göttingen,University of Oslo," NOOT Tech. Co., Ltd",Beijing University of Posts and Telecommunications,University of Göttingen,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
11,Mitigating Adversarial Norm Training with Moral Axioms,Northwestern University,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
12,Simultaneously Updating All Persistence Values in Reinforcement Learning,Politecnico di Milano,Politecnico di Milano,"Laboratoire des Sciences de l'Ingénieur, de l'Informatique et de l'Imagerie",Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
13,CLIPVG: Text-Guided Image Manipulation Using Differentiable Vector Graphics,Shanghai Jiao Tong University," Netease Games AI Lab, Hangzhou, China"," Netease Games AI Lab, Hangzhou, China"," Netease Games AI Lab, Hangzhou, China"," Netease Games AI Lab, Hangzhou, China",Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,3.0,0.0
14,Truthful Mechanisms for Steiner Tree Problems,Zhejiang University,Beijing Institute of Technology,Peking University,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
15,Learning to Defer with Limited Expert Predictions,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
16,Complement Sparsification: Low-Overhead Model Pruning for Federated Learning,New Jersey Institute of Technology,New Jersey Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
17,Leveraging Weighted Fine-Grained Cross-Graph Attention for Visual and Semantic Enhanced Video Captioning Network,Indian Institute of Technology BHU,Indian Institute of Technology BHU,Indian Institute of Technology BHU,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
18,Text-DIAE: A Self-Supervised Degradation Invariant Autoencoder for Text Recognition and Document Enhancement,University of Barcelona,University of Barcelona,University of Barcelona,University of Barcelona,University of Barcelona,Digital Research Centre of Sfax,University of Barcelona,University of Barcelona,University of Barcelona,,,,,,,,,,,,,,,,,,9.0,0.0
19,Self-Supervised Graph Learning for Long-Tailed Cognitive Diagnosis,Anhui University,Hefei University of Technology,Anhui University,University of Science and Technology of China,Anhui University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
20,NQE: N-ary Query Embedding for Complex Query Answering over Hyper-Relational Knowledge Graphs,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beihang University,Beijing University of Posts and Telecommunications,Beijing Institute of Technology,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,,,,,9.0,0.0
21,Models as Agents: Optimizing Multi-Step Predictions of Interactive Local Models in Model-Based Multi-Agent Reinforcement Learning,Sun Yat-sen University,Sun Yat-sen University,Shenzhen University," Huawei Noah's Ark Lab, Beijing, Chin"," Huawei Noah's Ark Lab, Beijing, Chin",Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,4.0,0.0
22,Decentralized Riemannian Algorithm for Nonconvex Minimax Problems,University of Pittsburgh,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
23,Exploring Self-Distillation Based Relational Reasoning Training for Document-Level Relation Extraction,Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",Xiamen University," Key Laboratory of Digital Protection and Intelligent Processing of Intangible Cultural Heritage of Fujian and Taiwan (Xiamen University), Ministry of Culture and Tourism, Chin",,,,,,,,,,,8.0,0.0
24,MCL: Multi-Granularity Contrastive Learning Framework for Chinese NER,Hefei University of Technology,Hefei University of Technology,National University of Defense Technology,PLA Academy of Military Science,National University of Defense Technology,Hefei University of Technology,,,,,,,,,,,,,,,,,,,,,6.0,0.0
25,Scalable Edge Blocking Algorithms for Defending Active Directory Style Attack Graphs,University of Adelaide,Western University,Harvard University,University of Adelaide,University of Adelaide,University of Adelaide,,,,,,,,,,,,,,,,,,,,,6.0,0.0
26,Strategyproofness and Proportionality in Party-Approval Multiwinner Elections,Paris Dauphine University,KU Leuven,Universität Innsbruck,Technical University of Berlin,Technical University of Munich,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
27,DarkFeat: Noise-Robust Feature Detector and Descriptor for Extremely Low-Light RAW Images,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Institute for Advanced Study,,,,,,,,,,,,,,,,,,,,7.0,0.0
28,Generating Transferable 3D Adversarial Point Cloud via Random Perturbation Factorization,Institute of Information Engineering,University of Chinese Academy of Sciences,University of Antwerp,Urban Planning & Design Institute of Shenzhen (China),Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Sun Yat-sen University,,,,,,,,,,,,,,,,10.0,0.0
29,PDRF: Progressively Deblurring Radiance Field for Fast Scene Reconstruction from Blurry Images,Johns Hopkins University,Johns Hopkins University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
30,Exploring Stochastic Autoregressive Image Modeling for Visual Representation,Tsinghua University, SenseTime Researc,Institute of Automation,Tsinghua University, SenseTime Researc, SenseTime Researc,Shanghai Jiao Tong University, SenseTime Researc,,,,,,,,,,,,,,,,,,,4.0,0.0
31,Let the Data Choose: Flexible and Diverse Anchor Graph Fusion for Scalable Multi-View Clustering,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,Tsinghua University,National University of Defense Technology,National University of Defense Technology,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,National University of Defense Technology,,,,,,,,,,,,,,,,,,9.0,0.0
32,Dynamic Heterogeneous Graph Attention Neural Architecture Search,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Alibaba Group (China),Tsinghua University,,,,,,,,,,,,,,,,,,,,,5.0,1.0
33,Improving Interpretability via Explicit Word Interaction Graph Layer,University of Virginia,University of Virginia,University of Virginia,University of Virginia,University of Virginia,University of Virginia,,,,,,,,,,,,,,,,,,,,,6.0,0.0
34,Federated Learning on Non-IID Graphs via Structural Knowledge Sharing,University of Technology Sydney,Monash University,University of Technology Sydney,University of Technology Sydney,Data61,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,,6.0,0.0
35,Neural Representations Reveal Distinct Modes of Class Fitting in Residual Convolutional Networks,AGH University of Science and Technology,AGH University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
36,Leveraging Structure for Improved Classification of Grouped Biased Data,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
37,Two Views of Constrained Differential Privacy: Belief Revision and Update,Renmin University of China,Renmin University of China,Renmin University of China,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
38,Distributed Spectrum-Based Fault Localization,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
39,COLA: Improving Conversational Recommender Systems by Collaborative Augmentation,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
40,Just Noticeable Visual Redundancy Forecasting: A Deep Multimodal-Driven Approach,Shenzhen University,Shenzhen University,Peking University,Shenzhen University,Nanjing University of Posts and Telecommunications,Shenzhen University,,,,,,,,,,,,,,,,,,,,,6.0,0.0
41,Skating-Mixer: Long-Term Sport Audio-Visual Modeling with MLPs,Southern University of Science and Technology,Chinese University of Hong Kong,King Abdullah University of Science and Technology,Southern University of Science and Technology,Southern University of Science and Technology,Southern University of Science and Technology,Southern University of Science and Technology,Harbin Institute of Technology,Southern University of Science and Technology,Shenzhen University,,,,,,,,,,,,,,,,,10.0,0.0
42,Constrained Market Share Maximization by Signal-Guided Optimization,Auburn University,Beijing University of Posts and Telecommunications,Auburn University,Auburn University,Auburn University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
43,GLCC: A General Framework for Graph-Level Clustering,Peking University,Peking University,Peking University," Beijing National Day School, Chin",Peking University,Peking University,"University of California, Los Angeles",Peking University,,,,,,,,,,,,,,,,,,,8.0,0.0
44,Class Overwhelms: Mutual Conditional Blended-Target Domain Adaptation,Western University,Western University,Vector Institute,Western University,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
45,Background-Mixed Augmentation for Weakly Supervised Change Detection,Civil Aviation University of China,Civil Aviation University of China,"Agency for Science, Technology and Research",Civil Aviation University of China,Civil Aviation University of China,Civil Aviation University of China,Zhejiang University of Science and Technology,Nanyang Technological University,,,,,,,,,,,,,,,,,,,8.0,0.0
46,Improving Pareto Front Learning via Multi-Sample Hypernetworks," College of Engineering and Computer Science, VinUniversit",VNU University of Science," College of Engineering and Computer Science, VinUniversit",VNU University of Science,VNU University of Science,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
47,CEMA -Cost-Efficient Machine-Assisted Document Annotations,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
48,Enhanced Tensor Low-Rank and Sparse Representation Recovery for Incomplete Multi-View Clustering,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,,,,,6.0,0.0
49,Neurosymbolic Reasoning and Learning with Restricted Boltzmann Machines,University of Tasmania,"City, University of London",,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
50,Sharing Pattern Submodels for Prediction with Missing Values,Chalmers University of Technology,Chalmers University of Technology,Chalmers University of Technology,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
51,Concurrent Multi-Label Prediction in Event Streams,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,,7.0,0.0
52,Multi-Level Confidence Learning for Trustworthy Multimodal Classification,National University of Defense Technology,China University of Geosciences,Zhejiang Lab,China University of Geosciences,National Supercomputing Center in Shenzhen,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
53,Relation-Aware Language-Graph Transformer for Question Answering,Korea University,Korea University,Korea University,"Universidad de San Buenaventura, Bogota","Universidad de San Buenaventura, Bogota", NAVER Clou, NAVER AI La,"Universidad de San Buenaventura, Bogota", NAVER Clou, NAVER AI La,Korea University,"Universidad de San Buenaventura, Bogota", NAVER Clou, NAVER AI La,,,,,,,,,,,,,4.0,0.0
54,Towards a Holistic Understanding of Mathematical Questions with Contrastive Pre-training,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc,University of Science and Technology of China, State Key Laboratory of Cognitive Intelligenc, State Key Laboratory of Cognitive Intelligenc," iFLYTEK AI Research (Central China), iFLYTEK Co., Ltd",,,,,,,,,,,,,6.0,1.0
55,A Simple Baseline for Multi-Camera 3D Object Detection,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,,7.0,0.0
56,Mind the Gap: Polishing Pseudo Labels for Accurate Semi-supervised Object Detection,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,Research & Development Institute,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
57,NHITS: Neural Hierarchical Interpolation for Time Series Forecasting,Carnegie Mellon University,Carnegie Mellon University," Unity Technologies, Labs, Montreal, QC, Canad"," Nixtla, Pittsburgh, PA, US"," Nixtla, Pittsburgh, PA, US",Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,3.0,0.0
58,Context-Aware Safe Medication Recommendations with Molecular Graph and DDI Graph Embedding,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,University of the Sunshine Coast,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
59,Learning Safe Numeric Action Models,Ben-Gurion University of the Negev,Washington University in St. Louis,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
60,Planning with Hidden Parameter Polynomial MDPs,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
61,Centerless Multi-View K-means Based on the Adjacency Matrix,Xidian University,Xidian University,Xidian University,University of Evansville,Xidian University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
62,MVCINN: Multi-View Diabetic Retinopathy Detection Using a Deep Cross-Interaction Neural Network,Harbin Institute of Technology,Harbin Institute of Technology,Hong Kong Polytechnic University," Laboratory for Artificial Intelligence in Design, Hong Kon",Harbin Institute of Technology,Shenzhen Technology University,Harbin Institute of Technology,,,,,,,,,,,,,,,,,,,,6.0,0.0
63,A Generalized Scalarization Method for Evolutionary Multi-Objective Optimization,Southern University of Science and Technology,Southern University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
64,Self-Supervised Logic Induction for Explainable Fuzzy Temporal Commonsense Reasoning,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology, Huawei Noah's Ark La, Huawei Noah's Ark La,,,,,,,,,,,,,,,,,,,,5.0,0.0
65,Asynchronous Event Processing with Local-Shift Graph Convolutional Network,Chinese Academy of Sciences,University of Chinese Academy of Sciences," AIRIA, 211135, Nanjing, Chin",Chinese Academy of Sciences,University of Chinese Academy of Sciences," AIRIA, 211135, Nanjing, Chin",Chinese Academy of Sciences,University of Chinese Academy of Sciences," AIRIA, 211135, Nanjing, Chin",Chinese Academy of Sciences,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,4.0,0.0
66,Intensity-Aware Loss for Dynamic Facial Expression Recognition in the Wild,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
67,Scalable and Effective Conductance-Based Graph Clustering,Southwest University,Beijing Institute of Technology,Southwest University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
68,Cross-Domain Adaptative Learning for Online Advertisement Customer Lifetime Value Prediction,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China, Institute of Electronic and Information Engineering of UESTC in Guangdon,Shandong Normal University,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,,,,,,,5.0,0.0
69,Local Justice and Machine Learning: Modeling and Inferring Dynamic Ethical Preferences toward Allocations,Stevens Institute of Technology,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
70,Pointerformer: Deep Reinforced Multi-Pointer Transformer for the Traveling Salesman Problem,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,5.0,4.0
71,Learnable Path in Neural Controlled Differential Equations,Yonsei University,Yonsei University,Yonsei University,Yonsei University,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
72,Dropout is NOT All You Need to Prevent Gradient Leakage,Technische Universität Ilmenau,Technische Universität Ilmenau,Friedrich Schiller University Jena,Technische Universität Ilmenau,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
73,ESPT: A Self-Supervised Episodic Spatial Pretext Task for Improving Few-Shot Learning,Wuhan University of Technology,Wuhan University of Technology," Hainan Yazhou Bay Seed Laboratory, Sanya 572025, Chin"," Shanghai Artificial Intelligence Laboratory, Shanghai 200240, Chin",Wuhan University of Technology,Wuhan University of Technology,Wuhan University of Technology,Wuhan University of Technology,Wuhan University of Technology,Wuhan University of Technology," Hainan Yazhou Bay Seed Laboratory, Sanya 572025, Chin"," Shanghai Artificial Intelligence Laboratory, Shanghai 200240, Chin",,,,,,,,,,,,,,,5.0,0.0
74,Edge Structure Learning via Low Rank Residuals for Robust Image Classification,Jiangsu University,Jiangsu University,University of Nigeria,Jiangsu University,Jiangsu University,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,,,,,6.0,0.0
75,MIDMs: Matching Interleaved Diffusion Models for Exemplar-Based Image Translation,Korea University,Korea University,Korea University," NAVER AI Lab, Kore",Korea University,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
76,SPRING: Situated Conversation Agent Pretrained with Multimodal Questions from Incremental Layout Graph,Beijing University of Posts and Telecommunications, Independent Researche,Beijing University of Posts and Telecommunications, Independent Researche,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications, Independent Researche,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,,,,,,8.0,0.0
77,On Grounded Planning for Embodied Tasks with Language Models,University of Southern California,Fudan University,Seattle University,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,,6.0,0.0
78,When Congestion Games Meet Mobile Crowdsourcing: Selective Information Disclosure,Singapore University of Technology and Design,Singapore University of Technology and Design,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
79,Facility Location Games with Entrance Fees,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
80,Fairness in Contextual Resource Allocation Systems: Metrics and Incompatibility Results,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,,6.0,0.0
81,Refined Semantic Enhancement towards Frequency Diffusion for Video Captioning,Wuhan University of Technology,Wuhan University of Technology,Hubei University,Wuhan University,University of Central Florida,Wuhan University,,,,,,,,,,,,,,,,,,,,,6.0,0.0
82,MulGT: Multi-Task Graph-Transformer with Task-Aware Knowledge Injection and Domain Knowledge-Driven Pooling for Whole Slide Image Analysis,University of Hong Kong,University of Cambridge,University of Hong Kong,Shenzhen Bay Laboratory,University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
83,Wiener Graph Deconvolutional Network Improves Graph Self-Supervised Learning,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,6.0,0.0
84,Practical Parallel Algorithms for Submodular Maximization Subject to a Knapsack Constraint with Nearly Optimal Adaptivity,Suzhou Research Institute,Soochow University,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Soochow University,Alibaba Group (China),Alibaba Group (China),,,,,,,,,,,,,,,,,,,,5.0,2.0
85,Positive Distribution Pollution: Rethinking Positive Unlabeled Learning from a Unified Perspective,Zhejiang University,Zhejiang University,Macquarie University,Zhejiang University,Zhejiang University,Zhejiang University,Warrant Hub (Italy),Warrant Hub (Italy),Zhejiang University,,,,,,,,,,,,,,,,,,7.0,2.0
86,Reliable Robustness Evaluation via Automatically Constructed Attack Ensembles, Research Institute of Trustworthy Autonomous Systems,Southern University of Science and Technology,Southern University of Science and Technology,Southern University of Science and Technology, Research Institute of Trustworthy Autonomous Systems,Southern University of Science and Technology,Southern University of Science and Technology,,,,,,,,,,,,,,,,,,,,3.0,0.0
87,Video-Text Pre-training with Learned Regions for Retrieval,Nanjing University of Science and Technology,National University of Singapore,University of Chinese Academy of Sciences,National University of Singapore,Columbia University,Tongji University,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,,,,7.0,0.0
88,Stop-Gradient Softmax Loss for Deep Metric Learning,Northwestern Polytechnical University," National Engineering Laboratory for Integrated Aero-Space-Ground-Ocean Big Data Application Technology, Chin",Northwestern Polytechnical University," National Engineering Laboratory for Integrated Aero-Space-Ground-Ocean Big Data Application Technology, Chin",Northwestern Polytechnical University," National Engineering Laboratory for Integrated Aero-Space-Ground-Ocean Big Data Application Technology, Chin",,,,,,,,,,,,,,,,,,,,,3.0,0.0
89,Vector Causal Inference between Two Groups of Variables,Technical University of Berlin, DLR Institut für Datenwissenschaften Jen,Technical University of Berlin, DLR Institut für Datenwissenschaften Jen,Technical University of Berlin, DLR Institut für Datenwissenschaften Jen,,,,,,,,,,,,,,,,,,,,,3.0,0.0
90,TransPath: Learning Heuristics For Grid-Based Pathfinding via Transformers,Russian Academy of Sciences,Prairie View A&M University,Russian Academy of Sciences,Prairie View A&M University,Russian Academy of Sciences,Prairie View A&M University,,,,,,,,,,,,,,,,,,,,,3.0,0.0
91,Simulating Network Paths with Recurrent Buffering Units,"University of Maryland, College Park",Microsoft Research (India),,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
92,Efficient Distributed Inference of Deep Neural Networks via Restructuring and Pruning,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
93,Complex Dynamic Neurons Improved Spiking Transformer Network for Efficient Automatic Speech Recognition,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Jilin University,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,,,,12.0,0.0
94,A Semi-parametric Model for Decision Making in High-Dimensional Sensory Discrimination Tasks,Fordham University,Norwegian Meteorological Institute,Norwegian Meteorological Institute,Norwegian Meteorological Institute,Norwegian Meteorological Institute,Norwegian Meteorological Institute,,,,,,,,,,,,,,,,,,,,,1.0,0.0
95,Superpoint Transformer for 3D Scene Instance Segmentation,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
96,Learning Context-Aware Classifier for Semantic Segmentation,Chinese University of Hong Kong, SmartMore Corporatio,Chinese University of Hong Kong,Max Planck Institute for Informatics,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong, SmartMore Corporatio,Chinese University of Hong Kong, SmartMore Corporatio,,,,,,,,,,,,,,,,,7.0,0.0
97,The Role of Heuristics and Biases During Complex Choices with an AI Teammate,University of Southern California,Carnegie Mellon University,Santa Fe Institute,University of Southern California,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
