Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,num_academia,num_company
0,Offline Imitation Learning with Suboptimal Demonstrations via Relaxed Distribution Matching,Stanford University,Stanford University,Stanford University,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
1,i-Code: An Integrative and Composable Multimodal Learning Framework,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,Microsoft Azure Cognitive Services Researc,,,,,,,20.0,0.0
2,GRIP: Graph Representation of Immune Repertoire Using Graph Neural Network and Transformer,Seoul National University,Seoul National University,Seoul National University,Seoul National University,Seoul National University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
3,Set-to-Sequence Ranking-Based Concept-Aware Learning Path Recommendation,Shanghai Jiao Tong University,Shanghai Jiao Tong University, Huawei Noah's Ark La,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University, Huawei Noah's Ark La,Shanghai Jiao Tong University, Huawei Noah's Ark La,Huawei Technologies (Germany),Huawei Technologies (Germany),Shanghai Jiao Tong University,,,,,,,,,,,,,,,7.0,0.0
4,Gradient Corner Pooling for Keypoint-Based Object Detection,Xidian University,Xidian University," Pazhou Lab, Huangpu, 510555, China",Xidian University,Xidian University,Xidian University,Xidian University,Peng Cheng Laboratory,,,,,,,,,,,,,,,,,,,6.0,0.0
5,Probability Guided Loss for Long-Tailed Multi-Label Image Classification,"Chengdu Institute of Computer Applications, Chinese Academy of Sciences, Chengdu 610041, Chin",University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
6,PolarFormer: Multi-Camera 3D Object Detection with Polar Transformer,Institute of Automation,University of Chinese Academy of Sciences,Fudan University, Alibaba DAMO Academ," Surrey Institute for People-Centred Artificial Intelligence, CVSSP, University of Surre",Institute of Automation,University of Chinese Academy of Sciences,ShanghaiTech University,Institute of Automation,Fudan University,University of Chinese Academy of Sciences,Fudan University,,,,,,,,,,,,,,,6.0,1.0
7,Resolving Task Confusion in Dynamic Expansion Architectures for Class Incremental Learning,Fudan University, Shanghai Collaborative Innovation Center on Intelligent Visual Computin,Fudan University, Shanghai Collaborative Innovation Center on Intelligent Visual Computin,Fudan University, Shanghai Collaborative Innovation Center on Intelligent Visual Computin,"University of Maryland, College Park",Fudan University, Shanghai Collaborative Innovation Center on Intelligent Visual Computin,,,,,,,,,,,,,,,,,,5.0,0.0
8,Towards Credible Human Evaluation of Open-Domain Dialog Systems Using Interactive Setup,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
9,Semi-random Impossibilities of Condorcet Criterion,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
